SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1288349559673655e-21	5.693987042010893e-23	1.0	241.0	202.0	34.609278078417304	0.0	0.0	237.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.127795149701089e-15	1.5776996414148423e-16	2.0	108.0	105.0	555.462437516582	0.0	0.0	108.0	0.0	Act
IDH1	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	9.366723690954588e-07	6.541884722202622e-08	3.0	18.0	18.0	6.64987496113806	0.0	0.0	16.0	0.0	Act
MAP2K1	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	hotmaps,mutpanning	3.3128588715999956e-17	1.6710481357069643e-18	4.0	24.0	21.0	9.20852011344766	5.8279667515372005	5.8279667515372005	21.0	1.0	Act
CDKN2A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.884005111966181e-13	1.9591415611051344e-14	5.0	31.0	29.0	4.695274900315	88.34713970085821	88.34713970085821	14.0	13.0	LoF
ARID2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.674480959489717e-19	1.3490422002735675e-20	5.0	45.0	39.0	0.6817063244915711	8.4772011705535	8.4772011705535	17.0	18.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	9.366723690954588e-07	6.541884722202622e-08	7.0	44.0	36.0	0.856467188167101	7.641129557067139	7.641129557067139	18.0	15.0	LoF
KIT	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	3.5829128175217114e-12	1.8072667795922814e-13	8.0	16.0	16.0	4.450799403529559	0.0	0.0	14.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.486942979772751e-16	1.7588583732368828e-17	9.0	36.0	34.0	4.84069348842635	26.1678935530945	26.1678935530945	24.0	8.0	LoF
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3885762114593141e-06	1.0506232438715985e-07	10.0	22.0	21.0	47.2178391251996	230.799284349483	230.799284349483	16.0	6.0	LoF
RAC1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	hotmaps,smregions,mutpanning	1.4049240053376087e-14	7.086615309983058e-16	11.0	14.0	14.0	12.8737083673266	0.0	0.0	13.0	0.0	Act
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.8938016837787714e-08	1.3373607068774247e-09	12.0	15.0	9.0	0.709501693234528	11.7453339712696	11.7453339712696	4.0	8.0	LoF
PPP6C	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodrivefml,hotmaps,mutpanning	1.5896559960657764e-11	8.01842695870159e-13	13.0	23.0	23.0	7.07267002346044	13.386767691217802	13.386767691217802	18.0	3.0	LoF
CNOT9	1	oncodriveclustl,smregions,mutpanning	smregions,mutpanning	1.2856490618156559e-06		14.0	9.0	9.0	7.87193615322424	0.0	0.0	8.0	0.0	Act
CDK4	1	hotmaps,mutpanning	hotmaps,mutpanning	1.2837290732266842e-06	8.787897185851033e-08	15.0	9.0	8.0	5.886314408132	0.0	0.0	8.0	0.0	Act
BRD7	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.793492561988494e-10		16.0	7.0	7.0	2.34053066696969	128.603988835016	128.603988835016	1.0	6.0	LoF
PCDH15	1	oncodriveclustl,hotmaps,smregions,mutpanning		1.3082652028713146e-06		17.0	97.0	69.0	1.25788799222694	0.5139599614844099	0.5139599614844099	66.0	1.0	Act
SMURF2	1	hotmaps,mutpanning		0.0010927291064144642		18.0	7.0	6.0	2.89875873044878	0.0	0.0	6.0	0.0	Act
MYO9A	1	hotmaps,mutpanning	hotmaps	5.937079257097023e-08		18.0	32.0	31.0	2.7878394117803995	3.80699088641701	3.80699088641701	24.0	4.0	LoF
ZFX	1	oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,smregions	4.587511707887776e-10		20.0	13.0	13.0	1.72318697358693	17.1763091002771	17.1763091002771	7.0	4.0	LoF
APC	1	hotmaps,cbase	cbase	2.7544163215128946e-08	1.8945853816429435e-09	21.0	23.0	22.0	4.621159577741589	15.732202525539599	15.732202525539599	17.0	5.0	LoF
FSIP2	1	hotmaps,smregions	smregions	0.0006183925979321455		21.0	43.0	42.0	1.11478066506915	0.415476480991134	0.415476480991134	32.0	0.0	Act
ENPP3	1	hotmaps,smregions	smregions	0.0011597699877959268		23.0	12.0	12.0	1.76039110684958	1.63963438254287	1.63963438254287	9.0	0.0	Act
COL4A3	1	dndscv,oncodrivefml,mutpanning	mutpanning	8.955395312855333e-09		24.0	40.0	35.0	8.871879413757679	0.0	0.0	39.0	0.0	Act
KLHDC7A	3	oncodriveclustl,mutpanning	oncodriveclustl,mutpanning	0.00025289111214025806		25.0	50.0	43.0	1.90249928694481	1.20590090370796	1.20590090370796	34.0	1.0	Act
ARL16	4	oncodriveclustl,mutpanning		0.14867782426868656		25.0	4.0	4.0	21.7921667564331	0.0	0.0	4.0	0.0	Act
OR2Z1	4	oncodriveclustl,hotmaps		0.07416274537668348		27.0	21.0	17.0	2.56993817369016	0.0	0.0	14.0	0.0	Act
ASXL3	3	mutpanning		0.029818135458856258		28.0	100.0	80.0	1.32526317648267	0.288248175935922	0.288248175935922	74.0	1.0	Act
SF3B1	2	mutpanning	mutpanning	9.535422586886141e-06	7.749103516572503e-07	28.0	18.0	16.0	2.81844847198397	3.17474641274242	3.17474641274242	14.0	2.0	LoF
GNA11	2	mutpanning	mutpanning	3.033560000652021e-06	2.4302640188569576e-07	28.0	8.0	6.0	7.744784337006362	0.0	0.0	7.0	0.0	Act
TPTE	3	mutpanning	mutpanning	9.119123409991559e-05		28.0	30.0	25.0	2.09529092340458	2.8266202469347994	2.8266202469347994	20.0	3.0	LoF
MORC2	3	mutpanning		0.0004459651008081907		28.0	16.0	15.0	1.0659922906560602	2.29975097367815	2.29975097367815	9.0	1.0	LoF
HUNK	3	mutpanning		0.024608329854267467		28.0	9.0	9.0	2.3027650661067005	5.359669353980291	5.359669353980291	6.0	1.0	LoF
