SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.812144419566721e-13	2.21744725154392e-14	1.0	272.0	222.0	17.8025984821186	0.0	0.0	261.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	5.486063484038818e-10	3.0335888536543964e-11	2.0	125.0	118.0	112.754682754114	10.2497673083496	10.2497673083496	123.0	1.0	Act
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	0.04889555320085954	0.02059003559428959	3.0	50.0	42.0	2.34441824134512	47.6920309259425	47.6920309259425	16.0	16.0	LoF
ARID2	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.1427247136717744	0.08543180837787749	4.0	65.0	48.0	0.9468382762658992	10.6056589344425	10.6056589344425	25.0	25.0	LoF
NF1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.473498596345258e-13	3.4438053967165154e-14	5.0	57.0	46.0	0.882359205543098	9.55876304913574	9.55876304913574	21.0	21.0	LoF
RAC1	2	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	9.665526668700952e-10	5.2636964428456174e-11	6.0	21.0	21.0	16.5956757486088	0.0	0.0	20.0	0.0	Act
IDH1	2	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	1.4822252348747737e-06	9.56217931413052e-08	7.0	23.0	23.0	5.02900870224888	0.0	0.0	20.0	0.0	Act
MAP2K1	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.8508250323265118e-08	1.5326112113352955e-09	7.0	28.0	25.0	9.655926511116778	5.0633470660206115	5.0633470660206115	25.0	1.0	Act
TP53	2	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.233403141239326e-21	3.333168857034116e-22	9.0	47.0	40.0	4.35974959213274	23.589714106484198	23.589714106484198	30.0	10.0	LoF
PTEN	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.407685040719757e-17	3.874280665722331e-18	10.0	39.0	38.0	41.329503423008596	222.421551040125	222.421551040125	18.0	7.0	LoF
PPP6C	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodrivefml,hotmaps,cbase,mutpanning	7.848113268326071e-13	3.616428701909562e-14	11.0	29.0	28.0	7.6994215305074	11.373836926677999	11.373836926677999	23.0	3.0	LoF
KIT	2	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	9.710029630034363e-12	5.22013806692439e-13	12.0	19.0	19.0	4.3894638582498695	0.0	0.0	15.0	0.0	Act
CDK4	2	hotmaps,mutpanning	hotmaps,mutpanning	1.6392948583170465e-11	9.442385662992296e-13	12.0	11.0	10.0	6.373474018034152	0.0	0.0	10.0	0.0	Act
RB1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,mutpanning	1.3806326260567695e-11	8.179697566354391e-13	14.0	18.0	12.0	0.4935555541040871	9.08560606116731	9.08560606116731	4.0	8.0	LoF
BRD7	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3700844372286845e-11		15.0	11.0	11.0	5.7057643150763715	104.744018058915	104.744018058915	3.0	6.0	LoF
PBRM1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.0944707856997326e-10	1.1796118529551965e-11	16.0	21.0	19.0	0.877470158276992	9.04474058095651	9.04474058095651	8.0	8.0	LoF
TRRAP	2	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	0.0005335733407549113	5.4848330533108676e-05	17.0	74.0	59.0	1.2080858037200102	0.230576360848687	0.230576360848687	42.0	1.0	Act
JAML	3	dndscv,mutpanning		3.970085341694179e-06		18.0	19.0	17.0	7.10143896406704	0.0	0.0	17.0	0.0	Act
RGS7	2	hotmaps,mutpanning	hotmaps	6.775125644874044e-07	3.790992142758338e-08	19.0	53.0	50.0	2.44552871589176	1.03522623527097	1.03522623527097	40.0	2.0	Act
TCIRG1	3	dndscv,oncodrivefml,cbase	cbase	9.215149719121777e-07		20.0	9.0	7.0	0.352020040708526	15.514963496584699	15.514963496584699	1.0	5.0	LoF
