SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.0042687897791513e-18	1.270973262867349e-19	1.0	151.0	148.0	61.540615167359505	270.65134262182397	270.65134262182397	104.0	26.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	3.7035010919300736e-14	2.3485127797463842e-15	2.0	22.0	22.0	82.021712794268	0.0	0.0	22.0	0.0	Act
ARID1A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.2868950521393878	0.22177894202622286	3.0	47.0	46.0	2.0542927389103403	151.358777792986	151.358777792986	6.0	25.0	LoF
PIK3CA	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.868694690831719e-24	1.1850012336773388e-25	4.0	46.0	41.0	20.0294722435609	0.0	0.0	45.0	0.0	Act
SMAD4	2	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.471010705093457e-20	1.5669497796145593e-21	5.0	27.0	25.0	16.5457615908324	8.07485702158128	8.07485702158128	21.0	1.0	Act
CNBD1	2	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	2.511304933804351e-14	1.5925016854270779e-15	6.0	16.0	16.0	13.5387526285215	8.723537399090219	8.723537399090219	14.0	1.0	Act
RHOA	2	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	3.784997983556083e-14	2.400192659606645e-15	7.0	20.0	19.0	73.5177639701288	0.0	0.0	20.0	0.0	Act
CDH1	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.1528581954557014e-17	7.310655884948206e-19	8.0	26.0	26.0	12.783857548133302	37.409356782242	37.409356782242	24.0	0.0	Act
BCOR	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.3280333991394174e-15	2.110416272411158e-16	9.0	14.0	14.0	1.8414133432216495	57.303515337391204	57.303515337391204	5.0	8.0	LoF
RNF43	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	3.132600610069293e-07	2.383783036852296e-08	10.0	11.0	10.0	3.0976937058047302	60.0797227387748	60.0797227387748	3.0	5.0	LoF
ERBB3	2	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	7.118882886841662e-11	4.514319564720988e-12	11.0	21.0	20.0	4.84635809911293	0.0	0.0	18.0	0.0	Act
APC	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.3280333991394174e-15	2.110416272411158e-16	12.0	32.0	32.0	1.48601159075607	14.801318018889804	14.801318018889804	12.0	10.0	LoF
ERBB2	2	hotmaps,mutpanning	mutpanning	3.695589670196881e-07	2.7829013634775694e-08	12.0	12.0	11.0	9.128863919538329	0.0	0.0	12.0	0.0	Act
TOP2A	3	hotmaps,mutpanning	hotmaps,mutpanning	1.0226383188648555e-07		12.0	5.0	5.0	1.5076710293726	0.0	0.0	4.0	0.0	Act
SPTA1	3	oncodriveclustl,hotmaps,smregions	hotmaps	0.00028976942236570583		15.0	83.0	62.0	1.96666585283788	1.4883983787408102	1.4883983787408102	56.0	4.0	Act
CDKN2A	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.767621765483137e-13	4.291573246558402e-14	15.0	11.0	11.0	7.31447955347003	124.226654154765	124.226654154765	6.0	4.0	LoF
ARID2	2	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.9153476848885282e-07	1.4748537526160922e-08	17.0	18.0	17.0	1.15194989878693	17.4765202529277	17.4765202529277	6.0	6.0	LoF
BMPR2	3	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	5.185984125210938e-10		17.0	5.0	4.0	0.0	36.0023797016224	36.0023797016224	0.0	4.0	LoF
FBXW7	2	hotmaps,smregions,mutpanning	hotmaps,smregions,mutpanning	5.100414642275192e-14	3.234341956990311e-15	17.0	16.0	15.0	5.888421772976692	15.4431910467047	15.4431910467047	9.0	3.0	LoF
TRIM49C	3	oncodriveclustl,dndscv,hotmaps	oncodriveclustl,dndscv	3.73470630700082e-06		20.0	12.0	11.0	21.3647349538212	0.0	0.0	12.0	0.0	Act
ERBB4	2	dndscv,hotmaps	dndscv	0.0005324020444625687	8.862361742739604e-05	21.0	37.0	35.0	4.7007278591464114	0.0	0.0	32.0	0.0	Act
CYP7B1	3	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,mutpanning	3.9914719886653183e-10		22.0	14.0	14.0	19.807958165734398	0.0	0.0	14.0	0.0	Act
SOHLH2	3	dndscv,mutpanning	dndscv,mutpanning	1.5907908480673678e-06		22.0	12.0	12.0	21.091185842595998	0.0	0.0	12.0	0.0	Act
TUSC3	3	dndscv,hotmaps,mutpanning		1.5907908480673678e-06		24.0	14.0	13.0	11.5416777596441	9.669305962792642	9.669305962792642	12.0	1.0	Act
PLXNA4	3	dndscv,cbase,mutpanning	cbase	2.080391770398817e-06		25.0	20.0	20.0	12.7666241346476	0.0	0.0	20.0	0.0	Act
KCNMB2	3	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,mutpanning	0.00024300885731212143		25.0	10.0	10.0	13.847920943984196	0.0	0.0	9.0	0.0	Act
TPTE	4	dndscv,mutpanning		0.17997872766159742		27.0	19.0	15.0	6.2545843602449915	0.0	0.0	16.0	0.0	Act
KMT2D	2	oncodriveclustl,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.392109654178451e-08	1.7502877019741993e-09	28.0	25.0	23.0	1.96656006265921	8.48199705675164	8.48199705675164	16.0	4.0	LoF
TRIM49	3	oncodriveclustl,hotmaps,mutpanning		0.0011630727983245825		29.0	7.0	6.0	5.20677978470118	0.0	0.0	6.0	0.0	Act
TLR4	3	dndscv,smregions		2.666567888419041e-05		30.0	23.0	23.0	6.0214341102550994	0.0	0.0	20.0	0.0	Act
C6	4	oncodriveclustl,mutpanning	mutpanning	0.2954476678325973		31.0	8.0	8.0	2.17863573780613	0.0	0.0	6.0	0.0	Act
ZNF98	3	oncodriveclustl,mutpanning	mutpanning	2.7326639614070345e-05		31.0	12.0	11.0	8.76002982778281	0.0	0.0	11.0	0.0	Act
MYCT1	3	oncodriveclustl,mutpanning		0.0010438496515049044		31.0	6.0	6.0	18.884623958562894	0.0	0.0	6.0	0.0	Act
CTNNB1	2	mutpanning	mutpanning	0.0004356631763218056	7.409017747322392e-05	34.0	20.0	17.0	6.170885346929442	0.0	0.0	17.0	0.0	Act
BRWD1	4	mutpanning		0.19153679533018172		34.0	7.0	7.0	0.9133822511655808	2.83700959964131	2.83700959964131	3.0	1.0	LoF
ZC3H18	4	mutpanning	mutpanning	0.1346374451058089		34.0	4.0	4.0	0.8743804047640759	5.21416649471393	5.21416649471393	2.0	1.0	LoF
LRP1B	2	mutpanning	mutpanning	2.0769455282206728e-06	1.781904694092181e-07	34.0	111.0	85.0	2.19323425479246	3.26909238812252	3.26909238812252	81.0	8.0	LoF
HECTD4	3	cbase,mutpanning	cbase	0.0006264749261141006		34.0	18.0	14.0	8.3301522409253	0.0	0.0	17.0	0.0	Act
MAP2K7	3	dndscv,oncodrivefml,cbase	dndscv,cbase	0.0009643170672635248		34.0	11.0	11.0	10.4619482586806	62.644435252204396	62.644435252204396	8.0	2.0	LoF
ACVR2A	2	mutpanning	mutpanning	0.009975359337718278	0.003237415944447296	34.0	4.0	4.0	5.47588861092923	16.5240651285496	16.5240651285496	3.0	1.0	LoF
CD1A	3	hotmaps	hotmaps	0.020414451626362063		43.0	6.0	6.0	5.3288884395254	0.0	0.0	5.0	0.0	Act
OR8K1	4	hotmaps	hotmaps	0.4618279747130891		43.0	6.0	6.0	3.5611832097221603	0.0	0.0	4.0	0.0	Act
OR4A5	4	hotmaps	hotmaps	0.28443636658070914		43.0	13.0	13.0	2.36811032034351	10.1636465478832	10.1636465478832	6.0	1.0	LoF
DMD	3	hotmaps		0.00040212998709238725		43.0	49.0	42.0	2.38182724067355	1.46887262999872	1.46887262999872	38.0	2.0	Act
PI4K2A	4	hotmaps		0.26998701100213496		43.0	2.0	2.0	2.2271327114829	0.0	0.0	2.0	0.0	Act
UNC79	4	hotmaps		0.16383446322906575		43.0	29.0	26.0	1.4181798565506398	0.8072541811124009	0.8072541811124009	19.0	1.0	Act
EPB41L3	3	hotmaps		0.004203392127792651		43.0	30.0	27.0	3.18245888033739	1.5525931865811202	1.5525931865811202	23.0	1.0	Act
COPA	3	hotmaps		0.04722329494179374		43.0	5.0	5.0	0.8127302770927091	0.0	0.0	3.0	0.0	ambiguous
FMN2	3	hotmaps	hotmaps	0.00014390363523001705		43.0	22.0	20.0	2.3512372497994702	0.0	0.0	17.0	0.0	Act
BCHE	4	hotmaps	hotmaps	0.3633971311945352		43.0	14.0	13.0	3.36475729922084	5.23910115236663	5.23910115236663	9.0	1.0	LoF
PTEN	2	hotmaps	hotmaps	1.2978994881285241e-05	1.2345616184661092e-06	43.0	13.0	11.0	5.56565305879727	6.173753631011598	6.173753631011598	8.0	1.0	LoF
ABCB10	3	hotmaps		0.04884543758774345		43.0	4.0	4.0	3.92879628881743	0.0	0.0	4.0	0.0	Act
ANK2	4	hotmaps		0.31633980989418553		43.0	29.0	26.0	1.11757460155976	0.0	0.0	20.0	0.0	Act
ARMC4	3	hotmaps		0.03590345746987046		43.0	15.0	15.0	2.10232195521658	2.39557950414538	2.39557950414538	11.0	0.0	Act
SYNE1	4	hotmaps	hotmaps	0.0598440877718738		43.0	101.0	79.0	1.18563249686902	0.98053596219135	0.98053596219135	69.0	4.0	Act
XYLT2	3	mutpanning		0.02174244918070253		60.0	6.0	6.0	1.93242811894776	0.0	0.0	4.0	0.0	Act
ACTR8	3	hotmaps		0.02941224232525315		62.0	8.0	8.0	1.73060975022429	0.0	0.0	5.0	0.0	Act
LARP4B	2	mutpanning		0.029047467995465374	0.013708702574130758	62.0	4.0	4.0	1.15237537018424	5.72207660462654	5.72207660462654	2.0	1.0	LoF
ITPR3	3	hotmaps		0.033288445808589605		64.0	21.0	20.0	1.33313221127774	0.0	0.0	15.0	0.0	Act
CCR3	3	hotmaps		0.014971157631448097		65.0	9.0	8.0	8.29109273633615	0.0	0.0	8.0	0.0	Act
UPF1	4	hotmaps		0.4673473066639297		65.0	9.0	9.0	0.574764457303693	2.84658895470479	2.84658895470479	3.0	1.0	LoF
CDC42BPB	4	smregions	smregions	0.09140774770866256		67.0	8.0	8.0	0.59684612530186	0.0	0.0	4.0	0.0	ambiguous
UNC80	3	smregions	smregions	0.042309953769083364		67.0	5.0	5.0	1.04867731011918	0.0	0.0	4.0	0.0	Act
OR4C16	3	oncodriveclustl,dndscv	oncodriveclustl,dndscv	0.00014390363523001705		67.0	13.0	12.0	15.4610775270423	0.0	0.0	12.0	0.0	Act
CSMD2	4	smregions	smregions	0.4029003989095576		67.0	33.0	32.0	0.6341057656059929	1.70779017939333	1.70779017939333	15.0	3.0	LoF
TMPRSS15	4	smregions	smregions	0.3760695187071648		67.0	20.0	18.0	0.9949510120034328	1.92537179140653	1.92537179140653	9.0	2.0	LoF
