SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.102791246938569e-13	6.178683254415192e-14	1.0	128.0	125.0	48.85465487654179	197.47572608719898	197.47572608719898	103.0	22.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0016100596087454825	0.0004145319325736322	2.0	31.0	30.0	2.17012608861785	151.697467376813	151.697467376813	6.0	24.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	3.1983290210316017e-14	2.1709233385972925e-15	3.0	18.0	18.0	74.2219168410257	0.0	0.0	18.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	3.4511455912248025e-15	2.3425271320179937e-16	4.0	34.0	31.0	15.446767316213501	0.0	0.0	33.0	0.0	Act
RHOA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	3.73564827990833e-15	2.5356384481756844e-16	4.0	19.0	18.0	77.54460192720092	0.0	0.0	19.0	0.0	Act
CDH1	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.873525732847276e-16	6.701833146849121e-17	6.0	24.0	24.0	13.10141007276	31.6007339313862	31.6007339313862	23.0	0.0	Act
BCOR	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.471037523636727e-11	5.749869053892651e-12	6.0	13.0	13.0	1.94116380227716	53.4570179517014	53.4570179517014	5.0	7.0	LoF
APC	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.73564827990833e-15	2.5356384481756844e-16	8.0	25.0	25.0	1.41325121148392	15.7217896263961	15.7217896263961	11.0	10.0	LoF
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.063715559351032e-18	4.115855979746813e-19	9.0	21.0	20.0	15.9055692766681	8.520025406142139	8.520025406142139	19.0	1.0	Act
CNBD1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.0579354751272563e-13	7.180927286033225e-15	10.0	15.0	15.0	13.279218143636598	9.260458542694321	9.260458542694321	13.0	1.0	Act
ERBB3	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	6.370652681182964e-09	5.044894249316301e-10	11.0	20.0	19.0	5.09243891995529	0.0	0.0	18.0	0.0	Act
TOP2A	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	0.00011193048353936277		12.0	5.0	5.0	1.61188322374288	0.0	0.0	4.0	0.0	Act
FBXW7	1	oncodriveclustl,hotmaps,smregions,cbase,mutpanning	hotmaps,smregions,cbase,mutpanning	1.7078141712797823e-13	1.159209580389772e-14	12.0	11.0	11.0	12.014145721187804	21.4788667030547	21.4788667030547	9.0	2.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.4328059267842135e-12	3.687614720989961e-13	14.0	10.0	10.0	6.759323487138902	133.452040574709	133.452040574709	5.0	4.0	LoF
ERBB2	1	hotmaps,mutpanning	mutpanning	6.294629634358736e-07	5.4119512102043476e-08	15.0	11.0	10.0	9.41089293680538	0.0	0.0	11.0	0.0	Act
ARID2	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.8783378569475247e-08	1.4711026137292245e-09	16.0	15.0	15.0	1.16925776064824	17.715155438845	17.715155438845	6.0	6.0	LoF
