SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.425982372747488e-20	3.324442747116511e-21	1.0	143.0	141.0	55.79114141049421	250.914807852575	250.914807852575	96.0	24.0	LoF
ARID1A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.1154526852242896	0.06724151921844239	2.0	46.0	44.0	2.00184955410152	135.73823821944902	135.73823821944902	6.0	23.0	LoF
PIK3CA	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	9.065079130640726e-28	5.554079334879229e-29	3.0	48.0	42.0	18.7011157754468	0.0	0.0	44.0	0.0	Act
KRAS	2	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	2.352810444235273e-19	1.4415423934960757e-20	4.0	21.0	21.0	73.1438215329394	0.0	0.0	21.0	0.0	Act
BCOR	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.300571154828407e-13	7.968463673037913e-15	5.0	13.0	13.0	3.24082263657637	89.5958333088683	89.5958333088683	5.0	7.0	LoF
RHOA	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	6.579964555152386e-14	4.0314755815514454e-15	5.0	19.0	18.0	66.7168021053766	0.0	0.0	19.0	0.0	Act
SMAD4	2	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.370863791847313e-19	2.0652930500859867e-20	5.0	30.0	28.0	17.1362043317307	7.92549938561123	7.92549938561123	22.0	1.0	Act
CNBD1	2	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.0508127244780767e-17	6.438219847551752e-19	8.0	16.0	16.0	12.954260093071802	8.353244155226559	8.353244155226559	14.0	1.0	Act
CDH1	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.017040825946728e-17	2.4611989721462e-18	8.0	27.0	26.0	12.4167876137657	43.3635796601296	43.3635796601296	24.0	0.0	Act
APC	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.0357408857239075e-17	3.0853458625273724e-18	8.0	33.0	32.0	1.32290717565252	17.1776759635205	17.1776759635205	11.0	12.0	LoF
RNF43	2	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	2.801152726272307e-09	1.8388253877425653e-10	11.0	13.0	12.0	4.02094336561012	58.136321305843104	58.136321305843104	4.0	5.0	LoF
ERBB2	2	cbase,mutpanning	cbase,mutpanning	8.592359715785209e-10	5.669406706986902e-11	12.0	15.0	14.0	11.100986808629902	0.0	0.0	15.0	0.0	Act
ERBB3	2	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	2.7724932682599855e-11	1.6986776778688949e-12	13.0	23.0	22.0	5.24374263290803	0.0	0.0	20.0	0.0	Act
PLXNA4	3	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	9.471708783115347e-08		14.0	25.0	25.0	14.7850433765557	0.0	0.0	24.0	0.0	Act
BMPR2	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	2.3252820850123845e-08		14.0	6.0	5.0	0.8000158954641441	35.4247496748995	35.4247496748995	1.0	4.0	LoF
CYP7B1	3	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	9.682815781551002e-11		16.0	15.0	15.0	20.386791558434	0.0	0.0	15.0	0.0	Act
KMT2D	2	oncodrivefml,cbase,mutpanning	cbase,mutpanning	4.251430259267321e-10	2.8218741749058768e-11	17.0	28.0	27.0	2.18242134608878	8.31722565728244	8.31722565728244	18.0	4.0	LoF
HECTD4	3	cbase,mutpanning	cbase	2.0314237996602797e-06		18.0	19.0	15.0	8.00152807329861	0.0	0.0	17.0	0.0	Act
CD1E	3	hotmaps,smregions,mutpanning	hotmaps	1.6061694817234947e-08		19.0	10.0	10.0	8.404755043256	0.0	0.0	9.0	0.0	Act
ARID2	2	dndscv,cbase,mutpanning	dndscv,cbase	0.00011916088690863291	1.891587264216264e-05	20.0	20.0	18.0	1.29083473002857	14.68741292536	14.68741292536	7.0	6.0	LoF
FBXW7	2	hotmaps,smregions	hotmaps,smregions	4.425381491458445e-11	2.7113850344215498e-12	21.0	15.0	14.0	4.99652074772483	15.077169903347098	15.077169903347098	8.0	3.0	LoF
KCNMB2	3	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	0.0018682087039323804		22.0	11.0	11.0	14.7779814913838	0.0	0.0	10.0	0.0	Act
ZNF98	3	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	2.645736302549549e-07		22.0	13.0	13.0	18.0316166864893	0.0	0.0	13.0	0.0	Act
TRIM49C	3	oncodriveclustl,dndscv,hotmaps	oncodriveclustl,dndscv,hotmaps	4.729553563443216e-06		24.0	16.0	15.0	13.4931124102107	0.0	0.0	15.0	0.0	Act
ERBB4	2	oncodriveclustl,dndscv,hotmaps	dndscv,hotmaps	0.00011506040576089434	1.8463319093042573e-05	24.0	39.0	38.0	5.86147414335742	0.0	0.0	35.0	0.0	Act
CDH11	2	dndscv,mutpanning	dndscv,mutpanning	2.3184198868878815e-08	1.7045659896972436e-09	26.0	23.0	22.0	7.76288286076602	0.0	0.0	21.0	0.0	Act
SOHLH2	3	dndscv,mutpanning	dndscv,mutpanning	1.7257837913028796e-07		26.0	14.0	14.0	23.043332339535	0.0	0.0	14.0	0.0	Act
CNGA4	3	oncodriveclustl,mutpanning	mutpanning	6.476008625059768e-08		26.0	11.0	11.0	11.8343925276981	0.0	0.0	11.0	0.0	Act
TUSC3	3	dndscv,mutpanning	dndscv	1.9686200911434927e-06		26.0	15.0	14.0	12.051660988733197	9.28322302619252	9.28322302619252	13.0	1.0	Act
ACVR2A	2	mutpanning	mutpanning	1.4545874500162404e-06	1.415452039329751e-07	30.0	4.0	4.0	5.0431114913015715	15.293338536215101	15.293338536215101	3.0	1.0	LoF
LARP4B	2	mutpanning		0.0018443674037160762	0.0004725557632383924	30.0	3.0	3.0	2.04096779849712	10.122774735583	10.122774735583	2.0	1.0	LoF
SPTA1	3	oncodriveclustl,hotmaps	hotmaps	1.7599785318403127e-05		30.0	87.0	65.0	2.18398599912577	1.87312587326836	1.87312587326836	60.0	4.0	Act
ST8SIA6	3	mutpanning	mutpanning	7.420443952761929e-06		30.0	4.0	4.0	4.93829992994919	26.521133197912306	26.521133197912306	3.0	1.0	LoF
TPTE	3	mutpanning	mutpanning	0.0009259404861377113		30.0	18.0	16.0	7.924194410102942	3.2344316470388503	3.2344316470388503	16.0	0.0	Act
ZC3H18	3	mutpanning		0.012266175224838369		30.0	6.0	6.0	1.27854469543402	5.01864621186275	5.01864621186275	3.0	1.0	LoF
CTNNB1	2	mutpanning		0.0011011011116401359	0.0002611483178742454	30.0	21.0	18.0	5.91240704800216	0.0	0.0	17.0	0.0	Act
PTPRT	2	mutpanning		0.015177499331003281	0.0056099460604129535	30.0	31.0	30.0	1.88746739480538	0.927526795513248	0.927526795513248	22.0	1.0	Act
TRIM49	3	hotmaps,mutpanning		0.0021401886246316076		40.0	8.0	7.0	5.8368301045088105	0.0	0.0	7.0	0.0	Act
TOP2A	3	oncodriveclustl,hotmaps	hotmaps	0.003655047411682688		40.0	4.0	4.0	1.08947537267888	3.0558443810344302	3.0558443810344302	3.0	0.0	ambiguous
TTN	3	oncodriveclustl,smregions		1.963290167953744e-06		42.0	354.0	191.0	1.56382680866655	1.04296949859967	1.04296949859967	243.0	12.0	Act
SCN10A	3	dndscv,cbase	dndscv,cbase	0.0007045395603209497		42.0	24.0	23.0	14.042333433105302	8.777229693406369	8.777229693406369	22.0	1.0	Act
