SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.6907394967550212e-14	1.19805449674305e-15	1.0	119.0	117.0	89.56301356083469	401.605176704467	401.605176704467	94.0	24.0	LoF
KRAS	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	5.348680728112711e-11	3.79006405792081e-12	2.0	26.0	26.0	110.92924321971	0.0	0.0	26.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.1103038641570936e-14	2.9125527834920236e-15	3.0	24.0	24.0	2.7436982231604503	101.104050773374	101.104050773374	8.0	15.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.204528452762305e-25	4.396515978522226e-26	4.0	35.0	31.0	30.3959528547888	0.0	0.0	35.0	0.0	Act
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.584383433373564e-19	3.248484581858296e-20	5.0	19.0	19.0	27.7294417726806	16.0663120659894	16.0663120659894	18.0	1.0	Act
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.9445334923554734e-12	2.795088242239591e-13	6.0	11.0	11.0	7.55355831469533	133.348933766454	133.348933766454	6.0	4.0	LoF
APC	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	5.348680728112711e-11	3.79006405792081e-12	7.0	26.0	24.0	1.2987995340789298	13.782489483076699	13.782489483076699	11.0	10.0	LoF
CNBD1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	1.6907394967550212e-14	1.19805449674305e-15	8.0	12.0	12.0	11.3592690390771	10.257920176902198	10.257920176902198	10.0	1.0	Act
RNF43	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	5.1662857716048945e-09	3.942420860500676e-10	9.0	10.0	9.0	1.71270762984338	40.191264702146505	40.191264702146505	3.0	6.0	LoF
BCOR	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.909591305038327e-09	1.4658934698069138e-10	10.0	10.0	10.0	1.53111993611249	40.895358404403	40.895358404403	4.0	5.0	LoF
CDH1	1	dndscv,oncodrivefml,hotmaps,mutpanning	dndscv,oncodrivefml,hotmaps	1.2881654677826142e-13	9.127913757193605e-15	11.0	20.0	20.0	7.50207994214336	24.034964393316997	24.034964393316997	18.0	0.0	Act
