SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.8230413116311515e-22	4.754558694628425e-23	1.0	161.0	157.0	47.7964257583019	198.92949823353803	198.92949823353803	112.0	25.0	LoF
SMAD4	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4957340832516305e-21	9.090525292002214e-23	2.0	31.0	29.0	17.717101283501698	7.89302304232594	7.89302304232594	23.0	1.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.150285000349837e-06	5.606877784100375e-07	3.0	23.0	23.0	81.95603179653341	0.0	0.0	23.0	0.0	Act
ARID1A	4	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.3932214792268834	0.3118762716045052	4.0	52.0	48.0	2.03184509993606	149.723293921579	149.723293921579	6.0	25.0	LoF
PIK3CA	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	4.3728403008609236e-24	2.657652573273303e-25	5.0	50.0	43.0	19.3867356478542	0.0	0.0	46.0	0.0	Act
CDH1	2	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	7.770900441423325e-21	4.722869378681244e-22	6.0	32.0	29.0	14.431749296327698	43.2015447231833	43.2015447231833	28.0	0.0	Act
CNBD1	2	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	3.314460551723287e-12	2.0144080296200148e-13	7.0	15.0	15.0	12.064771933793097	8.407624223740969	8.407624223740969	13.0	1.0	Act
BCOR	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.3238998645223743e-16	2.0201448990742878e-17	8.0	15.0	15.0	1.7838324043494902	54.921298037148	54.921298037148	5.0	8.0	LoF
RNF43	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	3.396300692272986e-07	2.540489202484957e-08	9.0	12.0	11.0	4.095828675375089	59.9093708443125	59.9093708443125	4.0	5.0	LoF
RHOA	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	5.132572502754267e-11	3.1193900487907412e-12	9.0	21.0	20.0	73.72158397949309	0.0	0.0	21.0	0.0	Act
