SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.241300091745065e-19	7.90572535329571e-21	1.0	147.0	144.0	87.9735512071402	383.591189995299	383.591189995299	101.0	26.0	LoF
ARID1A	4	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.4555740911288416	0.3934436130178912	2.0	49.0	47.0	2.08925792810012	133.709933712676	133.709933712676	6.0	21.0	LoF
KRAS	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.0260865266041843e-18	6.535050083373269e-20	3.0	22.0	22.0	86.2983504749432	0.0	0.0	22.0	0.0	Act
PIK3CA	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	5.679205148021449e-15	3.6170331754476163e-16	4.0	44.0	38.0	37.14650368648879	0.0	0.0	44.0	0.0	Act
BCOR	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.9897227391307888e-13	1.267235989861338e-14	5.0	14.0	14.0	1.87619331581254	58.7620494714196	58.7620494714196	5.0	8.0	LoF
SMAD4	2	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.591595372041686e-18	6.108798284603465e-19	6.0	27.0	25.0	17.0540076916286	8.39273505786685	8.39273505786685	21.0	1.0	Act
APC	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2575275611643138e-13	8.009076603537892e-15	7.0	32.0	32.0	1.52630653247244	14.8937845714886	14.8937845714886	12.0	10.0	LoF
CNBD1	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	5.808315804471001e-13	3.6992625571146165e-14	8.0	13.0	13.0	11.168875609965301	9.08889836329462	9.08889836329462	11.0	1.0	Act
CDH1	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.5470551713334422e-13	9.853051145564503e-15	9.0	25.0	23.0	11.9704976858553	31.055617987725395	31.055617987725395	22.0	0.0	Act
CDKN2A	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.950178156299665e-12	1.8789411522727531e-13	10.0	12.0	12.0	7.17459229560956	125.14934896056002	125.14934896056002	6.0	4.0	LoF
