SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KIT	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.158615713419547e-21	1.8309699216814123e-20	1.0	16.0	15.0	181.900851351051	0.0	0.0	16.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.9086954086608663e-09	1.6860974198172344e-08	2.0	10.0	10.0	613.7146998075509	0.0	0.0	10.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,cbase	9.589651815483896e-13	5.558879467024405e-12	3.0	5.0	5.0	298.43453010947496	0.0	0.0	5.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl,smregions	1.1938797589543406e-06	8.650775082667123e-06	4.0	3.0	3.0	32.212248303871	0.0	0.0	3.0	0.0	Act
NISCH	1	oncodriveclustl,dndscv,oncodrivefml,smregions	smregions	2.3967510473607628e-05		5.0	3.0	3.0	21.060243970838197	0.0	0.0	3.0	0.0	Act
KDM2A	1	oncodrivefml		5.751547037637955e-05		6.0	2.0	2.0	9.161137177669751	78.971405790113	78.971405790113	1.0	1.0	LoF
FAT4	1	oncodrivefml		0.00015407589661312488	0.0026794174215892205	7.0	2.0	2.0	2.20612474575242	35.674822206136604	35.674822206136604	1.0	1.0	LoF
PCLO	1	dndscv,oncodrivefml,smregions	smregions	2.3967510473607628e-05		8.0	4.0	4.0	8.736355390786999	0.0	0.0	4.0	0.0	Act
CYP1A1	1	dndscv,oncodrivefml		3.1020527566936105e-05		9.0	2.0	2.0	21.8246737550533	258.42452749981703	258.42452749981703	1.0	1.0	LoF
GRK1	1	dndscv,oncodrivefml		0.0005385550650198712		9.0	2.0	2.0	38.4196733869111	0.0	0.0	2.0	0.0	Act
DGLUCY	1	dndscv,oncodrivefml		0.024652130193281267		9.0	2.0	2.0	35.015884037047	0.0	0.0	2.0	0.0	Act
CASD1	1	dndscv,oncodrivefml		6.325729468902265e-05		9.0	2.0	2.0	14.8448642320015	107.372338137822	107.372338137822	1.0	1.0	LoF
ARSG	1	dndscv,oncodrivefml		0.0007634457285470313		9.0	2.0	2.0	40.058814704137795	0.0	0.0	2.0	0.0	Act
CAPN7	1	dndscv,oncodrivefml		0.0019327238962359532		9.0	2.0	2.0	28.23769721378289	0.0	0.0	2.0	0.0	Act
CSRNP3	1	dndscv,oncodrivefml		0.0008645423416452138		9.0	2.0	2.0	37.2639991940683	0.0	0.0	2.0	0.0	Act
ACOT9	1	dndscv,oncodrivefml		0.0007384106546181355		9.0	2.0	2.0	50.2131685079144	0.0	0.0	2.0	0.0	Act
MTF2	1	dndscv,oncodrivefml		0.00010458124549757398		9.0	2.0	2.0	18.9823593602437	132.077674046965	132.077674046965	1.0	1.0	LoF
HMCN1	1	oncodrivefml,smregions	smregions	8.936292116306154e-07		18.0	3.0	3.0	5.925661355986789	0.0	0.0	3.0	0.0	Act
NEB	1	oncodrivefml,smregions	smregions	2.3967510473607628e-05		19.0	3.0	3.0	3.969526176080621	0.0	0.0	3.0	0.0	Act
MARS	3	oncodrivefml		0.005781193403809754		20.0	2.0	2.0	0.0	90.26787828534799	90.26787828534799	0.0	1.0	LoF
SACS	3	oncodrivefml		0.00031986155837746845		20.0	3.0	3.0	7.6801180913115585	0.0	0.0	3.0	0.0	Act
ANO7	3	oncodrivefml		0.0005385550650198712		20.0	2.0	2.0	21.935814258544106	0.0	0.0	2.0	0.0	Act
TELO2	3	oncodrivefml		0.0005385550650198712		20.0	2.0	2.0	24.292314316093396	0.0	0.0	2.0	0.0	Act
DDX54	3	oncodrivefml		0.0007643957556392867		20.0	2.0	2.0	22.893021289107597	0.0	0.0	2.0	0.0	Act
HUWE1	3	oncodrivefml		0.0002812508801781388		20.0	2.0	2.0	2.51873359869203	22.6432308193231	22.6432308193231	1.0	1.0	LoF
APOB	3	oncodrivefml		0.0011579427864710232		20.0	2.0	2.0	5.1714562354672005	0.0	0.0	2.0	0.0	Act
KNL1	4	oncodrivefml		0.37743920003110026		20.0	2.0	2.0	4.94020534863914	0.0	0.0	1.0	0.0	Act
CNOT3	2	oncodrivefml		0.0010953976645378812	0.023856805190471488	20.0	2.0	2.0	27.6206097224079	0.0	0.0	2.0	0.0	Act
LYST	3	oncodrivefml		0.004776629434733534		20.0	2.0	2.0	6.1139614550504895	0.0	0.0	2.0	0.0	Act
DPP3	3	oncodrivefml		0.004776629434733534		20.0	2.0	2.0	0.0	115.929100932936	115.929100932936	0.0	1.0	LoF
ZFHX4	3	oncodrivefml		0.0041338656992477504		20.0	2.0	2.0	6.09182338685709	0.0	0.0	2.0	0.0	Act
SETX	3	oncodrivefml		0.0039017125921014936		20.0	2.0	2.0	8.48685158922523	0.0	0.0	2.0	0.0	Act
UTRN	3	oncodrivefml		0.007611073451235794		20.0	2.0	2.0	0.0	22.2943484082039	22.2943484082039	0.0	1.0	LoF
TACC2	3	oncodrivefml		0.0033041149732915692		20.0	2.0	2.0	7.26197081606476	0.0	0.0	2.0	0.0	Act
NYNRIN	4	oncodrivefml		0.12757764629265286		20.0	2.0	2.0	5.83275496741027	0.0	0.0	1.0	0.0	Act
SPTBN5	3	oncodrivefml		0.002654824356508992		20.0	2.0	2.0	5.98678129556995	0.0	0.0	2.0	0.0	Act
NOTCH3	3	oncodrivefml		0.0019327238962359532		20.0	2.0	2.0	8.228658359751153	0.0	0.0	2.0	0.0	Act
EDC4	3	oncodrivefml		0.001806157650369953		20.0	2.0	2.0	15.201554136122999	0.0	0.0	2.0	0.0	Act
DNAH6	3	oncodrivefml		0.001806157650369953		20.0	2.0	2.0	5.53619224856717	0.0	0.0	2.0	0.0	Act
RPLP0	4	oncodrivefml		0.061828595549253386		20.0	2.0	2.0	34.5131461917841	0.0	0.0	1.0	0.0	Act
COG1	3	oncodrivefml		0.0014301366830957456		20.0	2.0	2.0	22.334304055015696	0.0	0.0	2.0	0.0	Act
KIAA1551	4	mutpanning		0.3094005157651785		102.0	2.0	2.0	6.61596377582922	0.0	0.0	1.0	0.0	Act
HORMAD1	4	mutpanning		0.2635164948046837		108.0	2.0	2.0	29.994443839344306	0.0	0.0	1.0	0.0	Act
EMID1	3	dndscv		2.7063417470737868e-05		120.0	3.0	3.0	66.9487728150047	0.0	0.0	3.0	0.0	Act
ANKRD50	3	dndscv,smregions		0.00023172103428952128		121.0	4.0	4.0	23.4471822133647	0.0	0.0	3.0	0.0	Act
ANKRD11	3	oncodriveclustl	oncodriveclustl	0.0161599763278338		122.0	3.0	2.0	7.675083274960611	0.0	0.0	2.0	0.0	Act
B3GNT8	3	dndscv		0.0017196827667528376		122.0	2.0	2.0	52.0351870630388	0.0	0.0	2.0	0.0	Act
SRCAP	3	dndscv		4.2444025714758064e-05		122.0	4.0	4.0	6.426445115839488	40.805678165740794	40.805678165740794	2.0	1.0	LoF
MIER3	3	dndscv		0.004776629434733534		122.0	2.0	2.0	39.7829540841765	0.0	0.0	2.0	0.0	Act
