SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KIT	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.7253219825616539e-12	5.6171441715363436e-12	1.0	21.0	20.0	250.719971725215	0.0	0.0	21.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	5.053299853446004e-09	1.6452067559392697e-08	2.0	10.0	10.0	623.770893812852	0.0	0.0	10.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.4659409504282132e-11	4.772675331759434e-11	3.0	5.0	5.0	281.142162634352	0.0	0.0	5.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,smregions,mutpanning	oncodriveclustl,smregions	2.6410125147038794e-06	1.2037710923184532e-05	4.0	3.0	3.0	29.244914264590697	0.0	0.0	3.0	0.0	Act
BIRC6	1	oncodrivefml,cbase,mutpanning	cbase	3.094481556282099e-08	1.0074727623877336e-07	5.0	4.0	4.0	5.9077740680469	17.784282786862	17.784282786862	3.0	1.0	LoF
NISCH	1	oncodriveclustl,smregions,mutpanning	smregions	9.473831043156496e-07		6.0	3.0	3.0	19.436738393581	0.0	0.0	3.0	0.0	Act
HMCN1	1	oncodrivefml,smregions	smregions	1.4922462423962786e-05		7.0	3.0	3.0	5.774845458983232	0.0	0.0	3.0	0.0	Act
NEB	1	smregions	smregions	1.0490613113899817e-05		8.0	3.0	3.0	4.6812918179248	0.0	0.0	3.0	0.0	Act
TTN	1	smregions	smregions	0.0006322150838667983		9.0	7.0	7.0	5.42332777160331	0.0	0.0	6.0	0.0	Act
LRP1B	1	smregions	smregions	3.343909248463081e-05	0.00024735858889777905	10.0	4.0	4.0	8.28850685231684	0.0	0.0	3.0	0.0	Act
SSPO	1	smregions,mutpanning	smregions	0.0012388420044974749		11.0	5.0	5.0	3.115900246179089	0.0	0.0	3.0	0.0	Act
DMD	1	smregions	smregions	0.0031074333231963947		12.0	4.0	4.0	7.2427887714545	22.3310875067222	22.3310875067222	2.0	1.0	LoF
PCLO	1	smregions	smregions	0.0019531639097157853		12.0	4.0	4.0	9.31642646826624	0.0	0.0	4.0	0.0	Act
NOTCH3	1	oncodrivefml,smregions,mutpanning	smregions	4.157233236882301e-06		14.0	3.0	3.0	10.101988506824501	0.0	0.0	3.0	0.0	Act
ZZEF1	1	oncodrivefml,smregions,mutpanning		4.909748412865715e-05		15.0	3.0	3.0	6.337995792980942	0.0	0.0	3.0	0.0	Act
