SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KIT	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.970128986790841e-17	4.949653450676593e-16	1.0	15.0	14.0	205.271783349275	0.0	0.0	15.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	dndscv,cbase	1.0636930449500057e-11	8.818757454062257e-11	2.0	5.0	5.0	374.043944330777	0.0	0.0	5.0	0.0	Act
MUC4	1	dndscv,oncodrivefml,cbase	dndscv,cbase	0.002881607530351509	0.08687467945626326	3.0	9.0	7.0	18.5466472628219	0.0	0.0	8.0	0.0	Act
NISCH	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	smregions,cbase	1.7416095499364233e-05		4.0	3.0	3.0	25.1612618057823	0.0	0.0	3.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv		0.0009987295246221574	0.02898057591505342	6.0	2.0	2.0	146.156674942575	0.0	0.0	2.0	0.0	Act
MUC5B	1	dndscv,cbase	cbase	1.5977824097608262e-05		11.0	4.0	4.0	8.50410224397371	0.0	0.0	4.0	0.0	Act
DMD	1	smregions,cbase	smregions,cbase	3.818366455140935e-05		12.0	4.0	4.0	7.624131023629639	25.5241470988061	25.5241470988061	2.0	1.0	LoF
HORMAD1	4	mutpanning		0.13911512968269754		61.0	2.0	2.0	36.633007253937706	0.0	0.0	1.0	0.0	Act
KIAA1551	4	mutpanning		0.2536240874965455		67.0	2.0	2.0	8.06209509986686	0.0	0.0	1.0	0.0	Act
WNK3	4	mutpanning		0.2710490603220808		71.0	2.0	2.0	7.60352028886363	0.0	0.0	1.0	0.0	Act
ACOT9	3	dndscv,oncodrivefml		0.00012910300919831202		86.0	2.0	2.0	60.692729507576104	0.0	0.0	2.0	0.0	Act
MTF2	3	dndscv,oncodrivefml		2.7097773702233372e-05		86.0	2.0	2.0	23.168639573611607	169.082141484545	169.082141484545	1.0	1.0	LoF
CSRNP3	3	dndscv,oncodrivefml		0.00018350155845135824		86.0	2.0	2.0	44.6813857058942	0.0	0.0	2.0	0.0	Act
CAPN7	3	dndscv,oncodrivefml		0.0005006761717248333		86.0	2.0	2.0	34.2626121157104	0.0	0.0	2.0	0.0	Act
ARSG	3	dndscv,oncodrivefml		0.0001680365377266022		86.0	2.0	2.0	48.433815197188	0.0	0.0	2.0	0.0	Act
GRK1	3	dndscv,oncodrivefml		0.0001490590490614091		86.0	2.0	2.0	45.958170406002104	0.0	0.0	2.0	0.0	Act
HMCN1	3	oncodrivefml,smregions	smregions	1.200193233700601e-06		92.0	3.0	3.0	7.20648988734231	0.0	0.0	3.0	0.0	Act
EDC4	3	dndscv,oncodrivefml		0.0008235171452516734		93.0	2.0	2.0	18.2711187862905	0.0	0.0	2.0	0.0	Act
SACS	3	dndscv,oncodrivefml		0.0001490590490614091		93.0	3.0	3.0	9.3193028028583	0.0	0.0	3.0	0.0	Act
NEB	3	oncodrivefml,smregions	smregions	1.5977824097608262e-05		95.0	3.0	3.0	4.8023188624692414	0.0	0.0	3.0	0.0	Act
ZBTB10	3	dndscv		0.0014625312721167818		96.0	2.0	2.0	28.764955312610397	0.0	0.0	2.0	0.0	Act
ANKRD50	3	dndscv,smregions		2.7097773702233372e-05		96.0	4.0	4.0	28.553533917568398	0.0	0.0	3.0	0.0	Act
SNX20	3	dndscv		0.00017967667278034034		96.0	2.0	2.0	72.9116303979734	0.0	0.0	2.0	0.0	Act
B3GNT8	3	dndscv		0.0002530316830657063		96.0	2.0	2.0	62.2755065982188	0.0	0.0	2.0	0.0	Act
ADSS	3	dndscv		0.0004357042608143524		96.0	2.0	2.0	59.5872588952027	0.0	0.0	2.0	0.0	Act
MIER3	3	dndscv		0.0008380279389311718		96.0	2.0	2.0	48.352858289360505	0.0	0.0	2.0	0.0	Act
TMEM182	3	dndscv		0.001802658746116608		96.0	2.0	2.0	0.0	482.80892136462006	482.80892136462006	0.0	1.0	LoF
