SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KIT	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.078780904522635e-12	2.002845549573269e-11	1.0	21.0	20.0	561.124907575189	0.0	0.0	21.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.152057839311666e-11	3.259592219957213e-11	2.0	12.0	12.0	1707.16325587553	0.0	0.0	12.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	3.218856373841402e-13	9.107319819638571e-13	3.0	5.0	5.0	657.117341682055	0.0	0.0	5.0	0.0	Act
BIRC6	1	oncodrivefml,cbase,mutpanning	cbase	2.4537045231183987e-07	6.942425892791343e-07	4.0	4.0	4.0	14.3828341320577	43.142491427264396	43.142491427264396	3.0	1.0	LoF
MUC4	1	oncodriveclustl,dndscv	oncodriveclustl,dndscv	0.0001121833379931446	0.0009225242257356897	5.0	29.0	22.0	7.30934440533824	0.0	0.0	21.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl,smregions	1.5618297405262515e-06	4.418986527758799e-06	5.0	3.0	3.0	68.3870558828738	0.0	0.0	3.0	0.0	Act
ANKRD30A	1	dndscv,smregions,mutpanning		0.0023308245071163225		7.0	4.0	3.0	88.9542929300358	0.0	0.0	4.0	0.0	Act
ABCA13	1	cbase	cbase	0.007783728268582563		8.0	2.0	2.0	10.899356208557696	0.0	0.0	2.0	0.0	Act
ZSCAN10	1	dndscv,oncodrivefml		0.00015178577132827278		45.0	2.0	2.0	0.0	384.24711263888395	384.24711263888395	0.0	1.0	LoF
DPP3	1	dndscv,oncodrivefml		0.000817434270830768		45.0	3.0	2.0	0.0	71.6416923256175	71.6416923256175	0.0	1.0	LoF
