SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
KIT	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.841068640043147e-14	1.766891574419847e-13	1.0	18.0	17.0	561.70371393609	0.0	0.0	18.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.5300776545729747e-10	1.6238357211035688e-09	2.0	10.0	10.0	1804.0626888049694	0.0	0.0	10.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	6.647385110566777e-16	3.0577971508607173e-15	3.0	5.0	5.0	830.229859309897	0.0	0.0	5.0	0.0	Act
MUC4	1	oncodriveclustl,dndscv	oncodriveclustl,dndscv	0.00011850843685026534	0.0010902776190224411	4.0	22.0	18.0	8.68250394223256	0.0	0.0	16.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl,smregions	4.0148030444788806e-08	1.8468094004602846e-07	5.0	3.0	3.0	89.6526687406338	0.0	0.0	3.0	0.0	Act
UPK3BL2	3	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	0.000837822306619881		6.0	2.0	2.0	178.816575450625	0.0	0.0	2.0	0.0	Act
SRCAP	3	dndscv,mutpanning		0.0004425305875230938		6.0	5.0	5.0	8.86352960994168	55.765140980081995	55.765140980081995	2.0	1.0	LoF
ZFC3H1	3	dndscv,oncodrivefml	oncodrivefml	0.0004217237993727114		6.0	2.0	2.0	0.0	122.781256508	122.781256508	0.0	1.0	LoF
CYP1A1	3	dndscv,oncodrivefml		7.781249793381177e-05		6.0	2.0	2.0	64.3599620812097	775.1813199960719	775.1813199960719	1.0	1.0	LoF
KDM2A	3	dndscv,oncodrivefml		7.781249793381177e-05		6.0	2.0	2.0	39.1460895783654	338.650363713118	338.650363713118	1.0	1.0	LoF
NDST1	3	dndscv,oncodrivefml		0.0014830357756238175		6.0	2.0	2.0	0.0	446.937706884635	446.937706884635	0.0	1.0	LoF
LRP1B	2	dndscv,smregions	smregions	6.964879306357119e-05	0.0005766920065663695	6.0	4.0	4.0	25.5423912170567	0.0	0.0	3.0	0.0	Act
DPP3	3	dndscv,oncodrivefml		0.0014830357756238175		6.0	3.0	2.0	0.0	106.53982262081	106.53982262081	0.0	1.0	LoF
NISCH	3	oncodriveclustl,dndscv,smregions	smregions	1.411477699475432e-07		6.0	3.0	3.0	62.2272290763012	0.0	0.0	3.0	0.0	Act
LARP4B	2	dndscv,oncodrivefml		0.08923466286137835	0.19420450497779213	6.0	3.0	2.0	40.0078060054007	0.0	0.0	1.0	0.0	Act
ABCA13	3	cbase	cbase	0.008178909896996807		17.0	2.0	2.0	16.2475552303687	0.0	0.0	2.0	0.0	Act
EMID1	3	dndscv		0.0003474845944128708		55.0	3.0	3.0	201.148720248395	0.0	0.0	3.0	0.0	Act
HMCN1	3	oncodrivefml,smregions	smregions	1.314832829004485e-05		59.0	3.0	3.0	16.0430265602788	0.0	0.0	3.0	0.0	Act
RPLP0	4	dndscv		0.23107462440278584		59.0	3.0	3.0	62.3472364010407	0.0	0.0	1.0	0.0	Act
SNX20	3	dndscv		0.00975521106970771		59.0	2.0	2.0	172.04400508922	0.0	0.0	2.0	0.0	Act
HIST1H3C	4	dndscv		0.446402959058042		59.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
ZNF277	4	dndscv		0.2431289179177857		59.0	2.0	2.0	84.1040034837205	0.0	0.0	1.0	0.0	Act
GOLGA6L6	4	dndscv		0.06666567497003559		59.0	2.0	2.0	46.11627940264	0.0	0.0	2.0	0.0	Act
ADSS	3	dndscv		0.016801841859751462		59.0	2.0	2.0	227.098296325336	0.0	0.0	2.0	0.0	Act
FUT8	4	mutpanning		0.4268333660396237		99.0	2.0	2.0	16.9859907524636	0.0	0.0	1.0	0.0	Act
FAT4	2	oncodrivefml		0.00011850843685026534	0.0010902776190224411	115.0	2.0	2.0	7.679395131003308	123.590458856734	123.590458856734	1.0	1.0	LoF
MAG	3	oncodrivefml		6.365316167143238e-05		115.0	2.0	2.0	26.0761135827248	292.763419010302	292.763419010302	1.0	1.0	LoF
NEB	3	smregions	smregions	3.842518852898734e-05		115.0	3.0	3.0	13.0887798843628	0.0	0.0	3.0	0.0	Act
TTN	3	smregions	smregions	0.0020493205521207587		118.0	6.0	5.0	3.8959318797235096	0.0	0.0	5.0	0.0	Act
PCLO	3	smregions	smregions	0.002493319248804842		119.0	4.0	4.0	22.8100068750622	0.0	0.0	4.0	0.0	Act
HUWE1	3	oncodrivefml		0.0002656736309303175		119.0	2.0	2.0	6.77836843454616	60.6421119630595	60.6421119630595	1.0	1.0	LoF
DMD	3	smregions	smregions	0.005529372519640145		119.0	4.0	4.0	8.409646751255371	26.129588488875605	26.129588488875605	2.0	1.0	LoF
CASD1	3	oncodrivefml		7.781249793381177e-05		122.0	2.0	2.0	19.9554709309569	145.423684369323	145.423684369323	1.0	1.0	LoF
APOB	3	oncodrivefml		0.0025292794898793573		123.0	2.0	2.0	22.6514911446375	0.0	0.0	2.0	0.0	Act
ANKRD50	3	smregions		0.006213995925697409		123.0	4.0	4.0	25.6016900315953	0.0	0.0	3.0	0.0	Act
GRB10	3	oncodrivefml		0.03096677377393785		123.0	2.0	2.0	18.2913160787701	0.0	0.0	1.0	0.0	Act
UTRN	3	oncodrivefml		0.0014762318046686784		123.0	3.0	3.0	3.67569701252783	24.598608974664	24.598608974664	1.0	1.0	LoF
MTF2	3	oncodrivefml		0.00043812449202461346		123.0	2.0	2.0	44.2851567850029	310.47937637912	310.47937637912	1.0	1.0	LoF
DNAH6	3	oncodrivefml		0.0054112000872164525		128.0	2.0	2.0	15.9902389975546	0.0	0.0	2.0	0.0	Act
ADAMTSL1	3	oncodrivefml		0.004828255685223918		128.0	2.0	2.0	26.881640865619	0.0	0.0	2.0	0.0	Act
NOTCH3	3	oncodrivefml		0.004052227764229076		128.0	2.0	2.0	21.209383464488894	0.0	0.0	2.0	0.0	Act
DDX54	3	oncodrivefml		0.002575939739949434		128.0	2.0	2.0	76.61856835225319	0.0	0.0	2.0	0.0	Act
ACOT9	3	oncodrivefml		0.0026744791942671466		128.0	2.0	2.0	106.61399857153299	0.0	0.0	2.0	0.0	Act
SPTBN5	3	oncodrivefml		0.00559482272150301		128.0	2.0	2.0	16.234934218882	0.0	0.0	2.0	0.0	Act
ZFHX4	3	oncodrivefml		0.007551595620514872		128.0	3.0	3.0	16.192621801070302	0.0	0.0	2.0	0.0	Act
GRK1	3	oncodrivefml		0.0026744791942671466		128.0	2.0	2.0	107.417347626371	0.0	0.0	2.0	0.0	Act
CSRNP3	3	oncodrivefml		0.004052227764229076		128.0	2.0	2.0	97.0372702217371	0.0	0.0	2.0	0.0	Act
ANKRD30A	3	oncodrivefml		0.007895576509245852		128.0	2.0	2.0	58.48334395582189	0.0	0.0	2.0	0.0	Act
DGLUCY	3	oncodrivefml		0.008211397302091987		128.0	2.0	2.0	76.5708390791926	0.0	0.0	2.0	0.0	Act
PHF20L1	3	oncodrivefml		0.008178909896996807		128.0	2.0	2.0	104.36723901731399	0.0	0.0	2.0	0.0	Act
CAPN7	3	oncodrivefml		0.008735441196065289		128.0	2.0	2.0	73.27132350340179	0.0	0.0	2.0	0.0	Act
SETX	3	oncodrivefml		0.008779193071896067		128.0	2.0	2.0	22.691310499699696	0.0	0.0	2.0	0.0	Act
FANCM	3	oncodrivefml		0.009110985244086385		128.0	2.0	2.0	35.9558655586959	0.0	0.0	2.0	0.0	Act
LYST	3	oncodrivefml		0.011041185014785009		128.0	2.0	2.0	9.42377663566737	0.0	0.0	2.0	0.0	Act
MARS	3	oncodrivefml		0.02276541521037709		128.0	2.0	2.0	0.0	80.4989792639939	80.4989792639939	0.0	1.0	LoF
NYNRIN	4	oncodrivefml		0.2125508751854182		128.0	2.0	2.0	4.84139053772283	0.0	0.0	1.0	0.0	Act
ARSG	3	oncodrivefml		0.002575939739949434		128.0	2.0	2.0	125.256379775001	0.0	0.0	2.0	0.0	Act
AFDN	4	oncodrivefml		0.4764021682199028		128.0	2.0	2.0	7.622004327477901	0.0	0.0	1.0	0.0	Act
ANO7	3	oncodrivefml		0.0015883635334309981		128.0	2.0	2.0	71.2529017160479	0.0	0.0	2.0	0.0	Act
NBPF15	3	oncodriveclustl	oncodriveclustl	0.0006872710630504215		149.0	3.0	3.0	52.605587710978	0.0	0.0	2.0	0.0	Act
