SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.0495196585811946e-32	3.3450884870282953e-32	1.0	291.0	290.0	1923.1780003559304	0.0	0.0	289.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.7867603446893636e-20	4.1537848088669486e-20	2.0	39.0	39.0	1716.32802120559	0.0	0.0	39.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.0731397739006275e-16	2.274074859678688e-16	3.0	17.0	17.0	628.355542753144	0.0	0.0	17.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,smregions,mutpanning	4.828896326050154e-11	5.2969278161134766e-11	4.0	5.0	5.0	69.2951329512124	0.0	0.0	5.0	0.0	Act
EIF1AX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	9.457504029453772e-13	1.037415442000083e-12	5.0	7.0	6.0	372.1050857393	1235.1014802419502	1235.1014802419502	6.0	1.0	LoF
NUP93	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.3144995863717033e-09		6.0	3.0	3.0	0.0	223.448197471954	223.448197471954	0.0	3.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps	oncodriveclustl,dndscv	4.7358587136758835e-06	7.421246731540448e-06	7.0	6.0	4.0	56.612595593637714	0.0	0.0	4.0	0.0	Act
CHEK2	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning		1.6339031019986578e-05	2.464365774802976e-05	8.0	4.0	4.0	44.11328916608461	110.255456118363	110.255456118363	3.0	1.0	LoF
ATM	1	dndscv,smregions,mutpanning		0.00028541003893884915	0.0005708975647660978	9.0	6.0	6.0	13.3159038020198	0.0	0.0	4.0	0.0	Act
SYNE1	1	oncodriveclustl,hotmaps		0.01438085465802776		10.0	3.0	2.0	4.61766398486599	0.0	0.0	3.0	0.0	Act
JMJD1C	1	dndscv,oncodrivefml,mutpanning	mutpanning	1.0321579966674434e-07		11.0	4.0	4.0	0.0	51.7001164542785	51.7001164542785	0.0	3.0	LoF
DICER1	1	dndscv,smregions	smregions	0.0001898753802603592	0.0003971961643639048	12.0	5.0	3.0	19.0976974016462	0.0	0.0	3.0	0.0	Act
