SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.855636432810198e-36	4.723485870435861e-36	1.0	268.0	267.0	2038.4668481547697	0.0	0.0	267.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	7.869694965645266e-20	9.64105242354824e-20	2.0	39.0	39.0	2364.3991511436498	0.0	0.0	39.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	9.818961529657224e-17	1.2029071427226122e-16	3.0	17.0	17.0	889.9346233512939	0.0	0.0	17.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,smregions	3.067089455265921e-10	3.757448078358422e-10	4.0	5.0	5.0	99.0442851606161	0.0	0.0	5.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps	oncodriveclustl	0.00019728768313604742	0.0007772670225432247	5.0	6.0	4.0	53.720631450518894	0.0	0.0	4.0	0.0	Act
NUP93	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	5.74362040343498e-10		6.0	3.0	3.0	0.0	311.17206450729697	311.17206450729697	0.0	3.0	LoF
EIF1AX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.1823098812862812e-08	1.738117413107461e-08	7.0	7.0	6.0	490.75507369558	1633.6789266916198	1633.6789266916198	6.0	1.0	LoF
LRP10	1	dndscv,oncodrivefml,smregions,mutpanning		3.72648764987595e-06		8.0	3.0	3.0	40.557991793914	213.56288812571	213.56288812571	2.0	1.0	LoF
SYNE1	1	oncodriveclustl,hotmaps		0.0012834428368795768		9.0	3.0	2.0	6.5807052557719405	0.0	0.0	3.0	0.0	Act
CHEK2	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning		0.0005130407616872199	0.002234662455015237	10.0	3.0	3.0	40.75971125553321	153.651400637044	153.651400637044	2.0	1.0	LoF
ABCB11	1	oncodrivefml,smregions,mutpanning		5.039853312133385e-05		11.0	3.0	3.0	19.0198703441937	81.6659225922852	81.6659225922852	2.0	1.0	LoF
KMT2C	1	oncodrivefml,cbase,mutpanning	cbase	1.0247714176017473e-05	2.929343725802016e-05	11.0	5.0	3.0	13.409575296243501	27.9894173389055	27.9894173389055	4.0	1.0	LoF
IGSF9B	1	oncodrivefml,cbase,mutpanning		4.5566640767106676e-05		11.0	3.0	3.0	17.5766126385095	91.4555877300808	91.4555877300808	2.0	1.0	LoF
ATM	1	smregions,mutpanning		0.00029204497679591264	0.0011926006211654392	14.0	4.0	4.0	19.0605323630382	0.0	0.0	4.0	0.0	Act
RYR1	1	smregions,mutpanning		0.0015963787290286862		14.0	6.0	6.0	6.058750681576741	0.0	0.0	5.0	0.0	Act
FLNC	1	smregions,mutpanning		0.0010235712784507263		14.0	3.0	3.0	15.3185633098773	0.0	0.0	3.0	0.0	Act
UGGT2	1	oncodriveclustl,mutpanning		0.0050205601592098106		17.0	3.0	3.0	24.785275751764498	0.0	0.0	3.0	0.0	Act
TTN	1	oncodrivefml,smregions,cbase	smregions,cbase	2.3743142140176195e-06		18.0	15.0	15.0	6.343385205838901	11.8545938439464	11.8545938439464	12.0	2.0	LoF
BDP1	1	dndscv,cbase,mutpanning	cbase,mutpanning	2.374429431087072e-08		19.0	5.0	5.0	17.5781194852555	104.608606078918	104.608606078918	3.0	2.0	LoF
ARFGEF2	1	dndscv,cbase,mutpanning	cbase	2.1909107782875422e-05		19.0	4.0	4.0	27.463882859921302	71.8395858509161	71.8395858509161	3.0	1.0	LoF
PC	1	smregions,mutpanning		0.0003837048584017337		21.0	3.0	3.0	26.02560017550289	0.0	0.0	3.0	0.0	Act
TEX14	3	dndscv,oncodrivefml,mutpanning		4.5663293886398133e-07		23.0	2.0	2.0	0.0	142.520383252427	142.520383252427	0.0	2.0	LoF
PRKDC	4	oncodriveclustl		0.15171826456275986		23.0	3.0	2.0	3.02631878379264	0.0	0.0	2.0	0.0	Act
DGCR8	2	oncodriveclustl		0.0008764855900226013	0.0035028360876534	23.0	2.0	2.0	25.4420610306646	0.0	0.0	2.0	0.0	Act
RPS2	3	oncodriveclustl		0.0005323381173961984		23.0	2.0	2.0	80.43303619534879	0.0	0.0	2.0	0.0	Act
KMT2A	2	oncodriveclustl		0.001402499702519413	0.0058418209258549155	23.0	4.0	3.0	15.9515780178724	0.0	0.0	4.0	0.0	Act
MAP3K3	3	dndscv,oncodrivefml,mutpanning		2.957153799934264e-05		23.0	3.0	3.0	48.0378212347259	0.0	0.0	3.0	0.0	Act
JMJD1C	3	dndscv,oncodrivefml,mutpanning	mutpanning	1.6133658689486183e-08		23.0	4.0	4.0	0.0	55.0727137335143	55.0727137335143	0.0	3.0	LoF
PLCL1	3	oncodriveclustl		0.0008908686286824168		23.0	2.0	2.0	21.1286482473162	0.0	0.0	2.0	0.0	Act
PPP2R1A	2	oncodriveclustl		0.00033693548785984786	0.001341518486672221	23.0	2.0	2.0	36.97421164297271	0.0	0.0	2.0	0.0	Act
DNAJC11	3	oncodriveclustl		0.003670022101272911		23.0	2.0	2.0	55.6629455255435	0.0	0.0	2.0	0.0	Act
PCGF2	3	oncodriveclustl		0.038406383761708594		23.0	3.0	2.0	20.4972772132283	0.0	0.0	2.0	0.0	Act
TRPM4	3	cbase,mutpanning	cbase	0.0013689593560722948		49.0	3.0	3.0	17.7762451977546	89.7793735904735	89.7793735904735	2.0	1.0	LoF
VCAM1	4	oncodriveclustl		0.2364634192482465		50.0	3.0	3.0	12.9758524743997	0.0	0.0	2.0	0.0	Act
ZNF724	3	dndscv,smregions		0.01497775477288759		50.0	3.0	3.0	44.546214519110784	130.555370147128	130.555370147128	2.0	1.0	LoF
KIT	2	oncodriveclustl		0.011096985220670692	0.0662158259405151	52.0	4.0	2.0	12.5628829216369	0.0	0.0	3.0	0.0	Act
DICER1	2	smregions	smregions	3.3402512040063266e-05	0.00010457575313955659	53.0	3.0	3.0	25.646094410075307	0.0	0.0	3.0	0.0	Act
LAMA4	3	smregions	smregions	0.0017248004798459161		53.0	4.0	4.0	6.7847443958743705	0.0	0.0	3.0	0.0	Act
FN1	3	smregions		0.00032737333849197414		53.0	3.0	2.0	19.241463991812502	0.0	0.0	3.0	0.0	Act
STAB2	3	smregions		0.0002456828514501727		53.0	3.0	3.0	18.202291841724	0.0	0.0	3.0	0.0	Act
HMCN1	3	smregions		0.004108726346950436		53.0	6.0	6.0	5.316019058109951	0.0	0.0	5.0	0.0	Act
TCF7L1	3	dndscv,mutpanning	mutpanning	5.039853312133385e-05		53.0	4.0	4.0	15.1534879865051	75.9341946983105	75.9341946983105	2.0	1.0	LoF
DNAH9	3	smregions	smregions	0.03052523218621208		53.0	4.0	4.0	3.74547684256899	0.0	0.0	3.0	0.0	Act
CSMD2	3	smregions	smregions	0.04548220227033156		53.0	6.0	6.0	1.1708436093108705	5.06985680106692	5.06985680106692	2.0	1.0	LoF
MUC5B	4	smregions		0.19260526747167306		53.0	5.0	5.0	2.05192525940137	0.0	0.0	3.0	0.0	Act
PTPRZ1	3	smregions		0.0011350548731780855		53.0	3.0	3.0	14.771718246988804	0.0	0.0	3.0	0.0	Act
