SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.250325306817044e-32	2.8146480780154533e-32	1.0	287.0	285.0	1370.62426327806	0.0	0.0	282.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.0210572282081786e-14	1.0834690253476927e-14	2.0	39.0	39.0	979.9456826373868	0.0	0.0	39.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	7.912940348439119e-11	5.302562470335611e-11	3.0	17.0	17.0	358.730930573046	0.0	0.0	17.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,smregions,cbase	1.5767122886463741e-10	1.0143120557637878e-10	4.0	5.0	5.0	39.45089247201821	0.0	0.0	5.0	0.0	Act
EIF1AX	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.0779213179200056e-15	5.778630824638827e-16	5.0	7.0	6.0	176.292917599357	388.506946841633	388.506946841633	6.0	1.0	LoF
INTS2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,mutpanning	oncodriveclustl,oncodrivefml,hotmaps,mutpanning	0.00016702143351907974		6.0	11.0	6.0	12.2585079131842	0.0	0.0	5.0	0.0	Act
MXRA5	1	oncodriveclustl,smregions,cbase,mutpanning	smregions,cbase	2.324670102218021e-06		7.0	7.0	6.0	10.5771237546372	0.0	0.0	5.0	0.0	Act
TTN	1	dndscv,oncodrivefml,smregions,cbase	dndscv,oncodrivefml,smregions,cbase	5.549140776690717e-08		8.0	29.0	24.0	13.335613525910402	39.46799483558	39.46799483558	15.0	4.0	LoF
NUP93	1	dndscv,cbase,mutpanning	cbase,mutpanning	5.006129517270028e-11		9.0	4.0	4.0	5.62788746755532	131.558868987199	131.558868987199	1.0	3.0	LoF
JMJD1C	1	dndscv,cbase,mutpanning	cbase,mutpanning	2.671522240189348e-07		9.0	6.0	6.0	0.0	38.3971079567944	38.3971079567944	0.0	3.0	LoF
