SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.6115790092457515e-31	2.8232330063690927e-31	1.0	283.0	282.0	2493.44519928152	0.0	0.0	282.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.742133008332883e-12	8.740838116105964e-12	2.0	39.0	39.0	2404.01833760948	0.0	0.0	39.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.273958146052069e-09	4.780340515386118e-09	3.0	17.0	17.0	836.540102638739	0.0	0.0	17.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,smregions,mutpanning	1.5612174279337512e-10	3.4187592939704073e-10	4.0	5.0	5.0	87.0716685249037	0.0	0.0	5.0	0.0	Act
NUP93	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	8.260659270014412e-13		5.0	3.0	3.0	0.0	308.511982158889	308.511982158889	0.0	3.0	LoF
EIF1AX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	2.1964063945824622e-13	3.8477586224503585e-13	6.0	7.0	6.0	499.147088507404	1058.02607767892	1058.02607767892	6.0	1.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps	oncodriveclustl,dndscv	6.17839916275513e-05	0.00025706011504251765	6.0	6.0	4.0	72.0328011600329	0.0	0.0	4.0	0.0	Act
TTN	1	oncodrivefml,smregions,cbase	smregions,cbase	1.7643144039930024e-06		8.0	12.0	12.0	4.67233984419438	11.532926152727999	11.532926152727999	9.0	2.0	LoF
CHEK2	1	dndscv,smregions		0.0005342092702236887	0.001701546614561045	9.0	3.0	3.0	63.389922875280114	0.0	0.0	3.0	0.0	Act
CPT1A	1	dndscv,smregions,cbase,mutpanning	cbase	0.0020578205313950804		9.0	3.0	3.0	33.279609910609395	154.363257945389	154.363257945389	2.0	1.0	LoF
LAMA4	1	smregions,mutpanning	smregions	0.003897678405275358		9.0	4.0	4.0	8.276120184315781	0.0	0.0	3.0	0.0	Act
DICER1	1	oncodrivefml,smregions	smregions	4.555529264331133e-05	0.000182413049657738	9.0	3.0	3.0	28.497857217750802	0.0	0.0	3.0	0.0	Act
LRP10	1	dndscv,oncodrivefml,smregions,mutpanning		4.634369668245133e-05		9.0	3.0	3.0	40.8537201988915	203.622702625323	203.622702625323	2.0	1.0	LoF
RYR1	1	smregions,mutpanning		0.004391562872625351		14.0	3.0	3.0	9.46062261680793	0.0	0.0	3.0	0.0	Act
STAB2	1	oncodrivefml,smregions,mutpanning		0.00045251324261926033		15.0	3.0	3.0	18.4963008303859	0.0	0.0	3.0	0.0	Act
FLNC	1	smregions,mutpanning		0.004771421711105766		15.0	3.0	3.0	14.5361115633573	0.0	0.0	3.0	0.0	Act
ATM	1	smregions,mutpanning		0.0014263133690988533	0.004580907352105777	15.0	4.0	4.0	17.3256918189108	0.0	0.0	4.0	0.0	Act
ENPEP	1	oncodrivefml,smregions,mutpanning		0.0005031647360519535		18.0	3.0	3.0	34.9021039329982	0.0	0.0	3.0	0.0	Act
ZNF724	1	dndscv,smregions		0.0017944680464100989		18.0	3.0	3.0	46.5521460208042	120.53199440927601	120.53199440927601	2.0	1.0	LoF
IGSF9B	1	oncodrivefml,smregions,cbase,mutpanning	cbase	0.00017512120927186596		20.0	3.0	3.0	17.3763644918121	88.82308799774452	88.82308799774452	2.0	1.0	LoF
USP9X	1	dndscv,oncodrivefml,mutpanning		0.004391562872625351		21.0	4.0	4.0	2.44850156670665	37.9672149078759	37.9672149078759	1.0	2.0	LoF
JMJD1C	1	dndscv,oncodrivefml,mutpanning		5.897444401395536e-05		21.0	3.0	3.0	0.0	45.43773784512871	45.43773784512871	0.0	2.0	LoF
PELO	1	dndscv,oncodrivefml,mutpanning		1.5100618012681655e-05		21.0	2.0	2.0	27.3331332317163	441.602134575067	441.602134575067	1.0	1.0	LoF
SYNE1	1	oncodriveclustl,hotmaps		0.0030456999342944194		24.0	3.0	2.0	6.40782591119625	0.0	0.0	3.0	0.0	Act
IL7R	2	dndscv,mutpanning		0.00010549931868406667	0.0004004595404972463	25.0	3.0	3.0	89.5258384509234	0.0	0.0	3.0	0.0	Act
CSMD1	3	smregions		0.0023191155937624663		25.0	3.0	3.0	13.8860807831511	0.0	0.0	3.0	0.0	Act
MUC5B	4	smregions		0.2754054647067657		25.0	5.0	5.0	2.13623106986234	0.0	0.0	3.0	0.0	Act
PKHD1	3	smregions		0.015024284072680309		25.0	4.0	4.0	5.10978281784115	0.0	0.0	3.0	0.0	Act
DNAH9	3	smregions	smregions	0.013320641381457549		25.0	3.0	3.0	10.2335425129805	0.0	0.0	3.0	0.0	Act
DNASE2	3	dndscv,mutpanning		0.0055618707050144964		25.0	3.0	3.0	102.55066123072599	0.0	0.0	3.0	0.0	Act
HMCN1	3	smregions		0.008634912513060327		25.0	6.0	6.0	6.002621644446808	0.0	0.0	5.0	0.0	Act
MXRA5	3	smregions		0.0055618707050144964		25.0	3.0	3.0	15.1110709607901	0.0	0.0	3.0	0.0	Act
TG	4	smregions		0.14514501649688585		33.0	8.0	8.0	2.9789757319978194	0.0	0.0	4.0	0.0	Act
FUT3	3	dndscv,mutpanning		0.00010549931868406667		33.0	2.0	2.0	28.7377099751887	512.08847836302	512.08847836302	1.0	1.0	LoF
SYNPO2	3	dndscv,oncodrivefml		3.229850676584917e-05		33.0	2.0	2.0	9.868681209717929	118.657565495799	118.657565495799	1.0	1.0	LoF
TBC1D7	3	dndscv,oncodrivefml		1.5100618012681655e-05		33.0	2.0	2.0	41.764360640088796	350.3502953390651	350.3502953390651	1.0	1.0	LoF
RPRD1A	3	dndscv,oncodrivefml		0.0008118102214895838		33.0	2.0	2.0	90.40459495686859	0.0	0.0	2.0	0.0	Act
KMT2A	2	oncodriveclustl,mutpanning		0.0012538398160585355	0.003938605864626474	41.0	4.0	3.0	13.241966744558301	0.0	0.0	4.0	0.0	Act
DGCR8	2	oncodriveclustl,oncodrivefml		0.0004360908067384438	0.0013460519208296198	42.0	2.0	2.0	26.5335181826021	0.0	0.0	2.0	0.0	Act
SLA	3	oncodriveclustl,dndscv		0.00034460324158022525		43.0	4.0	2.0	53.007360111126005	0.0	0.0	3.0	0.0	Act
HEATR1	3	oncodrivefml,mutpanning		3.229850676584917e-05		44.0	2.0	2.0	6.9714368607781605	57.905101703163204	57.905101703163204	1.0	1.0	LoF
TRHDE	3	oncodrivefml,mutpanning		0.00015502229134958112		44.0	2.0	2.0	11.9804119844453	124.07864677428302	124.07864677428302	1.0	1.0	LoF
ADAMTS18	3	oncodrivefml,mutpanning		0.00015502229134958112		44.0	2.0	2.0	10.327558224331401	66.6149027334265	66.6149027334265	1.0	1.0	LoF
TCTN2	3	oncodrivefml,mutpanning		9.122123515123155e-05		44.0	2.0	2.0	15.0072926485705	117.10903107401501	117.10903107401501	1.0	1.0	LoF
UQCRC1	3	oncodrivefml,mutpanning		0.0010716105583692037		44.0	2.0	2.0	36.2328418780224	0.0	0.0	2.0	0.0	Act
PTEN	2	oncodrivefml,mutpanning	mutpanning	1.1988492257208968e-05	3.150292989947172e-05	44.0	2.0	2.0	28.784680853474	217.705546569449	217.705546569449	1.0	1.0	LoF
HNF4A	3	oncodrivefml,mutpanning		0.0009411536721670408		44.0	2.0	2.0	43.23431050693279	0.0	0.0	2.0	0.0	Act
ZNF345	3	oncodrivefml,mutpanning		0.00020826841715728645		44.0	2.0	2.0	23.189595295219803	153.705175805717	153.705175805717	1.0	1.0	LoF
SLC25A45	3	dndscv		0.003634409586171629		52.0	3.0	3.0	112.315686940707	0.0	0.0	3.0	0.0	Act
OR2M3	3	dndscv		0.002958726659024335		52.0	3.0	3.0	132.98266141988	0.0	0.0	3.0	0.0	Act
OR10AG1	3	dndscv		0.010211531626352828		54.0	2.0	2.0	85.2067830896291	0.0	0.0	2.0	0.0	Act
