SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
BRAF	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.576091326596757e-29	1.2343770939942794e-29	1.0	295.0	293.0	1322.09143948659	0.0	0.0	290.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	8.740105478424502e-18	4.187967208411741e-18	2.0	39.0	39.0	1026.90420979417	0.0	0.0	39.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.059227194789712e-15	5.075463641700703e-16	3.0	17.0	17.0	371.916299892101	0.0	0.0	17.0	0.0	Act
EIF1AX	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.0107092101720856e-14	4.842981632074577e-15	4.0	7.0	6.0	182.48982369226502	596.0641678879911	596.0641678879911	6.0	1.0	LoF
NUP93	1	dndscv,cbase,mutpanning	cbase,mutpanning	5.146878103481539e-10		4.0	4.0	4.0	5.86958112247887	137.778678763724	137.778678763724	1.0	3.0	LoF
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl	1.5218639208664798e-11	7.292264620818548e-12	6.0	5.0	5.0	41.232323929330704	0.0	0.0	5.0	0.0	Act
INTS2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,mutpanning	oncodriveclustl,oncodrivefml,hotmaps,mutpanning	2.0046534630520033e-10		7.0	12.0	7.0	13.848360980388	0.0	0.0	6.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps	oncodriveclustl	1.311193753735945e-05	1.3532191945608149e-05	8.0	6.0	4.0	43.05778098058471	0.0	0.0	4.0	0.0	Act
MYH13	1	oncodriveclustl,cbase,mutpanning	mutpanning	2.8985732794419488e-09		9.0	6.0	5.0	16.6728776541503	0.0	0.0	6.0	0.0	Act
MXRA5	1	oncodriveclustl,smregions,cbase,mutpanning	mutpanning	1.696404704278139e-07		9.0	8.0	7.0	12.641291296371	0.0	0.0	6.0	0.0	Act
KMT2C	1	oncodrivefml,cbase,mutpanning	oncodrivefml,cbase,mutpanning	2.090341746066589e-05	2.289421912358645e-05	9.0	8.0	5.0	6.9455685226526604	11.8571473776583	11.8571473776583	5.0	1.0	LoF
KMT2A	1	cbase,mutpanning	mutpanning	2.202564506929164e-05	2.3218700843878273e-05	12.0	8.0	7.0	10.516810350189099	0.0	0.0	7.0	0.0	Act
BDP1	1	cbase,mutpanning	cbase	2.2874164492567817e-08		12.0	9.0	9.0	6.746377128438599	40.5983788796139	40.5983788796139	3.0	2.0	LoF
JMJD1C	1	dndscv,cbase,mutpanning	mutpanning	8.624387949806078e-10		14.0	6.0	6.0	0.0	36.9339448641879	36.9339448641879	0.0	3.0	LoF
RAI1	1	oncodrivefml,cbase,mutpanning	oncodrivefml	8.610078097796765e-09		14.0	2.0	2.0	0.0	93.337304118533	93.337304118533	0.0	2.0	LoF
CELSR1	1	smregions,cbase,mutpanning	smregions	7.540499327239205e-07		16.0	5.0	4.0	9.3304611597012	0.0	0.0	5.0	0.0	Act
CHEK2	1	dndscv,cbase,mutpanning		7.716897454109423e-08	6.867120055889041e-08	17.0	4.0	4.0	25.751506497139697	65.34008729510161	65.34008729510161	3.0	1.0	LoF
SPEN	1	cbase,mutpanning	mutpanning	8.388135953000227e-07	9.545873467346613e-07	18.0	9.0	4.0	8.906009444460029	0.0	0.0	5.0	0.0	Act
TP53	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml	1.1883375438542898e-08	1.0439215228997754e-08	19.0	2.0	2.0	0.0	210.700614403997	210.700614403997	0.0	2.0	LoF
ARFGEF2	1	cbase,mutpanning		1.4374454679806287e-05		20.0	4.0	4.0	10.0361862090669	26.523525013962306	26.523525013962306	3.0	1.0	LoF
ABCB11	1	cbase,mutpanning		5.870677180029636e-07		21.0	4.0	4.0	12.293904767217699	35.511957823572004	35.511957823572004	3.0	1.0	LoF
TRPM4	1	cbase,mutpanning		0.0020968909255892672		22.0	3.0	3.0	7.90062449283608	41.2701168981552	41.2701168981552	2.0	1.0	LoF
