SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GTF2I	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	9.0579521362028e-21		1.0	38.0	38.0	1257.54526766638	0.0	0.0	38.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,hotmaps,cbase	0.00035451723008310496	0.00492410620225819	2.0	9.0	9.0	921.401052614305	0.0	0.0	9.0	0.0	Act
MUC16	1	oncodrivefml,smregions,cbase	smregions,cbase	0.011322480012226908	0.14113510924331793	3.0	4.0	4.0	3.22647333054566	19.095678577576802	19.095678577576802	3.0	1.0	LoF
NRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	dndscv	0.015360861855553937	0.1463015221181293	4.0	3.0	3.0	374.59125569374396	0.0	0.0	3.0	0.0	Act
TP53	1	dndscv,oncodrivefml		0.00047012830900107803	0.007835878854181603	5.0	2.0	2.0	95.4561366377663	0.0	0.0	2.0	0.0	Act
CYLD	1	dndscv,oncodrivefml		4.062912815774797e-05	0.0005643227605806682	6.0	2.0	2.0	41.4693651301506	463.88396628157994	463.88396628157994	1.0	1.0	LoF
LUZP1	1	dndscv,oncodrivefml		5.996709900377236e-05		7.0	2.0	2.0	29.2745879207175	357.98914107148397	357.98914107148397	1.0	1.0	LoF
SMARCA4	1	oncodrivefml,smregions	smregions	0.0015111603839526586	0.02398791882207597	8.0	3.0	2.0	28.268374334668497	0.0	0.0	3.0	0.0	Act
NF1	1	oncodriveclustl,dndscv,oncodrivefml		4.062912815774797e-05	0.0005643227605806682	9.0	3.0	2.0	25.783456343843003	126.216381151547	126.216381151547	2.0	1.0	LoF
TRPM5	1	dndscv,oncodrivefml		0.00047012830900107803		10.0	2.0	2.0	57.05687363111179	0.0	0.0	2.0	0.0	Act
NAA16	1	oncodrivefml		0.0016187791623720085		11.0	2.0	2.0	0.0	215.39618952387104	215.39618952387104	0.0	1.0	LoF
WDR81	1	oncodrivefml		0.0007048708817519503		11.0	2.0	2.0	19.108449008538894	0.0	0.0	2.0	0.0	Act
HECW2	1	oncodrivefml		0.0009183145468770685		11.0	2.0	2.0	27.417595663523397	0.0	0.0	2.0	0.0	Act
RNF146	1	dndscv,oncodrivefml		0.0008008490342633293		14.0	2.0	2.0	143.667617623127	0.0	0.0	2.0	0.0	Act
SIN3A	1	oncodrivefml		0.0013425820583477298		15.0	2.0	2.0	36.681122040057	0.0	0.0	2.0	0.0	Act
NIPBL	1	oncodrivefml		0.0013699747436032954		15.0	2.0	2.0	34.598878004339596	0.0	0.0	2.0	0.0	Act
CLIP2	1	oncodrivefml		0.0007048708817519503		15.0	2.0	2.0	29.328766144616104	0.0	0.0	2.0	0.0	Act
AXL	1	dndscv,oncodrivefml		0.0008242365687808289		18.0	2.0	2.0	48.0058300604186	0.0	0.0	2.0	0.0	Act
PCLO	1	oncodrivefml		0.00047012830900107803		19.0	3.0	3.0	14.2121091749358	0.0	0.0	3.0	0.0	Act
DMD	1	oncodrivefml,smregions	smregions	0.03334587178183792		20.0	3.0	3.0	15.0082928456741	0.0	0.0	3.0	0.0	Act
PPP4R4	1	dndscv,oncodrivefml		0.0016187791623720085		21.0	2.0	2.0	56.3116947252468	0.0	0.0	2.0	0.0	Act
SPOCD1	1	dndscv,oncodrivefml		0.0012268534977979393		21.0	2.0	2.0	70.5696317149048	0.0	0.0	2.0	0.0	Act
PLA2G4C	1	dndscv,oncodrivefml		0.0008008490342633293		21.0	2.0	2.0	98.69682757972159	0.0	0.0	2.0	0.0	Act
FOXN1	1	dndscv,oncodrivefml		0.0006799664725514796		21.0	2.0	2.0	115.937386404279	0.0	0.0	2.0	0.0	Act
DNAJC27	3	oncodrivefml		0.0009183145468770685		26.0	2.0	2.0	181.416739854756	0.0	0.0	2.0	0.0	Act
DYSF	4	oncodrivefml		0.20146735058204934		26.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
TTN	4	oncodriveclustl,smregions	smregions	0.188972104859238		26.0	8.0	6.0	2.66112942784644	0.0	0.0	7.0	0.0	Act
RYR1	4	oncodrivefml		0.12665820708961334		26.0	2.0	2.0	1.43685464636307	0.0	0.0	1.0	0.0	Act
CLIP1	4	oncodrivefml		0.06646286195573768	0.3633254589497116	26.0	2.0	2.0	8.28662527969527	0.0	0.0	1.0	0.0	Act
NLRP12	4	oncodrivefml		0.06466626884576271		26.0	2.0	2.0	8.97178550836442	0.0	0.0	1.0	0.0	Act
MYBPC1	4	oncodrivefml		0.06466626884576271		26.0	2.0	2.0	12.9115789626583	0.0	0.0	1.0	0.0	Act
ANK3	3	oncodrivefml		0.01998512881034156		26.0	3.0	2.0	0.0	31.722681551694798	31.722681551694798	0.0	1.0	LoF
DNAH8	3	oncodrivefml		0.0027053957831316053		26.0	2.0	2.0	13.413577581947301	0.0	0.0	2.0	0.0	Act
REV3L	3	oncodrivefml		0.002135168047962853		26.0	2.0	2.0	17.9531529864649	0.0	0.0	2.0	0.0	Act
COL5A2	3	oncodrivefml		0.0016187791623720085		26.0	2.0	2.0	36.90737100028829	0.0	0.0	2.0	0.0	Act
ABCC2	3	oncodrivefml		0.0013451141407536285		26.0	2.0	2.0	33.1698295193372	0.0	0.0	2.0	0.0	Act
PCDHA10	4	oncodrivefml		0.3826310338939075		26.0	2.0	2.0	13.670384031150501	0.0	0.0	1.0	0.0	Act
CHD3	3	oncodrivefml		0.0001994249606415994		26.0	2.0	2.0	11.796985787936599	122.68332984871999	122.68332984871999	1.0	1.0	LoF
