SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GTF2I	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.7437494852609614e-29		1.0	62.0	62.0	894.265750527088	0.0	0.0	62.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	7.2466348129388565e-22	4.512533293995985e-21	2.0	10.0	10.0	412.596239020422	0.0	0.0	9.0	0.0	Act
MUC16	1	smregions,cbase,mutpanning	smregions,cbase,mutpanning	9.853729991108537e-08	4.601993111567939e-07	3.0	7.0	7.0	3.9673316707070296	11.102127718875401	11.102127718875401	6.0	1.0	LoF
NF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	9.104946952123154e-10	4.2522885437972554e-09	4.0	4.0	3.0	16.5113199874831	52.154863986760205	52.154863986760205	3.0	1.0	LoF
NRAS	1	oncodriveclustl,dndscv,smregions,mutpanning	dndscv	2.538413298348399e-06	1.1064821634984156e-05	5.0	3.0	3.0	192.48026407630695	0.0	0.0	3.0	0.0	Act
SMARCA4	1	dndscv,oncodrivefml,smregions,mutpanning	smregions,mutpanning	2.5418605401254103e-08	1.0552236186954397e-07	6.0	4.0	3.0	20.5199440026472	0.0	0.0	4.0	0.0	Act
SIMC1	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning	oncodriveclustl	3.8380297526288214e-08		7.0	3.0	3.0	63.9957916048182	0.0	0.0	3.0	0.0	Act
L3MBTL3	1	dndscv,oncodrivefml,mutpanning		2.6092439908788948e-05		7.0	3.0	3.0	31.8515824913737	143.872539910657	143.872539910657	2.0	1.0	LoF
CYLD	1	dndscv,oncodrivefml,mutpanning		5.6769379686741674e-05	0.00029458928469175264	7.0	2.0	2.0	17.3517582575288	176.552264094758	176.552264094758	1.0	1.0	LoF
PLEKHG4B	1	dndscv,oncodrivefml,mutpanning		0.0003321352907463942		7.0	2.0	2.0	6.80535552855652	85.0260207738763	85.0260207738763	1.0	1.0	LoF
SLF2	4	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	0.06837669282475689		11.0	2.0	2.0	22.731543101285602	0.0	0.0	2.0	0.0	Act
TTN	3	oncodriveclustl,smregions,cbase	smregions,cbase	0.0005216156124508462		12.0	11.0	9.0	1.6431568324249	0.0	0.0	9.0	0.0	Act
TP53	2	dndscv,oncodrivefml		0.0002240485562326952	0.001195857421788484	13.0	3.0	3.0	50.0858984637739	0.0	0.0	2.0	0.0	Act
DNAH8	3	oncodrivefml,smregions		0.000961708816196736		14.0	3.0	3.0	9.778486786429688	0.0	0.0	3.0	0.0	Act
CLIP2	3	oncodrivefml,mutpanning		0.00022216340392706738		14.0	3.0	3.0	22.5925193848969	0.0	0.0	3.0	0.0	Act
ADGRV1	3	smregions,mutpanning	smregions	0.0036569711769091095		16.0	4.0	3.0	5.73896130297506	0.0	0.0	3.0	0.0	Act
WDR81	3	smregions,mutpanning		0.0005419841872226188		16.0	4.0	3.0	9.41231435343381	0.0	0.0	3.0	0.0	Act
LFNG	3	oncodriveclustl,oncodrivefml		2.1469082448070568e-05		19.0	2.0	2.0	54.1795531167384	0.0	0.0	2.0	0.0	Act
EIF1AX	2	oncodriveclustl,dndscv		0.0005216156124508462	0.003771685632639361	20.0	2.0	2.0	195.616176007827	0.0	0.0	2.0	0.0	Act
RYR2	3	oncodrivefml		0.003436596082349961		21.0	3.0	3.0	5.74195957157259	0.0	0.0	3.0	0.0	Act
GRIP1	3	oncodrivefml		0.0042784008755404855		21.0	2.0	2.0	22.5431194241665	0.0	0.0	2.0	0.0	Act
SLC29A1	3	oncodrivefml		0.002943793741844241		21.0	2.0	2.0	45.7872315050601	0.0	0.0	2.0	0.0	Act
NXF1	3	oncodrivefml		0.00041162912000515387		21.0	2.0	2.0	17.4943307208734	139.803037442371	139.803037442371	1.0	1.0	LoF
ZNF727	3	oncodrivefml		0.002729983325723901		21.0	2.0	2.0	49.0666570510107	0.0	0.0	2.0	0.0	Act
DCN	3	oncodrivefml		0.0009845901536276835		21.0	2.0	2.0	68.80962667573439	0.0	0.0	2.0	0.0	Act
COL25A1	3	oncodrivefml		0.004496228078542906		21.0	2.0	2.0	30.758403536893702	0.0	0.0	2.0	0.0	Act
LUZP1	3	oncodrivefml		0.00041162912000515387		21.0	2.0	2.0	13.109623452488599	155.636673816666	155.636673816666	1.0	1.0	LoF
MECP2	3	oncodrivefml		0.0027699172212687553		21.0	2.0	2.0	29.491879530170998	0.0	0.0	2.0	0.0	Act
CNTNAP2	2	oncodrivefml		0.004496228078542906	0.030468788322640744	21.0	2.0	2.0	17.360721194716998	0.0	0.0	2.0	0.0	Act
UTRN	3	oncodrivefml		0.004496228078542906		21.0	2.0	2.0	3.80658334082594	30.903918387271105	30.903918387271105	1.0	1.0	LoF
CLTC	2	oncodrivefml		0.011919061978900495	0.11553303032971685	21.0	2.0	2.0	12.9996472099281	0.0	0.0	2.0	0.0	Act
TOGARAM1	3	oncodrivefml		0.03367039126754598		21.0	2.0	2.0	13.115856805518801	0.0	0.0	2.0	0.0	Act
IQSEC2	3	oncodrivefml		0.016808073907635473		21.0	2.0	2.0	11.277099712168699	0.0	0.0	2.0	0.0	Act
OTOF	3	oncodrivefml		0.011864491499375173		21.0	2.0	2.0	8.100102403848199	0.0	0.0	2.0	0.0	Act
PREX1	3	oncodrivefml		0.004496228078542906		21.0	2.0	2.0	9.605276843019839	0.0	0.0	2.0	0.0	Act
PIK3C2B	3	oncodrivefml		0.006089515412830628		21.0	2.0	2.0	19.6832425030247	0.0	0.0	2.0	0.0	Act
CCDC22	3	oncodrivefml		0.007049925361637012		21.0	2.0	2.0	39.499435886922605	0.0	0.0	2.0	0.0	Act
COL4A1	3	oncodrivefml		0.008135272094578243		21.0	2.0	2.0	14.570129876535402	0.0	0.0	2.0	0.0	Act
NRXN1	3	oncodrivefml		0.008135272094578243		21.0	2.0	2.0	11.6214960895115	0.0	0.0	2.0	0.0	Act
DMXL1	4	oncodrivefml		0.3265355799397134		21.0	2.0	2.0	4.17947477408883	0.0	0.0	1.0	0.0	Act
FMN1	3	oncodrivefml		0.02205900450640671		21.0	2.0	2.0	0.0	71.8756360026794	71.8756360026794	0.0	1.0	LoF
