SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GTF2I	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.114010653743285e-19		1.0	27.0	27.0	986.594266765975	0.0	0.0	27.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	6.663337894211445e-07	7.541206219956762e-06	2.0	9.0	9.0	949.652210435491	0.0	0.0	9.0	0.0	Act
NF1	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning		1.212570471105204e-05	0.00012865517052053731	3.0	3.0	2.0	27.4720699549826	125.37022558272301	125.37022558272301	2.0	1.0	LoF
MUC16	1	oncodrivefml,smregions,cbase,mutpanning	smregions,cbase,mutpanning	7.601633569411177e-08	1.2904677940452784e-06	4.0	4.0	4.0	4.746873942255268	25.9728166764857	25.9728166764857	3.0	1.0	LoF
SMARCA4	1	dndscv,oncodrivefml,smregions,mutpanning	smregions	6.663337894211445e-07	7.541206219956762e-06	5.0	3.0	2.0	29.4966541883921	0.0	0.0	3.0	0.0	Act
FAM25C	1	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	0.0004045834152725371		6.0	2.0	2.0	571.416614476988	0.0	0.0	2.0	0.0	Act
NRAS	1	oncodriveclustl,dndscv,oncodrivefml		0.0032702871333444767	0.05126632018286656	7.0	2.0	2.0	309.840202018748	0.0	0.0	2.0	0.0	Act
DHX30	1	dndscv,oncodrivefml		5.945900817950201e-05		8.0	2.0	2.0	16.964936500757002	257.439367111575	257.439367111575	1.0	1.0	LoF
LUZP1	1	dndscv,oncodrivefml		6.30729797304191e-05		8.0	2.0	2.0	34.0609741958356	384.41063586008596	384.41063586008596	1.0	1.0	LoF
TP53	1	dndscv,oncodrivefml		0.00023306748968498822	0.0028261414990713705	8.0	2.0	2.0	103.92269816381099	0.0	0.0	2.0	0.0	Act
CYLD	1	dndscv,oncodrivefml		2.5182597692702193e-05	0.0002565027450699523	8.0	2.0	2.0	42.9545918194458	448.582327879837	448.582327879837	1.0	1.0	LoF
MUC4	1	oncodriveclustl,oncodrivefml		0.004152841809373532	0.06829632627424344	12.0	4.0	3.0	6.96654526301674	0.0	0.0	3.0	0.0	Act
GOLGA6L10	4	oncodriveclustl,dndscv		0.15695168063527293		13.0	3.0	3.0	192.752369706188	0.0	0.0	3.0	0.0	Act
BCOR	2	oncodrivefml		4.068645608908184e-05	0.0004029089332154909	14.0	2.0	2.0	10.7868525850038	167.935733433395	167.935733433395	1.0	1.0	LoF
GRIP1	3	oncodrivefml		0.0015016411651830811		14.0	2.0	2.0	57.1568391274556	0.0	0.0	2.0	0.0	Act
HECW2	3	oncodrivefml		0.003106007670672809		14.0	2.0	2.0	34.707653253527695	0.0	0.0	2.0	0.0	Act
FOXN1	3	dndscv,oncodrivefml		0.0015016411651830811		17.0	2.0	2.0	101.330830783927	0.0	0.0	2.0	0.0	Act
TSNARE1	3	dndscv,oncodrivefml		0.0015016411651830811		17.0	2.0	2.0	78.8923260445135	0.0	0.0	2.0	0.0	Act
DNAJC27	3	dndscv,oncodrivefml		0.0012950281030510535		17.0	2.0	2.0	225.594945383019	0.0	0.0	2.0	0.0	Act
CHD3	3	oncodrivefml		0.0008585455822736523		17.0	2.0	2.0	11.8484706879209	119.90038617842501	119.90038617842501	1.0	1.0	LoF
PCLO	3	oncodrivefml		0.0003819877240571212		17.0	3.0	3.0	15.283886219266	0.0	0.0	3.0	0.0	Act
AXL	3	oncodrivefml		0.0015016411651830811		17.0	2.0	2.0	51.3004268404245	0.0	0.0	2.0	0.0	Act
