SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GTF2I	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.7106406185086976e-29		1.0	64.0	64.0	1184.86633737321	0.0	0.0	64.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	8.892615980786611e-27	4.953464995547543e-26	2.0	10.0	10.0	571.914408242832	0.0	0.0	9.0	0.0	Act
MUC16	1	smregions,cbase,mutpanning	smregions,cbase,mutpanning	0.0004993658553402488	0.003245227843754144	3.0	7.0	7.0	5.78572244457031	15.5786551976019	15.5786551976019	6.0	1.0	LoF
NF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,cbase,mutpanning	3.6424659680852995e-08	1.5217255284637608e-07	5.0	4.0	3.0	21.2421460690021	65.6949715987224	65.6949715987224	3.0	1.0	LoF
NRAS	1	oncodriveclustl,dndscv,smregions,mutpanning	oncodriveclustl,dndscv	1.319994193357183e-07	4.901853436789957e-07	6.0	3.0	3.0	271.850740146506	0.0	0.0	3.0	0.0	Act
MED13	1	oncodriveclustl,oncodrivefml,smregions,mutpanning	oncodriveclustl,smregions	3.9152857763396937e-07		7.0	3.0	3.0	28.359070758357802	0.0	0.0	3.0	0.0	Act
BCOR	1	dndscv,oncodrivefml	oncodrivefml	1.4481044829086719e-06	5.646476151716549e-06	7.0	3.0	2.0	7.11200750640874	101.609067734175	101.609067734175	1.0	1.0	LoF
TP53	1	dndscv,oncodrivefml		0.0002738431758062218	0.001525392065233095	7.0	3.0	3.0	70.4826594263894	0.0	0.0	2.0	0.0	Act
SIMC1	1	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	2.800118992575671e-06		10.0	3.0	3.0	86.2653779743823	0.0	0.0	3.0	0.0	Act
FAM47A	1	oncodriveclustl,dndscv,smregions,mutpanning	oncodriveclustl,smregions,mutpanning	2.800118992575671e-06		11.0	5.0	4.0	29.579525682206	0.0	0.0	4.0	0.0	Act
SMARCA4	1	oncodrivefml,smregions,mutpanning	smregions,mutpanning	4.069299308248536e-07	1.7000451602233632e-06	13.0	4.0	3.0	26.712355338650106	0.0	0.0	4.0	0.0	Act
EIF1AX	1	oncodriveclustl,dndscv		0.000870808145415745	0.0050711586564889215	14.0	2.0	2.0	278.749023656901	0.0	0.0	2.0	0.0	Act
GOLGA6L10	1	oncodriveclustl,dndscv	dndscv	0.014069733287115792		14.0	4.0	4.0	132.369542814385	0.0	0.0	4.0	0.0	Act
FAM25C	1	oncodriveclustl,dndscv	oncodriveclustl	0.000287235439289885		14.0	2.0	2.0	328.973326325414	0.0	0.0	2.0	0.0	Act
CYLD	2	dndscv,oncodrivefml,mutpanning		7.779698759516263e-05	0.000371445884968868	17.0	2.0	2.0	25.5705361542737	255.51306427272004	255.51306427272004	1.0	1.0	LoF
MUC4	2	oncodriveclustl,dndscv	oncodriveclustl	3.9774793726664536e-05	0.00018463169223380087	17.0	9.0	6.0	9.28832701558327	0.0	0.0	7.0	0.0	Act
BDP1	4	dndscv,oncodrivefml		0.05255280765565015		17.0	2.0	2.0	6.638417443911308	0.0	0.0	1.0	0.0	Act
SLF2	4	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	0.06586938959866345		17.0	2.0	2.0	31.325876776120896	0.0	0.0	2.0	0.0	Act
ZNF791	3	oncodriveclustl,dndscv	oncodriveclustl	0.003301675384402523		17.0	2.0	2.0	64.37670408834799	0.0	0.0	2.0	0.0	Act
WDR81	3	smregions,mutpanning		0.011120151053435936		22.0	4.0	3.0	9.545847411228689	0.0	0.0	3.0	0.0	Act
MYO15B	4	oncodrivefml,smregions		0.09688160854602093		58.0	4.0	4.0	14.1081555828804	0.0	0.0	4.0	0.0	Act
NBPF14	3	oncodriveclustl,smregions	oncodriveclustl,smregions	0.001086200451289155		59.0	3.0	3.0	21.8755318079342	0.0	0.0	3.0	0.0	Act
OPALIN	3	dndscv		0.01802530073096923		60.0	2.0	2.0	255.968537775974	0.0	0.0	2.0	0.0	Act
TTN	3	oncodriveclustl,smregions	smregions	0.03668298615264758		60.0	11.0	9.0	1.78455539995439	0.0	0.0	9.0	0.0	Act
RNF146	3	dndscv		0.008023416384340546		62.0	2.0	2.0	120.803089889604	0.0	0.0	2.0	0.0	Act
MRGPRX3	3	dndscv		0.009760372429839471		62.0	2.0	2.0	0.0	589.699047463482	589.699047463482	0.0	1.0	LoF
ESX1	3	dndscv		0.030911259275730026		62.0	3.0	3.0	33.8139245500667	0.0	0.0	2.0	0.0	Act
TDRD6	3	dndscv		0.019349817551150776		62.0	2.0	2.0	0.0	67.44272772069411	67.44272772069411	0.0	1.0	LoF
FCAR	4	dndscv		0.21339978907101928		62.0	3.0	2.0	24.6721488285038	0.0	0.0	1.0	0.0	Act
GET4	4	dndscv		0.16453987038306808		62.0	2.0	2.0	27.2132168656811	0.0	0.0	1.0	0.0	Act
ZNF487	4	dndscv		0.1029146095701294		62.0	2.0	2.0	143.775686699025	0.0	0.0	2.0	0.0	Act
PI15	4	dndscv		0.06653804132095205		62.0	2.0	2.0	150.588113115818	0.0	0.0	2.0	0.0	Act
CELF5	4	dndscv		0.08310826412651838		62.0	2.0	2.0	22.091874812403105	0.0	0.0	1.0	0.0	Act
DNAJC27	3	dndscv		0.01691910474096836		62.0	2.0	2.0	117.860798711184	0.0	0.0	2.0	0.0	Act
ARSH	4	dndscv		0.4060929549680721		62.0	2.0	2.0	28.71090508343489	0.0	0.0	1.0	0.0	Act
CLIP2	3	oncodrivefml,mutpanning		0.00016558988411317617		83.0	3.0	3.0	30.535285634306398	0.0	0.0	3.0	0.0	Act
LFNG	3	oncodriveclustl,oncodrivefml		4.851912140491125e-05		84.0	2.0	2.0	69.4304155173282	0.0	0.0	2.0	0.0	Act
DMXL1	4	oncodrivefml,mutpanning		0.2205883500831799		84.0	2.0	2.0	6.0352163105183605	0.0	0.0	1.0	0.0	Act
ADGRV1	3	smregions	smregions	0.019349817551150776		86.0	4.0	3.0	5.22898692032846	0.0	0.0	3.0	0.0	Act
DNAH8	3	smregions		0.0145657050238639		86.0	3.0	3.0	14.3014954333357	0.0	0.0	3.0	0.0	Act
DMD	3	smregions		0.013391310219152377		86.0	4.0	4.0	14.1524041719077	0.0	0.0	4.0	0.0	Act
NACAD	3	oncodriveclustl,mutpanning	oncodriveclustl	0.0002097756008176336		89.0	3.0	3.0	22.627013063828503	0.0	0.0	3.0	0.0	Act
DHX30	3	oncodrivefml		0.00014922892589525858		90.0	2.0	2.0	8.72462715358746	118.294576105491	118.294576105491	1.0	1.0	LoF
EP300	2	oncodrivefml		0.008168974412433474	0.04860626802824186	91.0	2.0	2.0	10.626131860518802	0.0	0.0	2.0	0.0	Act
TRPM5	3	oncodrivefml		0.0055243994053237		91.0	2.0	2.0	28.6949069779705	0.0	0.0	2.0	0.0	Act
DCN	3	oncodrivefml		0.0025979805898629685		91.0	2.0	2.0	96.4909377502451	0.0	0.0	2.0	0.0	Act
NIPBL	3	oncodrivefml		0.010966052124874743		91.0	2.0	2.0	15.941329929414001	0.0	0.0	2.0	0.0	Act
RYR2	3	oncodrivefml		0.0033267960514167328		91.0	3.0	3.0	8.31036418980309	0.0	0.0	3.0	0.0	Act
TMEM102	3	oncodrivefml		0.003967527560136189		91.0	2.0	2.0	48.43111238225461	0.0	0.0	2.0	0.0	Act
PIK3C2B	3	oncodrivefml		0.006623166885729635		91.0	2.0	2.0	24.913706428860802	0.0	0.0	2.0	0.0	Act
COL25A1	3	oncodrivefml		0.0065909008866412355		91.0	2.0	2.0	42.0674526962018	0.0	0.0	2.0	0.0	Act
OTOF	3	oncodrivefml		0.007611619080750005		91.0	2.0	2.0	11.843381643994501	0.0	0.0	2.0	0.0	Act
HECW2	3	oncodrivefml		0.010021547309015971		91.0	2.0	2.0	18.5775345767533	0.0	0.0	2.0	0.0	Act
PREX1	3	oncodrivefml		0.003301675384402523		91.0	2.0	2.0	12.618337247403	0.0	0.0	2.0	0.0	Act
