SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.635907574187593e-25	2.337236822040933e-26	1.0	240.0	194.0	51.722126467142715	0.0	0.0	233.0	0.0	Act
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.6490981766252e-24	1.8397274943829e-25	1.0	315.0	219.0	103.962593184916	448.07892276796304	448.07892276796304	159.0	72.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.875465619826453e-19	1.9538527902596065e-20	3.0	160.0	156.0	65.5744050104624	75.26398416246441	75.26398416246441	136.0	11.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.248309467369993e-15	1.9354235267234112e-16	4.0	82.0	81.0	102.73957973659	0.0	0.0	79.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.3740580086330932e-26	6.927443919026564e-28	5.0	64.0	60.0	18.6103362130536	7.88953916524177	7.88953916524177	61.0	0.0	Act
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.644808814188045e-16	1.6297178045607945e-17	6.0	115.0	101.0	8.4635529994165	33.4303650773241	33.4303650773241	35.0	12.0	LoF
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.407592622835819e-14	2.539576767358069e-15	7.0	51.0	49.0	22.856553447878603	0.0	0.0	47.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.7779412099050496e-27	1.400525437868079e-28	8.0	54.0	53.0	28.287288211771397	20.0465604259936	20.0465604259936	47.0	5.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	9.149669698267547e-07	7.517306875831681e-08	9.0	103.0	99.0	29.8176167627466	0.0	0.0	100.0	0.0	Act
SPOP	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	1.1317464465137907e-25	5.705807170820386e-27	10.0	36.0	34.0	22.2848151181074	14.398409520236402	14.398409520236402	32.0	2.0	Act
CTCF	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	4.9632540836417405e-08	4.0512969943448934e-09	11.0	73.0	66.0	7.95869147780071	121.382855236322	121.382855236322	22.0	21.0	LoF
ARID1A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.006097062051259138	0.0015179556646277115	12.0	128.0	111.0	2.50256465061877	128.762769069909	128.762769069909	18.0	66.0	LoF
AKT1	1	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	3.1082270892653085e-16	1.880450640063263e-17	13.0	15.0	14.0	4.81407138605158	0.0	0.0	13.0	0.0	Act
ARHGAP35	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.5834767608317077e-11		13.0	51.0	46.0	2.7878623440375203	26.9937550713448	26.9937550713448	21.0	14.0	LoF
NFE2L2	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.3798544904525703e-23	6.956667432502558e-25	13.0	27.0	26.0	17.2227273322636	0.0	0.0	25.0	0.0	Act
CHD4	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.01544423579474e-24	5.119458532441926e-26	16.0	63.0	57.0	9.057355400865461	2.87106312011123	2.87106312011123	57.0	2.0	Act
TAF1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.341884774043273e-17		17.0	49.0	46.0	7.38656616849203	0.0	0.0	46.0	0.0	Act
DICER1	1	dndscv,hotmaps,smregions	hotmaps,smregions	4.407592622835819e-14	2.539576767358069e-15	17.0	28.0	24.0	4.63319743224142	0.0	0.0	25.0	0.0	Act
ZFHX3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.3437815174843367e-07	3.6499311613017416e-08	17.0	55.0	49.0	1.62483171707383	12.8921999791225	12.8921999791225	23.0	11.0	LoF
