SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.095751008523885e-15	2.0875236209799452e-16	1.0	224.0	173.0	102.80309434782	462.6147311674991	462.6147311674991	151.0	71.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.350087760291576e-15	2.851864830913325e-16	1.0	225.0	183.0	51.119053389521895	0.0	0.0	222.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	4.176747658557412e-09	3.164171296425295e-10	3.0	76.0	74.0	100.55144509538401	0.0	0.0	74.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.0497274389897423e-12	6.352510068261388e-14	4.0	144.0	141.0	66.1194049237481	78.69632245352591	78.69632245352591	131.0	11.0	LoF
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.2208779794222e-15	5.910760421007979e-16	5.0	63.0	60.0	23.0917233209552	9.70243515878112	9.70243515878112	61.0	0.0	Act
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.611516277813799e-13	2.8217039196162465e-14	6.0	47.0	45.0	23.9405151188518	0.0	0.0	47.0	0.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.00041826795687208764	6.110997023043241e-05	7.0	96.0	93.0	29.456442485605997	0.0	0.0	94.0	0.0	Act
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.062028142646506e-20	3.1793537632650644e-21	8.0	43.0	37.0	9.84334762095336	45.138993268212005	45.138993268212005	29.0	12.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.896726994279226e-21	2.568187911801176e-22	9.0	50.0	50.0	29.9700290348382	12.8241048543625	12.8241048543625	47.0	3.0	Act
ARID1A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.04045604870256453	0.016857814641195974	10.0	86.0	81.0	3.0530580971481003	155.448211798229	155.448211798229	18.0	66.0	LoF
