SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.5090719153906384e-23	2.1594642390623463e-24	1.0	300.0	218.0	99.0114825717587	429.90862457592794	429.90862457592794	139.0	63.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.44027691164234e-22	4.521094535652677e-23	2.0	166.0	160.0	50.1999281894053	57.6877600077275	57.6877600077275	134.0	10.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.2313588661210006e-17	2.026463167029813e-18	3.0	241.0	195.0	47.4494718531314	0.0	0.0	233.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.7686309576005738e-23	8.47024704130529e-25	4.0	64.0	60.0	25.474311040426002	10.3248537364596	10.3248537364596	63.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.121233871223702e-11	3.978536919502836e-12	5.0	83.0	82.0	92.9720018683831	0.0	0.0	80.0	0.0	Act
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1495711659553955e-18	5.505474008220201e-20	6.0	111.0	99.0	9.115192175713249	45.51181934316179	45.51181934316179	25.0	11.0	LoF
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.575209355177133e-21	7.543921089239896e-23	7.0	51.0	49.0	21.0078362803463	0.0	0.0	47.0	0.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	6.786436409767306e-08	5.1073460392135095e-09	8.0	103.0	98.0	22.9363570160155	0.0	0.0	99.0	0.0	Act
CTCF	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0006827239312396399	8.078009318546947e-05	9.0	81.0	71.0	8.01388278310889	105.908317797094	105.908317797094	24.0	20.0	LoF
ARID1A	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.09355390631449012	0.036303146100578214	9.0	142.0	121.0	3.60955738161017	169.62765261842898	169.62765261842898	19.0	64.0	LoF
FBXW7	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.802520413918583e-23	1.8210858035184706e-24	11.0	61.0	59.0	26.1557905258656	18.112742436155	18.112742436155	48.0	5.0	Act
BCOR	2	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	5.212840290361243e-10	3.588732826437894e-11	12.0	46.0	43.0	3.17463660463377	1.3403887815133602	1.3403887815133602	37.0	1.0	Act
AKT1	2	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	1.3169301731822492e-21	6.30698216327489e-23	13.0	16.0	15.0	4.82191424325082	0.0	0.0	14.0	0.0	Act
SPOP	2	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,smregions,cbase,mutpanning	1.6838929690425461e-22	8.064423715763402e-24	14.0	37.0	35.0	20.6610539384291	12.7446802434603	12.7446802434603	33.0	2.0	Act
SOX17	3	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.5028655187784015e-12		15.0	24.0	23.0	7.084130853875822	14.7205845373998	14.7205845373998	17.0	1.0	LoF
CHD4	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	5.2044634019977775e-23	2.4924979709819723e-24	16.0	67.0	59.0	9.08794532842031	2.6681881239011203	2.6681881239011203	61.0	2.0	Act
CCND1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.4618935679554743e-09	1.7030561662196996e-10	17.0	27.0	27.0	8.78957296889992	21.936169855861202	21.936169855861202	15.0	2.0	LoF
DICER1	2	dndscv,hotmaps,smregions	dndscv,hotmaps,smregions	1.2742486205468187e-13	7.041431088717113e-15	18.0	30.0	26.0	4.6298707608523495	0.0	0.0	27.0	0.0	Act
SOS1	3	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,mutpanning	6.717278491111767e-15		19.0	19.0	18.0	3.5124220263217505	0.0	0.0	16.0	0.0	Act
RBM39	3	hotmaps,smregions,mutpanning	hotmaps,smregions,mutpanning	1.526378930247042e-14		20.0	9.0	9.0	4.5431719604537895	0.0	0.0	8.0	0.0	Act
NFE2L2	2	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	5.5346121157751945e-15	2.65061129326927e-16	21.0	27.0	26.0	14.945324954342802	0.0	0.0	24.0	0.0	Act
ZFHX3	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.93986583647915e-14	4.995013259453857e-15	21.0	65.0	58.0	1.51099555278727	12.403652914507001	12.403652914507001	26.0	13.0	LoF
FOXA2	3	dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,smregions,cbase,mutpanning	2.954509088243757e-11		23.0	27.0	26.0	5.78966978630831	31.295574133596602	31.295574133596602	11.0	2.0	LoF
ARHGAP35	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.274097442107648e-08		24.0	56.0	50.0	2.8476256255994503	24.968211971837306	24.968211971837306	23.0	14.0	LoF
MYO10	3	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	2.043106790717839e-08		24.0	29.0	28.0	1.6333503215092702	1.58245235462564	1.58245235462564	19.0	2.0	ambiguous
TAF1	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.678427536175104e-11		26.0	49.0	46.0	6.7335081027072405	0.0	0.0	45.0	0.0	Act
ERBB3	2	hotmaps,smregions	hotmaps,smregions	1.6555119281788904e-07	1.2409830037691041e-08	27.0	20.0	20.0	3.45856599843762	0.0	0.0	18.0	0.0	Act
NRAS	2	oncodriveclustl,dndscv,hotmaps	oncodriveclustl,dndscv,hotmaps	1.4530241546323995e-09	1.0233466583981287e-10	28.0	10.0	10.0	17.2923969901308	0.0	0.0	10.0	0.0	Act
MGA	3	hotmaps,smregions	hotmaps,smregions	2.8616751482812197e-06		29.0	39.0	31.0	1.5905126586966398	4.825412156910692	4.825412156910692	22.0	7.0	LoF
MYCN	2	oncodriveclustl,mutpanning	oncodriveclustl,mutpanning	8.470830229715771e-09	5.764942706918762e-10	30.0	12.0	12.0	5.97402540719093	0.0	0.0	12.0	0.0	Act
INPPL1	3	cbase,mutpanning	cbase,mutpanning	0.000691668047693191		31.0	25.0	22.0	1.49823089045834	8.46156524738313	8.46156524738313	12.0	4.0	LoF
NSD1	2	cbase,mutpanning	cbase,mutpanning	1.9647574683105262e-05	1.6647625076699257e-06	31.0	31.0	28.0	2.18228896228392	5.15107384103711	5.15107384103711	22.0	4.0	LoF
KMT2D	2	mutpanning	mutpanning	1.1365295290624392e-07	8.659342989236733e-09	33.0	83.0	73.0	1.11451960735477	3.43614289775007	3.43614289775007	42.0	9.0	LoF
JAK1	2	mutpanning	mutpanning	0.06336902084476709	0.02305781009637578	33.0	24.0	19.0	1.4251340789924898	7.545254612246599	7.545254612246599	9.0	3.0	LoF
SETD1B	2	mutpanning	mutpanning	0.04978246541822032	0.016782003859602254	33.0	23.0	20.0	2.08702389138572	0.0	0.0	17.0	0.0	Act
ACVR2A	2	mutpanning	mutpanning	0.01591732316973201	0.0033358300786907576	33.0	9.0	9.0	3.47956708360506	0.0	0.0	7.0	0.0	Act
RNF43	2	mutpanning	mutpanning	0.3809681030590421	0.2409433220452536	33.0	21.0	20.0	2.92395801586077	8.62517095509233	8.62517095509233	11.0	2.0	LoF
SCAF4	3	mutpanning	mutpanning	3.2098425734187104e-05		33.0	15.0	15.0	1.92037478734759	6.88602532092941	6.88602532092941	9.0	3.0	LoF
ESRP1	3	mutpanning	mutpanning	0.00017436583283230039		33.0	10.0	10.0	1.01779366041093	10.2858858265755	10.2858858265755	3.0	4.0	LoF
SMAD7	3	mutpanning	mutpanning	8.259293636716215e-06		33.0	5.0	5.0	0.373018383231148	12.510483677639199	12.510483677639199	1.0	2.0	LoF
