SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.119387851712867e-22	3.3727398351659315e-23	1.0	227.0	178.0	116.92040166579201	518.616480895972	518.616480895972	153.0	72.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.2600734335308583e-20	1.79681036752034e-21	2.0	225.0	187.0	56.9207726909517	0.0	0.0	222.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.504544920469886e-14	2.377295254678122e-15	3.0	75.0	74.0	112.61528251889	0.0	0.0	73.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.5307439694911235e-17	8.436793497077693e-19	4.0	141.0	139.0	70.64375087200071	87.5777564972118	87.5777564972118	128.0	11.0	LoF
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1731153611055609e-23	6.4657005006445255e-25	5.0	60.0	57.0	19.2924886898115	4.422999231837389	4.422999231837389	57.0	0.0	Act
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.396672288712255e-17	4.0767233390550506e-18	6.0	48.0	43.0	10.906295322852301	42.1132843755083	42.1132843755083	34.0	11.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.595468794484945e-24	1.9816656703433293e-25	7.0	47.0	47.0	30.8654839531864	13.849912984676399	13.849912984676399	44.0	3.0	Act
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	6.888526953661977e-22	3.796655780810952e-23	8.0	41.0	39.0	22.5752785251653	0.0	0.0	41.0	0.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.0007217439934140898	0.00013070368628002933	9.0	92.0	90.0	38.409816255308	0.0	0.0	91.0	0.0	Act
SPOP	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	6.229005318322432e-31	3.4331562044536807e-32	10.0	33.0	31.0	24.1819168102744	17.0600993854871	17.0600993854871	30.0	2.0	Act
CHD4	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	2.907286091273405e-25	1.6023693627324215e-26	11.0	58.0	54.0	9.5076128075848	3.21653045599584	3.21653045599584	54.0	2.0	Act
SOS1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	1.0682442835639914e-14		12.0	17.0	16.0	7.282391289753	0.0	0.0	17.0	0.0	Act
BCOR	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	3.6544928485536486e-12	2.643633767306816e-13	13.0	42.0	40.0	3.7510571574274505	1.76243575358752	1.76243575358752	34.0	1.0	Act
ARID1A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.045996328575936385	0.019507059176689164	13.0	83.0	79.0	2.56305070468955	133.640508193122	133.640508193122	17.0	63.0	LoF
CTCF	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.7791552590503026e-12	1.242084243833001e-13	15.0	36.0	33.0	7.82642577326676	113.034852387043	113.034852387043	19.0	16.0	LoF
AKT1	1	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	8.76626630783266e-19	4.8315838607654714e-20	16.0	14.0	13.0	5.0319835574752805	0.0	0.0	12.0	0.0	Act
NFE2L2	1	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.171061014211442e-18	6.454377836069336e-20	17.0	22.0	21.0	17.5848575496223	0.0	0.0	22.0	0.0	Act
ZFHX3	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.1630451744326638e-11	1.5233362701076588e-12	17.0	36.0	33.0	1.49202885130611	15.425749900863199	15.425749900863199	18.0	11.0	LoF
NRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps	3.963228304890911e-11	2.7591899135579212e-12	17.0	8.0	8.0	18.5052120253204	0.0	0.0	8.0	0.0	Act
TAF1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.935516314798952e-15		17.0	44.0	42.0	7.467211949063821	0.0	0.0	42.0	0.0	Act
ACVR1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,mutpanning	4.959803908177933e-13	3.5146642019422935e-14	21.0	16.0	15.0	8.72832769420414	0.0	0.0	15.0	0.0	Act
MAX	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv	5.173948305137653e-12	3.690376760544145e-13	21.0	9.0	9.0	16.072611996721097	0.0	0.0	9.0	0.0	Act
DICER1	1	dndscv,oncodrivefml,hotmaps,smregions,mutpanning	dndscv,hotmaps,smregions	2.736675858863581e-15	1.5083364396558976e-16	23.0	24.0	21.0	5.76241932419703	0.0	0.0	23.0	0.0	Act
SOX17	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning	oncodriveclustl,oncodrivefml,mutpanning	1.8070349928561349e-06		24.0	15.0	14.0	6.85909033583272	0.0	0.0	14.0	0.0	Act
CCND1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0038370634521402813	0.0009629190052576598	25.0	19.0	16.0	10.194958460701999	42.2775676736403	42.2775676736403	14.0	3.0	LoF
ATM	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase,mutpanning	4.827198805587375e-07	4.3075434787907413e-08	25.0	26.0	23.0	2.19676153630862	8.41931541704633	8.41931541704633	17.0	5.0	LoF
ARHGAP35	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3485930662777287e-10		25.0	36.0	35.0	2.66862567926886	28.3679631607329	28.3679631607329	18.0	13.0	LoF
FOXA2	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	oncodrivefml,smregions,cbase,mutpanning	2.9908398294574494e-15		25.0	11.0	10.0	5.69747888795272	39.03625032436271	39.03625032436271	9.0	2.0	LoF
