SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.6521335684588734e-21	2.193019445199885e-22	1.0	364.0	244.0	94.7160278897091	401.9606955131369	401.9606955131369	169.0	76.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.261529168675749e-19	3.89449138709787e-20	2.0	178.0	169.0	51.316696508612786	58.821565045136396	58.821565045136396	144.0	11.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.999962682898076e-20	3.771188738736235e-21	3.0	253.0	203.0	47.674834970408	0.0	0.0	244.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.232633996728641e-12	7.598537618135954e-14	4.0	86.0	84.0	91.56376436331699	0.0	0.0	83.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.405958709557026e-21	6.627700481583781e-23	5.0	67.0	62.0	20.7913898682208	8.17337457398614	8.17337457398614	65.0	0.0	Act
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.5258524587756814e-16	7.19288056406695e-18	6.0	154.0	115.0	7.42203803235595	25.6006501967171	25.6006501967171	40.0	13.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.527826468641831e-21	1.6630201887314467e-22	7.0	63.0	61.0	26.1427423821506	17.402000679358302	17.402000679358302	50.0	5.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	4.0210694387664254e-07	3.378997735665838e-08	8.0	110.0	103.0	23.5469939552212	0.0	0.0	106.0	0.0	Act
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.699632404808883e-27	8.012080604711625e-29	8.0	53.0	51.0	21.3367713455952	0.0	0.0	49.0	0.0	Act
ARID1A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.02713212180917688	0.008993095439685695	10.0	153.0	127.0	2.48357354640636	124.14614972269199	124.14614972269199	19.0	68.0	LoF
CTCF	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.8482367279068203e-07	1.493589010223289e-08	11.0	91.0	78.0	8.71833579144743	106.424990457896	106.424990457896	27.0	21.0	LoF
