SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.812397650706363e-23	5.080362018299141e-24	1.0	344.0	236.0	109.571755827789	477.77974586907095	477.77974586907095	157.0	72.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.5561548188018976e-21	8.056980686535085e-23	2.0	165.0	160.0	67.99671096916511	80.67280781271309	80.67280781271309	133.0	11.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.348159107665232e-16	3.8843467430571216e-17	2.0	236.0	193.0	53.413357763845504	0.0	0.0	228.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.112081250269849e-23	2.129027190263444e-24	4.0	62.0	58.0	22.6704508899371	9.8048181281487	9.8048181281487	60.0	0.0	Act
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.456742762957079e-21	2.307475447310964e-22	5.0	139.0	106.0	9.12380038731949	31.790985636459197	31.790985636459197	36.0	11.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	5.924170607053269e-10	4.4091505811535353e-11	6.0	81.0	80.0	108.744168705441	0.0	0.0	78.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.812397650706363e-23	5.080362018299141e-24	7.0	51.0	51.0	30.143427876536396	13.085254225178799	13.085254225178799	46.0	3.0	Act
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.659317121085772e-20	2.930107479837456e-21	8.0	48.0	46.0	23.032750626242105	0.0	0.0	44.0	0.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	2.476542085665298e-07	2.0399080738157534e-08	9.0	102.0	97.0	31.5143088955885	0.0	0.0	99.0	0.0	Act
BCOR	2	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	4.0771264005101694e-10	3.041964500188098e-11	10.0	44.0	42.0	3.30170977799547	1.4994470347619502	1.4994470347619502	35.0	1.0	Act
ARID1A	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.07317666721153389	0.029181180652047292	10.0	143.0	122.0	2.61006410861982	129.026481975597	129.026481975597	18.0	64.0	LoF
AKT1	2	oncodriveclustl,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	1.5709762736921738e-19	8.13371866552952e-21	12.0	15.0	14.0	5.1129650530339	0.0	0.0	13.0	0.0	Act
CTCF	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.3591247477839184e-05	2.3958920987087943e-06	12.0	80.0	72.0	7.73791905788384	125.557366734869	125.557366734869	20.0	20.0	LoF
SOS1	3	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,hotmaps,smregions,mutpanning	2.7660007055127e-18		14.0	17.0	16.0	6.48790509765911	0.0	0.0	16.0	0.0	Act
SPOP	2	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	6.3350440969811105e-22	3.27996464882731e-23	15.0	35.0	33.0	22.9445670441542	15.461513332695901	15.461513332695901	31.0	2.0	Act
CHD4	2	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	4.644979461465626e-25	2.4049348662618472e-26	16.0	61.0	55.0	9.251431871208027	3.06722895726532	3.06722895726532	55.0	2.0	Act
CCND1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.6548388108719085e-06	4.5188241328476465e-07	17.0	26.0	21.0	8.803434462068891	38.532220298943	38.532220298943	13.0	3.0	LoF
NFE2L2	2	dndscv,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	7.985118217746267e-17	4.547718307396663e-18	17.0	26.0	25.0	17.940010834725	0.0	0.0	24.0	0.0	Act
FOXA2	3	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.4803919639274592e-16		19.0	26.0	25.0	6.6759308745812	36.5293945564821	36.5293945564821	11.0	2.0	LoF
DICER1	2	dndscv,hotmaps,smregions	hotmaps,smregions	1.0337994657431039e-15	6.244571084256168e-17	19.0	25.0	21.0	5.459162267418469	0.0	0.0	23.0	0.0	Act
ZFHX3	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.9857483364948442e-10	1.4687425883844404e-11	19.0	54.0	48.0	1.6790194091720605	12.186109912759301	12.186109912759301	23.0	10.0	LoF
ARHGAP35	3	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.8651602923409354e-07		19.0	52.0	46.0	2.64508097550425	26.467446207695197	26.467446207695197	19.0	13.0	LoF
RBM39	3	hotmaps,smregions,mutpanning	hotmaps,smregions,mutpanning	3.742905213223133e-15		19.0	9.0	9.0	5.4371381603055005	0.0	0.0	8.0	0.0	Act
RRAS2	3	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	4.0771264005101694e-10		24.0	7.0	7.0	10.6259630664185	0.0	0.0	7.0	0.0	Act
MGA	3	oncodrivefml,hotmaps,smregions,cbase	oncodrivefml,hotmaps,smregions,cbase	4.049837490293377e-12		25.0	28.0	25.0	2.23317809411197	8.94693056492474	8.94693056492474	17.0	7.0	LoF
MYO10	3	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	1.8309850365159856e-08		26.0	26.0	25.0	1.60241943978998	1.76149592500012	1.76149592500012	17.0	2.0	LoF
MECOM	2	hotmaps,smregions	hotmaps,smregions	2.1749288128954156e-08	1.8017085938612188e-09	27.0	10.0	9.0	1.46853521898024	0.0	0.0	7.0	0.0	Act
ERBB3	2	hotmaps,smregions	hotmaps,smregions	7.046445763843112e-10	5.150530396383467e-11	27.0	19.0	18.0	3.7417199625317	0.0	0.0	17.0	0.0	Act
INPPL1	3	oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.6629725790978653e-09		29.0	23.0	21.0	1.72453555637897	8.73649069837074	8.73649069837074	11.0	3.0	LoF
GOLGA6L6	3	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	0.0007496556306085068		29.0	23.0	20.0	9.18482699534786	0.0	0.0	22.0	0.0	Act
NRAS	2	oncodriveclustl,dndscv,hotmaps	oncodriveclustl,dndscv,hotmaps	1.1127076003986917e-08	8.961611269147741e-10	31.0	10.0	10.0	21.139223020115498	0.0	0.0	10.0	0.0	Act
SOX17	3	oncodriveclustl,oncodrivefml,mutpanning	oncodriveclustl,oncodrivefml,mutpanning	1.661769539536834e-08		31.0	20.0	19.0	6.59584810802649	0.0	0.0	14.0	0.0	Act
KMT2D	2	cbase,mutpanning	cbase,mutpanning	8.42080710929739e-08	7.058832268109696e-09	33.0	73.0	66.0	1.36154868846865	4.94334307393157	4.94334307393157	36.0	9.0	LoF
TAF1	3	oncodriveclustl,dndscv,oncodrivefml,cbase	dndscv,oncodrivefml,cbase	6.86541615200633e-12		34.0	44.0	42.0	6.94611506571052	0.0	0.0	41.0	0.0	Act
PIK3R2	3	oncodrivefml,smregions	oncodrivefml,smregions	1.0413080797866251e-10		35.0	13.0	13.0	2.84826191596308	0.0	0.0	11.0	0.0	Act
