SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.3619987035096487e-25	4.902055369330021e-25	1.0	44.0	43.0	962.567769561178	2159.5157611222103	2159.5157611222103	40.0	3.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.882551082978987e-20	8.577216609742371e-20	2.0	21.0	21.0	380.3063713892791	129.567738726788	129.567738726788	20.0	1.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.047481462417128e-18	8.817697919638881e-18	3.0	16.0	15.0	289.881404884627	0.0	0.0	16.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	3.506175522673173e-11	5.1122763755950364e-11	4.0	21.0	19.0	213.15296244326998	0.0	0.0	21.0	0.0	Act
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,smregions,cbase,mutpanning	7.555401864101953e-06	1.8360605075339788e-05	5.0	12.0	10.0	246.165758887652	948.2284776277812	948.2284776277812	8.0	3.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	3.314529829713892e-14	4.832842062548067e-14	6.0	7.0	7.0	478.0440469536669	0.0	0.0	7.0	0.0	Act
CHD4	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase	1.9640170776042213e-09	3.340971109176097e-09	7.0	9.0	9.0	51.88747420594439	109.014789502457	109.014789502457	8.0	1.0	LoF
SPOP	1	oncodriveclustl,dndscv,hotmaps,smregions	dndscv,smregions	1.4723661424470775e-07	2.7602026105997364e-07	8.0	5.0	4.0	132.319797054872	0.0	0.0	5.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,smregions,cbase	smregions,cbase	1.202878731797314e-06	2.6308359992990337e-06	9.0	7.0	6.0	10.683713734306	137.59063038012502	137.59063038012502	2.0	2.0	LoF
FOXA2	1	dndscv,oncodrivefml,smregions,cbase	cbase	7.349663970825415e-06		10.0	3.0	3.0	32.5958019215275	402.51882813984	402.51882813984	2.0	1.0	LoF
ERBB3	1	dndscv,smregions		5.3305429139509774e-05	0.00014641582914187254	11.0	5.0	4.0	43.139678918922	0.0	0.0	5.0	0.0	Act
FER	1	oncodriveclustl,dndscv,oncodrivefml		5.464849793329705e-07		12.0	2.0	2.0	0.0	181.537060069301	181.537060069301	0.0	2.0	LoF
ZBTB7B	1	dndscv,oncodrivefml,cbase	dndscv,cbase	4.5466253105547704e-11		14.0	5.0	4.0	72.9653089834542	328.98457348563	328.98457348563	4.0	1.0	LoF
MAP3K19	1	oncodriveclustl,dndscv,cbase	cbase	7.555401864101953e-06		15.0	3.0	3.0	12.3800879538402	240.777601579081	240.777601579081	1.0	2.0	LoF
FER1L6	1	dndscv,oncodrivefml		1.9075273283304697e-07		16.0	3.0	3.0	14.725216037676802	121.41525416677099	121.41525416677099	2.0	1.0	LoF
SORCS1	1	dndscv,oncodrivefml,cbase	cbase	1.3819666405589475e-07		16.0	2.0	2.0	0.0	142.854250597874	142.854250597874	0.0	2.0	LoF
RB1	1	dndscv,oncodrivefml		9.111977108711258e-06	2.125755314032271e-05	18.0	3.0	3.0	13.199289708538	145.157483171689	145.157483171689	1.0	1.0	LoF
YARS	1	dndscv,smregions	smregions	3.054516431062523e-05		19.0	3.0	3.0	60.552041696	0.0	0.0	3.0	0.0	Act
EBF2	1	oncodrivefml,smregions,cbase	cbase	0.0001771078542113047		20.0	3.0	3.0	32.370658876956604	139.444175157257	139.444175157257	2.0	1.0	LoF
LZTFL1	1	dndscv,oncodrivefml		3.054516431062523e-05		21.0	2.0	2.0	52.865155760067395	281.617254676299	281.617254676299	1.0	1.0	LoF
SPATA31D1	1	dndscv,oncodrivefml		0.004040045519675173		22.0	2.0	2.0	0.0	103.302200579913	103.302200579913	0.0	1.0	LoF
PIK3R1	1	dndscv,oncodrivefml		0.0019718282057288768	0.007000191748763455	22.0	8.0	7.0	26.9579859921668	0.0	0.0	2.0	0.0	Act
MUC16	2	smregions	smregions	0.0012951984216259206	0.004437974878027222	24.0	4.0	4.0	8.39793825788214	0.0	0.0	4.0	0.0	Act
MMEL1	3	smregions		0.0013468535080472734		24.0	3.0	3.0	31.3426113861846	0.0	0.0	3.0	0.0	Act
RUSC2	3	smregions		0.002095040916187734		24.0	3.0	2.0	21.178842958429694	0.0	0.0	3.0	0.0	Act
PDGFRB	2	smregions		0.0006658708718828495	0.0023253150222956173	24.0	5.0	5.0	15.9893631339049	0.0	0.0	4.0	0.0	Act
USH2A	3	smregions	smregions	0.013219718928519829		24.0	4.0	4.0	4.5446058727885	0.0	0.0	3.0	0.0	Act
TTN	3	smregions	smregions	0.0024359177900739586		24.0	12.0	10.0	3.26485391570005	7.58102334538646	7.58102334538646	9.0	0.0	Act
TSPOAP1	3	smregions		0.00758820940583697		24.0	3.0	3.0	17.813364770607702	0.0	0.0	3.0	0.0	Act
FLG	4	smregions	smregions	0.054703889400371616		24.0	4.0	4.0	4.083430986092161	0.0	0.0	3.0	0.0	Act
SVIL	3	smregions		0.010217687116165023		24.0	4.0	3.0	6.33658062576994	0.0	0.0	3.0	0.0	Act
LRP1	3	smregions	smregions	0.015189604105922197		24.0	4.0	4.0	4.39395051361416	0.0	0.0	3.0	0.0	Act
LAMA5	3	smregions	smregions	0.003635750903845286		24.0	5.0	4.0	2.08999331592314	13.2866064523555	13.2866064523555	2.0	1.0	LoF
FANCM	3	smregions		0.017564047647721726		35.0	4.0	3.0	8.39320205378448	0.0	0.0	3.0	0.0	Act
FMN2	3	smregions		0.002524323712093789		36.0	3.0	3.0	17.5444591602237	0.0	0.0	3.0	0.0	Act
FLNA	2	smregions		0.01938921492690359	0.14792955745700806	36.0	8.0	7.0	4.87892378257553	0.0	0.0	5.0	0.0	Act
F8	3	smregions		0.010415918282368543		36.0	3.0	3.0	16.7054747427659	0.0	0.0	3.0	0.0	Act
MAGEC2	3	dndscv		3.054516431062523e-05		39.0	3.0	3.0	94.5643975383234	0.0	0.0	3.0	0.0	Act
KMT2D	2	dndscv		3.054516431062523e-05	8.289364689809844e-05	41.0	6.0	5.0	14.546517422265401	0.0	0.0	5.0	0.0	Act
ZFP36L2	3	dndscv		0.002240705784629419		41.0	2.0	2.0	22.7380012586411	0.0	0.0	2.0	0.0	Act
MAD1L1	3	dndscv		0.0066069143251707325		41.0	3.0	3.0	0.0	59.5264547190589	59.5264547190589	0.0	1.0	LoF
NCK1	3	dndscv		0.0028908102073049273		41.0	2.0	2.0	68.82145788369951	0.0	0.0	2.0	0.0	Act
ALCAM	3	dndscv		0.0032699592384655913		41.0	3.0	3.0	43.7177504583151	0.0	0.0	2.0	0.0	Act
HIP1	2	dndscv		0.005964698494957559	0.042863755748820766	41.0	3.0	3.0	20.7413294656595	0.0	0.0	2.0	0.0	Act
RYR2	4	oncodriveclustl		0.11055682762013036		63.0	4.0	3.0	4.03924058208407	0.0	0.0	3.0	0.0	Act
