SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.025652156601681e-28	4.869729091776519e-28	1.0	42.0	41.0	901.68573559765	2066.3890520641603	2066.3890520641603	39.0	3.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.0076743676332696e-19	4.84079418537815e-19	2.0	22.0	21.0	382.912384516404	124.77780312673201	124.77780312673201	21.0	1.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.097846628584985e-17	4.985924709212404e-17	3.0	16.0	15.0	256.340579417061	0.0	0.0	16.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	4.738637510013726e-08	8.716281314775329e-08	4.0	17.0	17.0	172.445540890941	0.0	0.0	17.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	4.899897141078309e-16	7.886290432480438e-16	5.0	6.0	6.0	409.540363357657	0.0	0.0	6.0	0.0	Act
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.663495352233855e-14	1.3943729539825596e-13	6.0	10.0	9.0	205.305332351979	907.2614068867308	907.2614068867308	7.0	3.0	LoF
CHD4	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase	2.4773373832521643e-09	4.651764815579968e-09	7.0	9.0	9.0	48.6409926239131	101.49683125965099	101.49683125965099	8.0	1.0	LoF
SPOP	1	oncodriveclustl,dndscv,hotmaps,smregions	dndscv,smregions	6.810075679528646e-07	1.217854015426116e-06	8.0	5.0	4.0	130.27809942666	0.0	0.0	5.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,smregions,cbase	smregions,cbase	3.357009652834254e-07	6.078422952098591e-07	9.0	4.0	4.0	10.1113179084006	129.82993668246098	129.82993668246098	2.0	2.0	LoF
FOXA2	1	dndscv,oncodrivefml,smregions,cbase	cbase	0.00013814654994769344		10.0	3.0	3.0	31.329030197599696	388.307818063795	388.307818063795	2.0	1.0	LoF
