SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.432288923182975e-23	1.316090411395198e-22	1.0	40.0	36.0	748.1234806626401	1987.24433175108	1987.24433175108	33.0	3.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.6646380988226e-18	3.717978404032316e-18	2.0	19.0	19.0	308.257314807915	117.646925639824	117.646925639824	18.0	1.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	4.4575539093059655e-14	6.219639799090319e-14	3.0	14.0	13.0	240.921797794858	0.0	0.0	14.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.338117118643642e-10	3.262382594115297e-10	4.0	20.0	19.0	191.219287159137	0.0	0.0	20.0	0.0	Act
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	7.912152252184257e-08	1.1039852359701321e-07	5.0	11.0	9.0	189.671934120672	837.811622222396	837.811622222396	7.0	3.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	3.5988500333177773e-07	5.021487424179207e-07	6.0	6.0	6.0	385.129461752745	0.0	0.0	6.0	0.0	Act
CHD4	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase	1.4942829231249534e-07	2.084977933831882e-07	7.0	8.0	8.0	40.1938937793883	96.1351689164086	96.1351689164086	7.0	1.0	LoF
ARID1A	1	dndscv,oncodrivefml,smregions,cbase	smregions,cbase	2.2509886893719216e-07	3.1408120068927203e-07	8.0	7.0	6.0	10.076268957392198	123.67449035523998	123.67449035523998	2.0	2.0	LoF
FER	1	oncodriveclustl,dndscv,oncodrivefml		1.6660546955680982e-05		9.0	2.0	2.0	0.0	162.51836455187	162.51836455187	0.0	2.0	LoF
ERBB3	1	dndscv,smregions		0.00016723114247331784	0.0004128290690079691	11.0	5.0	4.0	41.878838898169	0.0	0.0	5.0	0.0	Act
ZBTB7B	1	dndscv,oncodrivefml		0.0060094651075856325		11.0	4.0	4.0	34.4627895809042	299.25919984587	299.25919984587	2.0	1.0	LoF
SPOP	1	dndscv,smregions	dndscv	3.612854602904801e-05	7.841599183778153e-05	11.0	4.0	3.0	98.78323871156609	0.0	0.0	4.0	0.0	Act
EBF2	1	oncodrivefml,smregions		0.0010430842956287649		14.0	3.0	3.0	30.4475660481479	128.075732436081	128.075732436081	2.0	1.0	LoF
YARS	1	dndscv,smregions	smregions	8.989244306047637e-05		14.0	3.0	3.0	57.56266385349111	0.0	0.0	3.0	0.0	Act
SORCS1	1	dndscv,oncodrivefml		1.1794665562746114e-06		14.0	2.0	2.0	0.0	137.339092648792	137.339092648792	0.0	2.0	LoF
FER1L6	1	dndscv,oncodrivefml		1.150557137002177e-06		14.0	3.0	3.0	13.4251734586375	111.15281824816499	111.15281824816499	2.0	1.0	LoF
RB1	1	dndscv,oncodrivefml		4.474884918323147e-05	9.8862415624408e-05	14.0	3.0	3.0	11.7096908021526	130.900025978123	130.900025978123	1.0	1.0	LoF
MAP3K19	1	oncodriveclustl,dndscv,cbase	cbase	0.00021832048227509807		20.0	3.0	3.0	9.3766458350096	181.100944547355	181.100944547355	1.0	2.0	LoF
TBXAS1	1	oncodrivefml	oncodrivefml	0.0004370456467539341		21.0	2.0	2.0	0.0	154.920327711673	154.920327711673	0.0	1.0	LoF
ROBO2	1	oncodrivefml		0.0003385095462905865	0.0009761352252656011	21.0	2.0	2.0	8.15312610963133	65.87266553287229	65.87266553287229	1.0	1.0	LoF
RFC1	1	oncodrivefml		0.0028613189513890178		21.0	2.0	2.0	0.0	74.41319494050529	74.41319494050529	0.0	1.0	LoF
HCFC1	1	oncodrivefml		0.003336809986985944		21.0	2.0	2.0	8.85646241003345	0.0	0.0	2.0	0.0	Act
SCRIB	1	oncodrivefml		0.00020591473731419556		21.0	2.0	2.0	4.693082501870429	63.9398822022291	63.9398822022291	1.0	1.0	LoF
NHS	1	oncodrivefml		0.00017859290317248866		21.0	2.0	2.0	6.608954602753951	95.7085467949189	95.7085467949189	1.0	1.0	LoF
ZNF749	1	oncodrivefml		0.0001741374113233508		21.0	2.0	2.0	13.0037058399528	164.622897445416	164.622897445416	1.0	1.0	LoF
ILF3	1	dndscv,oncodrivefml		0.021842676693973904		21.0	3.0	2.0	10.301409333618901	0.0	0.0	1.0	0.0	Act
LPP	1	oncodrivefml		0.0001334103284913411	0.00034127110448714537	21.0	2.0	2.0	17.328483373977303	179.55053691007703	179.55053691007703	1.0	1.0	LoF
LZTFL1	1	oncodrivefml		0.0001172444828808354		21.0	2.0	2.0	49.82346549592921	266.027790592934	266.027790592934	1.0	1.0	LoF
FOXA2	1	oncodrivefml		2.638897237101441e-05		21.0	2.0	2.0	14.770049934077196	342.00403565804197	342.00403565804197	1.0	1.0	LoF
FBN3	1	oncodrivefml		0.00383379936381604		21.0	4.0	3.0	7.75987378800588	0.0	0.0	2.0	0.0	Act
FAM135B	1	oncodrivefml		0.0073909660309824455	0.06767669666212094	21.0	3.0	3.0	15.4816430756264	79.7504935372281	79.7504935372281	2.0	1.0	LoF
MMP25	1	oncodrivefml		8.989244306047637e-05		21.0	2.0	2.0	10.7583359289381	149.426984701119	149.426984701119	1.0	1.0	LoF
MMEL1	1	smregions		0.0018099679128077875		35.0	3.0	3.0	29.429069283389893	0.0	0.0	3.0	0.0	Act
SVIL	1	smregions		0.006266921253904304		35.0	4.0	3.0	6.3691241292312	0.0	0.0	3.0	0.0	Act
LRP2	1	smregions	smregions	0.002251284944107505		35.0	3.0	3.0	9.66538096951177	0.0	0.0	3.0	0.0	Act
TTN	1	smregions	smregions	0.004548696010940044		35.0	10.0	8.0	2.63929416874391	7.81759707631513	7.81759707631513	7.0	0.0	Act
LRP1	1	smregions	smregions	0.005271892293309381		35.0	4.0	4.0	4.4965920909145	0.0	0.0	3.0	0.0	Act
MAP3K4	1	oncodrivefml		0.00034141613259128825		40.0	3.0	3.0	9.463858068013304	81.56326593190491	81.56326593190491	1.0	1.0	LoF
MYF6	1	oncodrivefml		4.474884918323147e-05		40.0	2.0	2.0	36.9559592854799	427.909916832264	427.909916832264	1.0	1.0	LoF
SCN3A	1	oncodrivefml		0.0006090681118049206		40.0	2.0	2.0	5.935325435670579	57.3692212902073	57.3692212902073	1.0	1.0	LoF
HERC2	1	oncodrivefml		0.0008048721183795783		40.0	2.0	2.0	2.4221628840617595	24.6548162507546	24.6548162507546	1.0	1.0	LoF
POLR1A	1	oncodrivefml		0.0005248514683098731		40.0	2.0	2.0	5.09831313213195	46.1521370910094	46.1521370910094	1.0	1.0	LoF
CUBN	1	smregions		0.013238328863705313		40.0	4.0	4.0	5.0014295810741904	0.0	0.0	3.0	0.0	Act
TSPOAP1	1	smregions		0.011848379586267829		46.0	3.0	3.0	17.134687453614198	0.0	0.0	3.0	0.0	Act
ITSN2	1	smregions		0.01913879867484056		47.0	3.0	3.0	7.52218235315929	0.0	0.0	2.0	0.0	Act
DPP10	1	smregions		0.006147333632158688		47.0	4.0	4.0	17.7431431240168	0.0	0.0	3.0	0.0	Act
RUSC2	1	smregions		0.0034065419050893857		47.0	3.0	2.0	19.1994025880078	0.0	0.0	3.0	0.0	Act
HUWE1	3	smregions		0.0187115770035934		50.0	4.0	3.0	4.40483881611856	0.0	0.0	3.0	0.0	Act
DNAH10	4	oncodrivefml		0.06520390704059119		50.0	2.0	2.0	5.8034426785300814	0.0	0.0	2.0	0.0	Act
FMN2	3	smregions		0.002813264849314227		50.0	3.0	3.0	16.603887163023902	0.0	0.0	3.0	0.0	Act
SPATA31D1	3	oncodrivefml		0.005200700238659322		53.0	2.0	2.0	0.0	83.762842323989	83.762842323989	0.0	1.0	LoF
IRS1	3	oncodrivefml		0.002812001142769121		53.0	2.0	2.0	0.0	71.72743987334479	71.72743987334479	0.0	1.0	LoF
FANCM	3	smregions		0.014820107788940424		55.0	4.0	3.0	8.438577762922769	0.0	0.0	3.0	0.0	Act
DSCAM	3	oncodrivefml		0.0003273294646219363		56.0	2.0	2.0	6.78144990983292	69.5028732205445	69.5028732205445	1.0	1.0	LoF
SI	3	smregions		0.002177546878377116		56.0	3.0	3.0	16.1585394812967	0.0	0.0	3.0	0.0	Act
FLNA	2	smregions		0.012230509889500021	0.11253854479801646	58.0	8.0	7.0	5.3654054003413085	0.0	0.0	5.0	0.0	Act
NSD1	2	oncodrivefml		0.0012399396720181467	0.004681609064705811	58.0	2.0	2.0	4.01205259166266	39.2942826151357	39.2942826151357	1.0	1.0	LoF
DNAH5	3	oncodrivefml		0.02654992008774096		58.0	2.0	2.0	1.89876575250193	16.777260543593	16.777260543593	1.0	1.0	LoF
PLXNB2	3	oncodrivefml		0.0034065419050893857		61.0	3.0	3.0	9.19669637122486	0.0	0.0	2.0	0.0	Act
SAMD4B	3	oncodriveclustl		0.006802817995299785		62.0	3.0	3.0	14.708662795186301	0.0	0.0	2.0	0.0	Act
CDK11A	3	oncodriveclustl		0.0023189994697915104		63.0	3.0	2.0	35.225061633462296	0.0	0.0	3.0	0.0	Act
RYR2	4	oncodriveclustl		0.11394346335863295		63.0	4.0	3.0	3.9602889492278894	0.0	0.0	3.0	0.0	Act
PRPF8	4	oncodriveclustl		0.12089891227199695		63.0	4.0	4.0	4.4069742408910715	0.0	0.0	2.0	0.0	Act
LGR5	3	oncodriveclustl,dndscv		0.010234644236819008		71.0	2.0	2.0	21.685038135703	0.0	0.0	2.0	0.0	Act
GOLGB1	4	mutpanning		0.34607833506537283		83.0	2.0	2.0	2.10258255608981	0.0	0.0	1.0	0.0	Act
HEPH	4	mutpanning		0.2560378184670525		87.0	2.0	2.0	5.03607561677605	0.0	0.0	1.0	0.0	Act
CHM	4	mutpanning		0.2488623530151113		96.0	2.0	2.0	9.34995860229988	0.0	0.0	1.0	0.0	Act
MAGEC2	3	dndscv		4.474884918323147e-05		105.0	3.0	3.0	83.7921219835092	0.0	0.0	3.0	0.0	Act
ADAMTSL2	3	cbase		0.002812001142769121		105.0	2.0	2.0	14.9383815735271	0.0	0.0	2.0	0.0	Act
