SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.564654660446192e-25	1.133599649399467e-24	1.0	43.0	41.0	966.800200414838	2209.96829233391	2209.96829233391	40.0	3.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.93531327565474e-18	2.023965247297666e-17	2.0	21.0	21.0	376.966475557687	125.394846247113	125.394846247113	20.0	1.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	1.0442220056860986e-13	2.127229400154824e-13	3.0	13.0	12.0	237.492447864309	0.0	0.0	13.0	0.0	Act
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	8.842065536520179e-08	1.801255065011111e-07	4.0	20.0	19.0	203.375348219763	0.0	0.0	20.0	0.0	Act
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase	9.863185871838598e-09	2.0092718647488343e-08	4.0	10.0	10.0	236.842647496465	759.772844996551	759.772844996551	7.0	3.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase	2.878636649278046e-07	5.864194088386418e-07	6.0	6.0	6.0	375.57358463405	0.0	0.0	6.0	0.0	Act
SPOP	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase	dndscv,smregions,cbase	3.973538530476487e-06	8.904132198436314e-06	6.0	5.0	4.0	131.405599895309	0.0	0.0	5.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,smregions,cbase	smregions,cbase	5.887809735129148e-10	1.1994309546134518e-09	6.0	4.0	4.0	10.4578992244549	138.263534875891	138.263534875891	2.0	2.0	LoF
FOXA2	1	dndscv,oncodrivefml,smregions,cbase	smregions,cbase	2.155562588865701e-06		9.0	3.0	3.0	32.3300282235728	421.6051246610981	421.6051246610981	2.0	1.0	LoF
CHD4	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,smregions,cbase	2.8475928633570857e-11	5.800953461638864e-11	9.0	9.0	9.0	51.4494667555926	107.716668488211	107.716668488211	8.0	1.0	LoF
