SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GNAQ	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	1.5367855838785314e-15	1.6113648842726372e-14	1.0	40.0	39.0	2424.13375208113	488.267759183431	488.267759183431	39.0	1.0	Act
GNA11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase	3.2651277065336384e-20	3.42358243346836e-19	2.0	35.0	35.0	980.269531842764	0.0	0.0	35.0	0.0	Act
BAP1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	dndscv,oncodrivefml,cbase	0.0022206991932048684	0.04246030645969481	3.0	12.0	11.0	184.917315711596	2319.43824378242	2319.43824378242	6.0	5.0	LoF
SF3B1	1	oncodriveclustl,dndscv,oncodrivefml,cbase	oncodriveclustl,dndscv,oncodrivefml,cbase	0.00022189301177507242	0.004653226982224311	4.0	18.0	18.0	236.441652273708	0.0	0.0	18.0	0.0	Act
CYSLTR2	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl,dndscv,oncodrivefml	0.00022189301177507242	0.004653226982224311	5.0	3.0	3.0	274.376621355846	0.0	0.0	3.0	0.0	Act
EIF1AX	4	oncodriveclustl,dndscv,oncodrivefml,cbase	dndscv,cbase	0.40568312465953177	0.4126277715866564	6.0	9.0	9.0	1096.78815474123	0.0	0.0	9.0	0.0	Act
PLCB4	3	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	oncodriveclustl,hotmaps,smregions	6.733341114493511e-07		7.0	3.0	2.0	74.7278089646614	0.0	0.0	3.0	0.0	Act
GMEB2	3	dndscv,oncodrivefml		1.2190920499047622e-06		8.0	2.0	2.0	33.6056966341595	646.950675188749	646.950675188749	1.0	1.0	LoF
MAP3K19	3	oncodrivefml		0.00029813508813399104		9.0	2.0	2.0	81.7834666168513	0.0	0.0	2.0	0.0	Act
WISP1	3	oncodrivefml		0.00022189301177507242		10.0	2.0	2.0	89.69775745767521	0.0	0.0	2.0	0.0	Act
CFAP52	3	dndscv,oncodrivefml		0.011277090021216187		11.0	2.0	2.0	93.68829873695208	0.0	0.0	2.0	0.0	Act
KCNH5	3	oncodrivefml		0.0004062143636194178		12.0	2.0	2.0	48.10268267932671	0.0	0.0	2.0	0.0	Act
SELE	3	oncodrivefml		0.0003883069700143968		12.0	2.0	2.0	75.3462971145038	0.0	0.0	2.0	0.0	Act
TPCN1	3	oncodrivefml		2.3531116225192928e-05		12.0	2.0	2.0	19.0960360723507	190.680536596886	190.680536596886	1.0	1.0	LoF
MUC16	2	oncodrivefml,smregions	smregions	0.004433876642197258	0.08368290121464649	12.0	3.0	3.0	17.4810301885755	0.0	0.0	3.0	0.0	Act
PLCB2	3	dndscv,oncodrivefml		0.0004062143636194178		16.0	2.0	2.0	42.6131094647406	0.0	0.0	2.0	0.0	Act
PPP2R1A	2	oncodrivefml		0.0003883069700143968	0.006601872613769257	17.0	2.0	2.0	50.4652388554754	0.0	0.0	2.0	0.0	Act
HDAC5	3	oncodrivefml		0.0004062143636194178		18.0	2.0	2.0	34.598770527384	0.0	0.0	2.0	0.0	Act
LRP1B	2	oncodrivefml		0.0012675581884343096	0.024765328099377155	19.0	2.0	2.0	11.9542055832899	0.0	0.0	2.0	0.0	Act
ADAMTSL1	3	oncodrivefml		0.0005654684046562762		19.0	2.0	2.0	22.1735349076658	0.0	0.0	2.0	0.0	Act
KIR2DL4	3	dndscv,oncodrivefml		0.02717189854032597		21.0	2.0	2.0	121.178057292232	0.0	0.0	2.0	0.0	Act
EIF1B	3	dndscv,oncodrivefml		0.00369325725959816		21.0	2.0	2.0	163.978885092262	0.0	0.0	1.0	0.0	Act
SPEG	3	oncodrivefml		0.0011408328940413304		23.0	2.0	2.0	9.763038255539527	0.0	0.0	2.0	0.0	Act
COL14A1	3	oncodrivefml,smregions		0.03035253942491192		23.0	3.0	3.0	43.1523432597878	0.0	0.0	3.0	0.0	Act
TMEM39A	3	oncodrivefml		0.0006713584417670359		25.0	2.0	2.0	78.69755911886729	0.0	0.0	2.0	0.0	Act
TBX6	3	dndscv,oncodrivefml		0.0005202032713895717		26.0	2.0	2.0	91.70736817332501	0.0	0.0	2.0	0.0	Act
MC2R	3	dndscv,oncodrivefml		0.0006447588697351275		27.0	2.0	2.0	95.038717692229	0.0	0.0	2.0	0.0	Act
GLIS3	3	oncodrivefml		0.0004536889760157285		28.0	2.0	2.0	63.2283633086034	0.0	0.0	2.0	0.0	Act
MUC4	2	oncodrivefml		0.0005860550449091414	0.012586135005164057	28.0	2.0	2.0	15.948539045048802	0.0	0.0	2.0	0.0	Act
APC	2	oncodrivefml		0.0014398870521494845	0.02918876919342636	28.0	2.0	2.0	48.044363669700004	0.0	0.0	2.0	0.0	Act
