SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GNAQ	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	1.8348148491947764e-15	1.7213460361524684e-14	1.0	41.0	40.0	4409.13877438737	868.4473403423151	868.4473403423151	40.0	1.0	Act
GNA11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase	2.6091996838263885e-17	2.4478412823265984e-16	2.0	35.0	35.0	2168.44424189071	0.0	0.0	35.0	0.0	Act
BAP1	1	dndscv,oncodrivefml,smregions,cbase	dndscv,oncodrivefml,cbase	1.2666666666666667e-05	0.00017825	2.0	14.0	13.0	244.461827244343	3341.04141822639	3341.04141822639	5.0	5.0	LoF
SF3B1	1	oncodriveclustl,dndscv,oncodrivefml,cbase	oncodriveclustl,dndscv,oncodrivefml,cbase	6.203618036756489e-05	0.0010475951826806947	4.0	18.0	18.0	444.13119997175204	0.0	0.0	18.0	0.0	Act
CYSLTR2	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl,dndscv,oncodrivefml	0.0017197484392365405	0.037309772677219716	5.0	3.0	3.0	464.011500167566	0.0	0.0	3.0	0.0	Act
EIF1AX	1	oncodriveclustl,dndscv,oncodrivefml,cbase	dndscv,cbase	1.2059991762022039e-05	0.00017825	6.0	10.0	10.0	1972.74929207814	0.0	0.0	9.0	0.0	Act
PLCB4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	oncodriveclustl,hotmaps,smregions	7.174636308839927e-07		7.0	3.0	2.0	129.090100552355	0.0	0.0	3.0	0.0	Act
HDAC5	4	dndscv,oncodrivefml,smregions		0.05130489482452607		8.0	3.0	2.0	84.1768043396479	0.0	0.0	3.0	0.0	Act
KCNK13	3	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	2.4705575154154915e-05		9.0	3.0	2.0	254.136323887047	0.0	0.0	3.0	0.0	Act
MUC16	2	oncodrivefml,smregions	smregions	0.007121215550163724	0.1255995022639666	10.0	3.0	3.0	26.103659998559298	0.0	0.0	3.0	0.0	Act
