SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GNAQ	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	3.100495737664952e-16	3.624022067139525e-15	1.0	40.0	39.0	4606.88733768355	926.567084479826	926.567084479826	39.0	1.0	Act
GNA11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase	4.6335529841629785e-20	5.415939799521647e-19	2.0	35.0	35.0	1654.59656722284	0.0	0.0	35.0	0.0	Act
BAP1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	dndscv,oncodrivefml,cbase	0.0007992409753019905	0.022080967511398358	3.0	12.0	11.0	444.902603417425	4616.35732326779	4616.35732326779	7.0	5.0	LoF
SF3B1	1	oncodriveclustl,dndscv,oncodrivefml,cbase	oncodriveclustl,dndscv,oncodrivefml,cbase	0.00019253803615061155	0.003375728355132444	4.0	18.0	18.0	500.168673683053	0.0	0.0	18.0	0.0	Act
CYSLTR2	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl,dndscv,oncodrivefml	0.0010458873351580312	0.025994764414325317	5.0	3.0	3.0	588.154117778236	0.0	0.0	3.0	0.0	Act
EIF1AX	1	oncodriveclustl,dndscv,oncodrivefml,cbase	dndscv,cbase	3.15686616674244e-05	0.0006149851302970927	6.0	9.0	9.0	2274.9374688129897	0.0	0.0	9.0	0.0	Act
PLCB4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	oncodriveclustl,hotmaps,smregions	1.3423302909385695e-06		7.0	3.0	2.0	135.613273457389	0.0	0.0	3.0	0.0	Act
CFAP52	1	dndscv,oncodrivefml		0.04034715740866748		8.0	2.0	2.0	163.371882257549	0.0	0.0	2.0	0.0	Act
TPCN1	1	dndscv,oncodrivefml		3.15686616674244e-05		8.0	2.0	2.0	33.317638531854	331.519563085321	331.519563085321	1.0	1.0	LoF
MUC16	1	oncodrivefml,smregions	smregions	0.005582474623268879	0.11185867184236188	10.0	3.0	3.0	23.1847272289503	0.0	0.0	3.0	0.0	Act
COL14A1	1	dndscv,oncodrivefml,smregions		0.02925790545765412		11.0	3.0	3.0	96.7225803896825	0.0	0.0	3.0	0.0	Act
SELE	1	oncodrivefml		0.0003847873721982568		12.0	2.0	2.0	135.587637973353	0.0	0.0	2.0	0.0	Act
PLCB2	1	oncodrivefml		0.0003847873721982568		13.0	2.0	2.0	77.2860513518751	0.0	0.0	2.0	0.0	Act
ADAMTSL1	1	oncodrivefml		0.0003899337262494956		14.0	2.0	2.0	49.1598775846811	0.0	0.0	2.0	0.0	Act
LRP1B	1	oncodrivefml		0.0008833887319523588	0.02270973352140612	14.0	2.0	2.0	22.134546277737797	0.0	0.0	2.0	0.0	Act
HDAC5	1	oncodrivefml		0.0003847873721982568		14.0	2.0	2.0	58.2054177977465	0.0	0.0	2.0	0.0	Act
MC2R	1	dndscv,oncodrivefml		0.0003847873721982568		17.0	2.0	2.0	210.645200358819	0.0	0.0	2.0	0.0	Act
TBX6	1	dndscv,oncodrivefml		0.0003899337262494956		17.0	2.0	2.0	134.066456024217	0.0	0.0	2.0	0.0	Act
GLIS3	1	dndscv,oncodrivefml		0.0003847873721982568		17.0	2.0	2.0	130.909227140059	0.0	0.0	2.0	0.0	Act
TMEM39A	1	dndscv,oncodrivefml		0.00048112106123003866		17.0	2.0	2.0	154.255691728071	0.0	0.0	2.0	0.0	Act
MUC4	1	oncodrivefml		0.0003847873721982568	0.012335074229408029	21.0	2.0	2.0	25.9085386553371	0.0	0.0	2.0	0.0	Act
C3	1	oncodrivefml		0.00047069243260741906		21.0	2.0	2.0	36.8328743781326	0.0	0.0	2.0	0.0	Act
OBSCN	1	oncodrivefml		0.0006488880807175445		21.0	2.0	2.0	14.350213563116698	0.0	0.0	2.0	0.0	Act
SLC27A6	1	oncodrivefml		0.028644065332503306		21.0	2.0	2.0	34.451653448053996	0.0	0.0	1.0	0.0	Act
SPEG	1	oncodrivefml		0.0007371615094981394		21.0	2.0	2.0	15.244588464184199	0.0	0.0	2.0	0.0	Act
APC	1	oncodrivefml		0.0009020646504946428	0.02270973352140612	21.0	2.0	2.0	88.12562337414431	0.0	0.0	2.0	0.0	Act
PCDHB7	1	oncodrivefml		0.0003280650440185401		21.0	2.0	2.0	68.551969399292	0.0	0.0	2.0	0.0	Act
PCSK7	1	dndscv,oncodrivefml		0.0003847873721982568		28.0	2.0	2.0	109.124679353922	0.0	0.0	2.0	0.0	Act
GNB1	1	dndscv,oncodrivefml		0.0003847873721982568		28.0	2.0	2.0	228.07395328119202	0.0	0.0	2.0	0.0	Act
GDAP1L1	1	oncodrivefml		0.02925790545765412		30.0	2.0	2.0	35.22993388100121	0.0	0.0	1.0	0.0	Act
TTN	1	oncodrivefml,smregions	smregions	0.002597751428103945		30.0	4.0	3.0	11.524679997469802	0.0	0.0	4.0	0.0	Act
CACNA1D	1	oncodrivefml		0.0006488880807175445	0.02022545143395013	30.0	2.0	2.0	40.6763482776345	0.0	0.0	2.0	0.0	Act
CENPE	1	oncodrivefml		0.0010458873351580312		30.0	2.0	2.0	57.161478583459704	0.0	0.0	2.0	0.0	Act
SHPK	1	oncodrivefml		0.032833973553880375		34.0	2.0	2.0	24.1110214607408	0.0	0.0	1.0	0.0	Act
SPHKAP	1	oncodrivefml		0.0006488880807175445		34.0	2.0	2.0	49.146354797765504	0.0	0.0	2.0	0.0	Act
PRKCB	1	oncodrivefml		0.00047069243260741906	0.016758017786235542	34.0	2.0	2.0	126.227929825075	0.0	0.0	2.0	0.0	Act
SPTA1	1	oncodrivefml		0.0011889998208217633		37.0	2.0	2.0	59.148866164456905	0.0	0.0	2.0	0.0	Act
TKFC	4	dndscv,oncodrivefml		0.3401843996631394		38.0	2.0	2.0	111.83262158925601	0.0	0.0	2.0	0.0	Act
SLC18B1	3	oncodrivefml		0.032833973553880375		39.0	2.0	2.0	41.6647617545756	0.0	0.0	1.0	0.0	Act
AADACL4	3	cbase	cbase	0.0363155188729042		39.0	2.0	2.0	45.745784354038896	0.0	0.0	1.0	0.0	Act
DNAH17	4	oncodrivefml		0.05510788575935974		39.0	2.0	2.0	3.70080540367015	0.0	0.0	1.0	0.0	Act
