SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GNAQ	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.052275320498912e-11	3.5666062411046784e-10	1.0	41.0	40.0	4979.6658296529495	990.1743573876648	990.1743573876648	40.0	1.0	Act
GNA11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	5.2013583243421616e-11	3.6718499854019435e-10	2.0	35.0	35.0	2341.12048120201	0.0	0.0	35.0	0.0	Act
SF3B1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.0007904347826086973	0.014260000000000031	3.0	18.0	18.0	528.1158028153341	0.0	0.0	18.0	0.0	Act
BAP1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.052275320498912e-11	3.5666062411046784e-10	4.0	19.0	16.0	571.764835165597	6224.055161232739	6224.055161232739	8.0	6.0	LoF
EIF1AX	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	8.525900477715333e-05	0.0010031298746882892	5.0	10.0	10.0	2914.0387770109496	0.0	0.0	9.0	0.0	Act
CYSLTR2	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl,dndscv,oncodrivefml	5.2714835438672305e-08	3.721354224532015e-07	6.0	3.0	3.0	743.992460815373	0.0	0.0	3.0	0.0	Act
PLCB4	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	oncodriveclustl,hotmaps,smregions	5.77998989527822e-08		7.0	3.0	2.0	161.963255883838	0.0	0.0	3.0	0.0	Act
GMEB2	1	dndscv,oncodrivefml		1.6078122662686572e-06		8.0	2.0	2.0	84.58224800274179	1580.15570465483	1580.15570465483	1.0	1.0	LoF
HDAC5	1	dndscv,oncodrivefml,smregions		0.00012239904803080498		9.0	3.0	2.0	143.322580515364	0.0	0.0	3.0	0.0	Act
CDH4	1	dndscv,oncodrivefml		0.011090722603057502		9.0	2.0	2.0	33.3136098800006	0.0	0.0	1.0	0.0	Act
KCNK13	1	oncodriveclustl,dndscv,oncodrivefml	oncodriveclustl	0.0006316564864460216		9.0	3.0	2.0	288.59558517070303	0.0	0.0	3.0	0.0	Act
PKHD1L1	1	dndscv,oncodrivefml		0.001198473094393359		9.0	3.0	3.0	45.74468277347421	0.0	0.0	2.0	0.0	Act
CFAP52	1	dndscv,oncodrivefml		0.011090722603057502		13.0	2.0	2.0	222.10742758090802	0.0	0.0	2.0	0.0	Act
MTMR10	1	dndscv,oncodrivefml		0.021835840379817544		13.0	2.0	2.0	57.4466630088406	0.0	0.0	1.0	0.0	Act
PRKCB	1	dndscv,oncodrivefml		0.0008383751504603015	0.014356777250499704	13.0	3.0	2.0	122.328900975222	0.0	0.0	2.0	0.0	Act
KIR2DL4	1	dndscv,oncodrivefml		0.02506652300359296		13.0	2.0	2.0	275.718179161862	0.0	0.0	2.0	0.0	Act
EIF1B	1	dndscv,oncodrivefml		0.017817356809163642		13.0	2.0	2.0	379.77291850291	0.0	0.0	1.0	0.0	Act
PLCB2	1	dndscv,oncodrivefml		0.0006507494537960608		13.0	2.0	2.0	97.04044815117649	0.0	0.0	2.0	0.0	Act
PPP2R1A	1	oncodrivefml		0.0007082750082610716	0.014260000000000031	54.0	2.0	2.0	125.042399648731	0.0	0.0	2.0	0.0	Act
LRP1B	1	oncodrivefml		0.0017535968244852898	0.029710444416428	54.0	2.0	2.0	25.7460413667832	0.0	0.0	2.0	0.0	Act
WISP1	1	oncodrivefml		0.0006507494537960608		54.0	2.0	2.0	203.044917553423	0.0	0.0	2.0	0.0	Act
ZAN	1	oncodrivefml		0.0006507494537960608		54.0	2.0	2.0	54.985115826980106	0.0	0.0	2.0	0.0	Act
SELE	1	oncodrivefml		0.0007082750082610716		54.0	2.0	2.0	176.668033607052	0.0	0.0	2.0	0.0	Act
FAT1	1	oncodrivefml		0.0007904347826086973	0.014260000000000031	54.0	2.0	2.0	33.8433987787256	0.0	0.0	2.0	0.0	Act
UTRN	1	oncodrivefml		0.0015002714416709846		54.0	2.0	2.0	29.6497379209974	0.0	0.0	2.0	0.0	Act
