SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
GNAQ	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	2.677737942644411e-15	2.7669958740658912e-14	1.0	40.0	39.0	1467.3203672746201	298.04762192731204	298.04762192731204	39.0	1.0	Act
GNA11	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase	1.5617363220460108e-20	1.6137941994475445e-19	2.0	35.0	35.0	559.303280936453	0.0	0.0	35.0	0.0	Act
BAP1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase	dndscv,oncodrivefml,cbase	9.199615395159727e-16	9.506269241665052e-15	3.0	14.0	12.0	93.9233934133266	1413.49981003183	1413.49981003183	5.0	5.0	LoF
SF3B1	1	oncodriveclustl,dndscv,oncodrivefml,cbase	oncodriveclustl,dndscv,oncodrivefml,cbase	1.0555001529561928e-15	1.0906834913880659e-14	4.0	18.0	18.0	128.038616556909	0.0	0.0	18.0	0.0	Act
CYSLTR2	1	oncodriveclustl,dndscv,oncodrivefml,smregions	oncodriveclustl,dndscv,oncodrivefml	0.0006433038927400615	0.011079122597189949	5.0	3.0	3.0	165.394247510178	0.0	0.0	3.0	0.0	Act
EIF1AX	4	oncodriveclustl,dndscv,oncodrivefml,cbase	dndscv,cbase	0.20881348180976184	0.2874225981783681	6.0	10.0	10.0	672.828925701517	0.0	0.0	9.0	0.0	Act
PLCB4	3	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions	oncodriveclustl,hotmaps,smregions	3.1227446143872284e-07		7.0	3.0	2.0	47.144345601458504	0.0	0.0	3.0	0.0	Act
GMEB2	3	dndscv,oncodrivefml		1.0113222065554199e-06		8.0	2.0	2.0	19.1254213693494	370.522335591977	370.522335591977	1.0	1.0	LoF
PLCB2	3	dndscv,oncodrivefml		0.0008713845693882607		9.0	2.0	2.0	25.684972846266998	0.0	0.0	2.0	0.0	Act
MUC16	2	oncodrivefml,smregions	smregions	0.006115558723831535	0.12638821362585173	9.0	3.0	3.0	13.4378672294935	0.0	0.0	3.0	0.0	Act
EIF1B	3	dndscv,oncodrivefml		0.00465365963696335		11.0	2.0	2.0	102.09490106058901	0.0	0.0	1.0	0.0	Act
PRKCB	2	dndscv,oncodrivefml		0.0009084878602683256	0.017921987788929696	11.0	3.0	2.0	33.9694610347626	0.0	0.0	2.0	0.0	Act
COL14A1	3	dndscv,oncodrivefml,smregions		0.029798252315751374		11.0	3.0	3.0	25.535662496403198	0.0	0.0	3.0	0.0	Act
CFAP52	3	oncodrivefml		0.018820599592133704		14.0	2.0	2.0	57.879852883518296	0.0	0.0	2.0	0.0	Act
WISP1	3	oncodrivefml		0.0006433038927400615		14.0	2.0	2.0	53.495839651922395	0.0	0.0	2.0	0.0	Act
MAP3K19	3	oncodrivefml		0.0008713845693882607		14.0	2.0	2.0	46.9611534147726	0.0	0.0	2.0	0.0	Act
PPP2R1A	2	oncodrivefml		0.0008713845693882607	0.012652972605242766	14.0	2.0	2.0	29.8176642681845	0.0	0.0	2.0	0.0	Act
SELE	3	oncodrivefml		0.0008713845693882607		14.0	2.0	2.0	45.173934522195104	0.0	0.0	2.0	0.0	Act
KCNH5	3	oncodrivefml		0.0008713845693882607		14.0	2.0	2.0	29.501649054513198	0.0	0.0	2.0	0.0	Act
TPCN1	3	oncodrivefml		2.044730595961006e-05		14.0	2.0	2.0	11.123332131932301	112.11653061881	112.11653061881	1.0	1.0	LoF
LRP1B	2	oncodrivefml		0.0022385409238364264	0.04824727540553792	21.0	2.0	2.0	7.406105520576879	0.0	0.0	2.0	0.0	Act
