SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2545904951836107e-24	1.5169120282616833e-25	1.0	151.0	135.0	142.604565580064	0.0	0.0	151.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.6296525498258864e-10	5.597663673097943e-11	2.0	128.0	126.0	258.31988021075404	889.535338608459	889.535338608459	104.0	24.0	LoF
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	1.7117516160200524e-20	2.069660678687972e-21	3.0	13.0	13.0	18.486081182507398	0.0	0.0	12.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	6.431919929648573e-15	7.77676599938856e-16	4.0	21.0	21.0	4.72532163193674	135.306939415162	135.306939415162	7.0	12.0	LoF
ERBB2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.1295958660472644e-19	1.3657823511814475e-20	5.0	16.0	14.0	10.8101429611114	0.0	0.0	15.0	0.0	Act
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.602938319707394e-05	9.165436613320987e-06	6.0	22.0	18.0	4.62692993423769	35.5103319293502	35.5103319293502	11.0	9.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase	9.604857344198746e-10	1.1613130890984749e-10	7.0	12.0	12.0	19.6800174081303	83.5911914549044	83.5911914549044	8.0	4.0	LoF
MAP2K4	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.0022719794495474e-07	1.2118363936705566e-08	8.0	10.0	10.0	14.453656216196801	73.1850955873031	73.1850955873031	6.0	4.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	9.293594664797678e-09	1.1236786494829145e-09	9.0	10.0	9.0	2.02078020638203	26.1616468341338	26.1616468341338	3.0	6.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	1.1960793302991215e-09	1.4461668009212715e-10	10.0	13.0	13.0	1.17160439155075	15.997243128672302	15.997243128672302	4.0	7.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	1.209055612722456e-06	1.4618562860286774e-07	11.0	10.0	10.0	1.8038095965841	24.0610188416785	24.0610188416785	4.0	5.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	0.0013357824666871685	0.0003708703089604441	12.0	20.0	18.0	1.39776257512906	10.179445914636	10.179445914636	9.0	8.0	LoF
RUNX1	1	dndscv,smregions,cbase,mutpanning	dndscv,cbase	1.0022719794495474e-07	1.2118363936705566e-08	13.0	9.0	8.0	17.5306293995581	21.6486537140695	21.6486537140695	9.0	0.0	Act
FOXA1	1	dndscv,oncodrivefml,smregions,cbase	dndscv,smregions,cbase	1.0022719794495474e-07	1.2118363936705566e-08	14.0	9.0	9.0	17.900153912940198	0.0	0.0	9.0	0.0	Act
CDKN1B	1	dndscv,oncodrivefml,cbase	dndscv,cbase	1.2798756148616212e-07	1.5474839976196974e-08	15.0	3.0	2.0	0.0	169.161280505386	169.161280505386	0.0	3.0	LoF
ZFHX3	1	dndscv,cbase	cbase	0.00023705051235360961	4.676354144883512e-05	15.0	9.0	8.0	0.7684069252916701	13.167290022223	13.167290022223	3.0	4.0	LoF
CASP8	1	dndscv,cbase	cbase	0.0005479698446680443	0.00012962827426011902	15.0	7.0	7.0	9.39709698856475	30.6736295309364	30.6736295309364	5.0	2.0	LoF
CTCF	1	dndscv,smregions,cbase		0.00011300994665202137	2.0495868737381185e-05	18.0	12.0	12.0	5.390984342817791	25.892904734728894	25.892904734728894	7.0	3.0	LoF
MED23	1	dndscv,oncodrivefml,hotmaps,cbase	hotmaps	0.0008060298577977008		18.0	10.0	10.0	1.9995806570644	15.8128451726504	15.8128451726504	4.0	4.0	LoF
KRAS	1	dndscv,hotmaps,mutpanning	mutpanning	9.48750870958548e-07	1.1471245904586143e-07	20.0	4.0	4.0	19.5655472755123	0.0	0.0	4.0	0.0	Act
SMG1	1	oncodrivefml,cbase,mutpanning	cbase	1.5427240714828844e-05		21.0	10.0	9.0	1.74399516507967	9.28283638774271	9.28283638774271	6.0	3.0	LoF
TLR4	1	dndscv,cbase	cbase	0.00022392324715999278		22.0	8.0	7.0	9.503850560650038	15.7338784061377	15.7338784061377	7.0	1.0	LoF
RYR2	1	oncodriveclustl,hotmaps,smregions	hotmaps	0.001113835430023912		23.0	31.0	25.0	2.2537996995249703	0.0	0.0	24.0	0.0	Act
DST	1	cbase,mutpanning	cbase	0.000143212794513502		24.0	8.0	7.0	1.6749134068142095	5.9592698167416	5.9592698167416	6.0	2.0	LoF
SYTL5	1	dndscv,oncodrivefml	oncodrivefml	1.1813803760574236e-05		25.0	3.0	2.0	0.0	26.0381275291903	26.0381275291903	0.0	3.0	LoF
LIFR	1	dndscv,smregions		1.7883307132547366e-05	2.738852091171999e-06	25.0	6.0	6.0	1.44789970931434	22.009174894981605	22.009174894981605	2.0	3.0	LoF
PREX2	2	oncodriveclustl	oncodriveclustl	0.0002687958366213942	5.5249691973680164e-05	27.0	15.0	15.0	4.02905358634647	0.0	0.0	12.0	0.0	Act
HLF	2	oncodriveclustl,smregions		0.026989464068433763	0.015189026461785125	27.0	3.0	3.0	8.43977702908809	0.0	0.0	3.0	0.0	Act
ARHGAP9	4	oncodriveclustl,smregions		0.06912146630687785		27.0	3.0	3.0	3.5528769846592003	0.0	0.0	3.0	0.0	Act
NEDD8-MDP1	4	dndscv		0.13715761171373247		30.0	4.0	4.0	20.925601942125606	0.0	0.0	4.0	0.0	Act
SPRR2B	3	dndscv		5.4667750439419485e-05		30.0	2.0	2.0	0.0	296.98937148438	296.98937148438	0.0	2.0	LoF
TBL1XR1	2	dndscv		1.8201025968151722e-05	2.750833371903548e-06	30.0	3.0	2.0	2.12437754967939	49.410669830659714	49.410669830659714	1.0	2.0	LoF
HIST1H3B	2	dndscv	dndscv	0.002046118453547633	0.0005840235931636773	30.0	8.0	8.0	17.3552943420242	86.78739749047921	86.78739749047921	5.0	1.0	LoF
LINGO2	3	dndscv	dndscv	0.00010974073277069947		30.0	9.0	9.0	15.8868531167063	0.0	0.0	9.0	0.0	Act
ZP4	3	dndscv		0.003020092986113902		30.0	7.0	7.0	13.7262344312815	0.0	0.0	7.0	0.0	Act
CBFB	2	dndscv		0.015899600950695376	0.007249064501335744	30.0	6.0	6.0	15.0542818755772	25.9190700415275	25.9190700415275	5.0	0.0	Act
SMG5	3	oncodriveclustl		0.0204810219365558		39.0	3.0	3.0	2.23673852064217	9.48232781117335	9.48232781117335	2.0	1.0	LoF
RBBP4	4	oncodriveclustl		0.3512817402500008		39.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	ambiguous
RHOBTB3	3	oncodriveclustl		0.03025726086727322		39.0	3.0	3.0	3.1082231941809	12.6053321471048	12.6053321471048	2.0	1.0	LoF
ADAM12	4	oncodriveclustl		0.10802909148689263		39.0	5.0	5.0	3.71504084635107	0.0	0.0	4.0	0.0	Act
APBA2	3	oncodriveclustl		0.03177680255206845		39.0	4.0	4.0	6.344683469404	0.0	0.0	4.0	0.0	Act
CHURC1-FNTB	4	oncodriveclustl		0.06841738809111471		39.0	5.0	4.0	5.23001419975011	12.5336914760973	12.5336914760973	3.0	1.0	LoF
LGALS1	3	dndscv		0.02085134536140337		39.0	3.0	3.0	24.0796531294199	0.0	0.0	3.0	0.0	Act
OR9Q1	4	oncodriveclustl		0.15718461309494935		39.0	3.0	3.0	5.10929352255301	0.0	0.0	2.0	0.0	Act
TRA2B	4	dndscv		0.16145118282042176		39.0	4.0	4.0	9.46394261918259	19.2922254047472	19.2922254047472	4.0	0.0	Act
METTL17	4	oncodriveclustl		0.2409349600264223		39.0	3.0	3.0	2.92263436544587	0.0	0.0	2.0	0.0	Act
KDM4A	4	oncodriveclustl		0.2323279624148665		39.0	5.0	5.0	2.9979375898811003	0.0	0.0	4.0	0.0	Act
DGKB	4	oncodriveclustl		0.1724280559026314		39.0	3.0	3.0	1.8755473912628504	6.39752124474648	6.39752124474648	2.0	0.0	Act
TBX3	2	oncodriveclustl		0.07542211015916306	0.05609280097555115	39.0	3.0	3.0	3.9188755755850297	0.0	0.0	3.0	0.0	Act
TOGARAM2	4	oncodriveclustl		0.19355037258303792		39.0	3.0	3.0	3.5745593095619204	0.0	0.0	3.0	0.0	Act
ASPG	4	oncodriveclustl		0.1365116921444319		39.0	2.0	2.0	3.84550798537218	0.0	0.0	2.0	0.0	Act
NEDD9	3	dndscv		0.006423294411540696		39.0	9.0	9.0	6.9514610238494505	10.305462644309301	10.305462644309301	7.0	1.0	LoF
FCER1A	3	dndscv		0.020745499721635908		39.0	3.0	3.0	13.4339651169752	36.308716462923606	36.308716462923606	3.0	0.0	Act
FGFR2	2	dndscv		0.0016620400481485954	0.00047513511422769405	39.0	7.0	6.0	10.176218005125099	0.0	0.0	7.0	0.0	Act
LCMT2	3	dndscv		0.01888005620915453		39.0	7.0	5.0	9.80542778614671	0.0	0.0	7.0	0.0	Act
SPN	3	oncodriveclustl		0.01598548175078288		39.0	2.0	2.0	2.32278419775288	50.140730400516006	50.140730400516006	1.0	1.0	LoF
BMPR2	3	oncodriveclustl		0.01526589757135019		39.0	5.0	5.0	0.0	10.0612866149537	10.0612866149537	0.0	2.0	LoF
DAB1	3	oncodriveclustl		0.012044760713962956		39.0	4.0	4.0	5.322290524406902	15.2081234461642	15.2081234461642	3.0	1.0	LoF
ACPP	3	oncodriveclustl		0.008570399370316154		39.0	4.0	4.0	9.47435553247983	0.0	0.0	4.0	0.0	Act
FMN2	3	oncodriveclustl		0.007487170608660264		39.0	13.0	12.0	3.042849275666	3.96120486908966	3.96120486908966	9.0	1.0	LoF
HIST1H4J	3	dndscv		0.0010223574483921903		39.0	2.0	2.0	8.4934779945141	514.630515826373	514.630515826373	1.0	1.0	LoF
