SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.505619029503141e-22	2.878212289408313e-23	1.0	150.0	136.0	67.345621483114	0.0	0.0	147.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.1687227063057204e-12	3.6399215234347964e-13	2.0	126.0	124.0	110.16009317078002	341.110447336979	341.110447336979	100.0	23.0	LoF
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	1.0895288448189257e-16	1.2515451367099954e-17	3.0	12.0	12.0	15.610851547627199	0.0	0.0	11.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	4.741999051852922e-11	5.447148902805113e-12	4.0	20.0	20.0	8.675003646773611	218.824829924817	218.824829924817	8.0	12.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.9363980380362683e-12	3.373049462090961e-13	5.0	28.0	26.0	1.75716144363521	25.32065751075	25.32065751075	10.0	16.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase	2.4839503439884076e-11	2.853321403679289e-12	6.0	12.0	11.0	16.1054806110762	98.8558972432269	98.8558972432269	7.0	5.0	LoF
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,mutpanning	3.1687227063057204e-12	3.6399215234347964e-13	7.0	16.0	15.0	7.480567665282661	0.0	0.0	14.0	0.0	Act
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.142339049867848e-12	7.0557237676104e-13	8.0	18.0	18.0	3.4236195315459503	24.511254436848894	24.511254436848894	10.0	7.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.738836163291169e-07	5.443515682981479e-08	9.0	14.0	12.0	2.9135234639167704	32.5969485937179	32.5969485937179	6.0	7.0	LoF
NF1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	7.71081792404632e-07	8.857440276856818e-08	10.0	15.0	11.0	2.15657652976367	13.4115165205585	13.4115165205585	8.0	5.0	LoF
SF3B1	1	oncodriveclustl,mutpanning	oncodriveclustl,mutpanning	0.0001222690958085983	2.3852578901604582e-05	11.0	8.0	8.0	6.771513556367509	0.0	0.0	8.0	0.0	Act
