SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.031915623875352e-21	1.9007554970127601e-22	1.0	146.0	145.0	141.670148744598	482.344286703777	482.344286703777	100.0	27.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.28917734834383e-31	8.689561072381464e-32	2.0	156.0	144.0	61.405126482195705	0.0	0.0	151.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	4.8722784561693975e-24	4.557772945747546e-25	3.0	13.0	13.0	14.1310800604811	0.0	0.0	12.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.020823347488170225	0.014631159817140053	4.0	40.0	40.0	3.4397753934232496	150.188413914978	150.188413914978	4.0	9.0	LoF
MAP3K1	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	1.3105463966283232e-09	1.5762222564688588e-10	5.0	44.0	35.0	3.69356137798168	25.4558540745581	25.4558540745581	11.0	7.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.3571679922003197e-15	3.140462842349551e-16	5.0	48.0	45.0	1.30078540147866	15.529159933393199	15.529159933393199	12.0	16.0	LoF
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	smregions,mutpanning	2.5143086086580127e-13	2.352010020956656e-14	7.0	17.0	16.0	6.779845465458831	0.0	0.0	15.0	0.0	Act
PTEN	1	dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	1.9937115838722574e-11	2.1758537818390708e-12	8.0	22.0	20.0	14.6767422623456	61.917231011400794	61.917231011400794	8.0	4.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.265783041443752e-09	3.818720986206697e-10	8.0	14.0	14.0	2.53439145217582	28.3045427427776	28.3045427427776	6.0	6.0	LoF
HIST1H2AE	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	8.309055071269737e-13		10.0	9.0	9.0	30.4595421430962	0.0	0.0	8.0	0.0	Act
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.342091395289983e-09	8.394417156952003e-10	11.0	24.0	24.0	2.30897239370128	18.1236562714797	18.1236562714797	10.0	8.0	LoF
GATA3	1	oncodrivefml,cbase,mutpanning	mutpanning	2.600955011542025e-07	2.9196760796055586e-08	12.0	46.0	44.0	5.43984980932265	20.1312695538633	20.1312695538633	4.0	1.0	LoF
MAP2K4	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.623931425975213e-06	5.478911836585867e-07	13.0	15.0	15.0	10.9565939226317	70.4277091659755	70.4277091659755	6.0	5.0	LoF
NLRP2	1	dndscv,cbase,mutpanning	dndscv,cbase	1.604598209036727e-10		14.0	5.0	5.0	1.57821150713476	43.9167769344372	43.9167769344372	2.0	3.0	LoF
CDC42BPA	1	oncodriveclustl,hotmaps,smregions		4.1741252718841655e-05		15.0	8.0	8.0	2.54101468205236	3.58821774853362	3.58821774853362	5.0	1.0	LoF
BRCA1	1	dndscv,mutpanning		2.095571329002492e-06	2.450377784011376e-07	16.0	12.0	12.0	1.20146504744633	13.905209377653902	13.905209377653902	4.0	3.0	LoF
LIFR	1	oncodrivefml,mutpanning		2.731851289167653e-07	3.0201485650741836e-08	17.0	4.0	4.0	0.7322513875112121	16.8817451565772	16.8817451565772	1.0	3.0	LoF
FGFR2	1	oncodriveclustl,hotmaps	hotmaps	4.1470567666573275e-05	5.921134994556861e-06	18.0	9.0	8.0	6.368591375469871	0.0	0.0	8.0	0.0	Act
DST	1	hotmaps,cbase	cbase	6.227417586842943e-06		19.0	15.0	12.0	1.95330717530749	5.172019247385808	5.172019247385808	11.0	3.0	LoF
FES	1	hotmaps,smregions		0.0007364152771308584	0.00020136482972956304	20.0	5.0	5.0	4.96676440810713	0.0	0.0	5.0	0.0	Act
EP300	1	oncodriveclustl,cbase	cbase	4.618779282199902e-05	6.9130194242110305e-06	21.0	9.0	9.0	1.95194564088744	10.0065878007364	10.0065878007364	5.0	3.0	LoF
