SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1019113040772072e-24	1.5688154149501773e-25	1.0	127.0	127.0	174.727205495433	473.680867754279	473.680867754279	104.0	21.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1019113040772072e-24	1.5688154149501773e-25	2.0	160.0	142.0	113.492807532252	0.0	0.0	158.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	6.120696570889165e-27	8.71417063706864e-28	3.0	8.0	8.0	18.4733348850762	0.0	0.0	8.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1781735473451627e-10	1.6773916518712082e-11	4.0	20.0	19.0	3.23033447097815	115.19541934188	115.19541934188	5.0	12.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.239564121837335e-17	6.035960900299561e-18	5.0	18.0	15.0	2.99792238774819	48.66911210243421	48.66911210243421	6.0	10.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.1186498461966365e-09	4.440090535819093e-10	6.0	17.0	17.0	2.10754510385805	17.614550611744303	17.614550611744303	8.0	8.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,hotmaps,cbase,mutpanning	1.588365791781549e-19	2.2613913928519256e-20	7.0	10.0	10.0	21.0588245012349	128.54307759225202	128.54307759225202	7.0	3.0	LoF
GATA3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	3.7435608307570526e-10	5.329790080530708e-11	8.0	7.0	7.0	17.024692514884	88.6607408215909	88.6607408215909	6.0	1.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	3.548124968131352e-11	5.0515437345799816e-12	9.0	12.0	11.0	2.81700212876558	22.219385901813197	22.219385901813197	7.0	4.0	LoF
MAP2K4	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2288033264698222e-14	1.749474384530717e-15	10.0	6.0	6.0	11.500898283246	112.71166468304399	112.71166468304399	4.0	2.0	LoF
ERBB2	1	oncodriveclustl,dndscv,smregions,cbase,mutpanning	cbase	1.0180506144142194e-10	1.4494211023908516e-11	11.0	10.0	10.0	10.6675221227906	0.0	0.0	10.0	0.0	Act
CASP8	1	dndscv,cbase	dndscv,cbase	9.331819046182024e-10	1.328591649346602e-10	12.0	8.0	8.0	10.7789115061546	53.145308700274	53.145308700274	5.0	3.0	LoF
FOXA1	1	dndscv,oncodrivefml,smregions,cbase	smregions	2.162789024049304e-09	3.079210411635691e-10	13.0	7.0	6.0	13.9707847568353	0.0	0.0	7.0	0.0	Act
FAT1	1	cbase,mutpanning	cbase	7.68435543042527e-05	1.5498880486585578e-05	14.0	12.0	12.0	4.23191903072329	5.208353250679831	5.208353250679831	11.0	1.0	LoF
CDKN1B	1	dndscv,oncodrivefml	dndscv	1.9527226442898904e-05	3.3979418927861224e-06	15.0	2.0	2.0	0.0	190.97524904958698	190.97524904958698	0.0	2.0	LoF
