SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.1119756541547484e-25	2.0480423936255273e-26	1.0	274.0	242.0	86.00948236249229	0.0	0.0	263.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.820263319947357e-24	1.1979452480087923e-25	1.0	234.0	228.0	98.32266118536741	274.62686894178	274.62686894178	159.0	32.0	LoF
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.0540668829555634e-24	1.3518152206681898e-25	3.0	19.0	19.0	19.1063757035486	0.0	0.0	19.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	9.207571645213223e-06	7.485455477509324e-07	4.0	85.0	82.0	3.5257050085783304	123.376245722388	123.376245722388	11.0	24.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.037554828192994e-23	1.3409483656802795e-24	5.0	85.0	60.0	3.43062447869028	22.9458477244171	22.9458477244171	24.0	15.0	LoF
KMT2C	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5107103655387632e-23	9.942233542162057e-25	5.0	65.0	60.0	1.71108318675695	14.2756993628022	14.2756993628022	21.0	20.0	LoF
FOXA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	6.216956402789359e-23	4.0914813248089484e-24	7.0	24.0	20.0	18.1376935410928	0.0	0.0	18.0	0.0	Act
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	1.3699225288622609e-18	9.015685618705948e-20	8.0	24.0	21.0	5.95542264603567	0.0	0.0	19.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.3287053289186363e-19	1.532559301844038e-20	9.0	33.0	29.0	19.703289204510103	93.05978878885892	93.05978878885892	16.0	7.0	LoF
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.545888786921658e-14	5.6241900554258796e-15	10.0	27.0	25.0	12.937215005579601	64.0965859680025	64.0965859680025	14.0	6.0	LoF
GATA3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2072377716722095e-15	7.945030457644293e-17	10.0	83.0	75.0	7.994118814934912	43.6886627602515	43.6886627602515	11.0	3.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.849472116295248e-15	3.1915174103684333e-16	10.0	27.0	26.0	1.71545273279528	27.1829616770268	27.1829616770268	7.0	10.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.181627804949523e-08	7.776487051858403e-10	13.0	16.0	15.0	1.9975694069136	20.6065146336556	20.6065146336556	5.0	8.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.36401796950754e-08	1.5557991317766342e-09	14.0	40.0	39.0	2.36021197591815	13.4338958799209	13.4338958799209	18.0	11.0	LoF
RUNX1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.1483014162602117e-11	2.0719489755017118e-12	15.0	31.0	29.0	10.0348203731377	26.3480430957908	26.3480430957908	13.0	2.0	LoF
KRAS	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	8.779106241853394e-06	7.222092875892781e-07	16.0	5.0	5.0	12.6328980560373	0.0	0.0	5.0	0.0	Act
TBX3	1	oncodrivefml,smregions,mutpanning	oncodrivefml,smregions,mutpanning	1.5882659256226032e-09	1.0452639446851621e-10	17.0	26.0	22.0	7.33428648442877	12.4302620835395	12.4302620835395	10.0	0.0	Act
GOLGA6L6	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	0.03541893496836401		18.0	38.0	37.0	4.22828760598897	0.0	0.0	28.0	0.0	Act
HIST1H2AE	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	7.411212442939589e-05		18.0	8.0	8.0	16.5239490847847	0.0	0.0	7.0	0.0	Act
