SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.4756046667857226e-21	7.208596607990977e-22	1.0	158.0	145.0	72.15477879198241	0.0	0.0	153.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.1276018047397968e-14	1.2552382307251758e-15	2.0	155.0	152.0	150.37524280466602	471.872624443039	471.872624443039	107.0	25.0	LoF
AKT1	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	6.86461321953259e-16	7.641638135092486e-17	3.0	13.0	13.0	16.564675451603502	0.0	0.0	12.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.01913205618634248	0.01355994311476726	4.0	45.0	44.0	6.30316740164722	161.712932447278	161.712932447278	8.0	12.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,smregions,cbase,mutpanning	2.876704704350223e-10	3.202327016708367e-11	5.0	27.0	23.0	22.636553434316202	96.6840495959877	96.6840495959877	10.0	5.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.906650400500108e-09	7.688433623039152e-10	6.0	38.0	34.0	1.75223859680758	19.432230862199198	19.432230862199198	10.0	13.0	LoF
MAP3K1	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	8.030539107766308e-08	9.715246506554e-09	7.0	45.0	34.0	3.90507931952632	33.8629588389806	33.8629588389806	8.0	6.0	LoF
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	smregions,mutpanning	2.7575569972800177e-11	3.069692644903439e-12	8.0	16.0	15.0	7.34083712797888	0.0	0.0	14.0	0.0	Act
MAP2K4	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	5.2273094200231526e-06	7.758671072550628e-07	9.0	15.0	15.0	13.3472942522922	88.17010003638072	88.17010003638072	6.0	5.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.2201543459646157e-07	5.4808197607882906e-08	9.0	21.0	21.0	3.3931912450791204	21.7060132914775	21.7060132914775	10.0	6.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.372435341121834e-09	7.093749255612595e-10	9.0	12.0	12.0	2.6602982540570297	36.8499287236236	36.8499287236236	5.0	6.0	LoF
GATA3	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.3224173245435502e-09	1.4721054682272464e-10	12.0	46.0	43.0	10.0149046203906	26.2260257306575	26.2260257306575	6.0	1.0	LoF
NLRP2	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	8.030539107766308e-08		13.0	5.0	5.0	1.91328461465328	44.1207351716984	44.1207351716984	2.0	3.0	LoF
RB1	1	dndscv,cbase,mutpanning		3.746281267916152e-06	5.659738188520143e-07	14.0	10.0	9.0	1.40411977706252	18.0647703056009	18.0647703056009	2.0	4.0	LoF
FOXA1	1	dndscv,oncodrivefml,hotmaps,smregions	smregions	2.0507766061836914e-07	2.5112007685087728e-08	15.0	10.0	9.0	11.808441898566501	0.0	0.0	7.0	0.0	Act
GOLGA6L6	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,dndscv,mutpanning	7.11700075621876e-07		16.0	24.0	23.0	11.388195953819801	0.0	0.0	20.0	0.0	Act
FGFR2	1	oncodriveclustl,hotmaps	hotmaps	3.3415916933869155e-07	4.3961696694348624e-08	17.0	6.0	5.0	7.706293210769	0.0	0.0	6.0	0.0	Act
NBPF15	1	oncodriveclustl,hotmaps	oncodriveclustl,hotmaps	0.01689088607892746		17.0	6.0	6.0	3.3386847220382405	0.0	0.0	4.0	0.0	Act
CDC42BPA	1	oncodriveclustl,hotmaps,smregions		1.941751862631167e-05		17.0	7.0	7.0	3.2158765067358	4.605023789695888	4.605023789695888	5.0	1.0	LoF
DHX30	1	dndscv,oncodrivefml,cbase	oncodrivefml,cbase	2.6116270380532205e-05		20.0	3.0	3.0	0.0	28.959922194157706	28.959922194157706	0.0	3.0	LoF
EP300	1	oncodriveclustl,cbase		0.00010774527556676389	2.4814745404228e-05	20.0	10.0	10.0	1.82270068540372	9.310253277449881	9.310253277449881	5.0	3.0	LoF
ADAMTS6	1	hotmaps,smregions		0.020806194291245514		22.0	4.0	3.0	1.93149224674806	0.0	0.0	3.0	0.0	Act
NCOA6	1	oncodrivefml,cbase	cbase	0.00032502530074420493		23.0	8.0	8.0	2.71738396714988	15.3115235439416	15.3115235439416	5.0	3.0	LoF
RAI1	1	dndscv,cbase	cbase	4.203253328133839e-05		23.0	5.0	3.0	0.458151881562465	22.8551465555684	22.8551465555684	1.0	3.0	LoF
PCDHB7	1	oncodrivefml,cbase		0.00018591154536925407		23.0	6.0	5.0	6.0411245045682405	23.520851298118306	23.520851298118306	5.0	1.0	LoF
TLR4	1	dndscv,cbase	cbase	5.177125025927435e-05		23.0	9.0	7.0	9.04355743603539	31.069901841017	31.069901841017	7.0	2.0	LoF
IGSF1	1	oncodrivefml,cbase	cbase	2.321317798753611e-06		23.0	7.0	7.0	3.26814238677781	19.626741575853	19.626741575853	4.0	3.0	LoF
MYH14	1	cbase		0.010203980157385276		28.0	7.0	7.0	2.97312630395949	4.8877929072353	4.8877929072353	6.0	1.0	LoF
ACVR1B	1	cbase		1.941751862631167e-05		28.0	6.0	5.0	4.06566327953557	27.1846686467344	27.1846686467344	3.0	2.0	LoF
GRIK2	1	cbase	cbase	2.22979470267423e-05		28.0	8.0	8.0	6.59962863331068	19.4008310664169	19.4008310664169	6.0	2.0	LoF
THADA	1	cbase	cbase	4.761874974824433e-05		28.0	8.0	8.0	3.5665450284075	9.928528537365553	9.928528537365553	6.0	2.0	LoF
PCDH15	1	cbase		6.344901411902504e-05		28.0	6.0	6.0	2.28975256365942	10.422191464101699	10.422191464101699	4.0	2.0	LoF
TRAPPC10	1	cbase	cbase	0.002454986700781687		28.0	8.0	8.0	6.11456564199027	8.195640030249459	8.195640030249459	7.0	1.0	LoF
ANK2	1	cbase		0.00013823765772837945		28.0	11.0	11.0	2.08427673012324	5.13798359522183	5.13798359522183	8.0	2.0	LoF
MAP1A	1	cbase	cbase	0.0001466451852234512		28.0	15.0	14.0	4.66976603204007	5.46698135390341	5.46698135390341	12.0	1.0	LoF
SCN10A	1	cbase	cbase	0.00018441089232397237		28.0	11.0	10.0	6.040895715773691	7.00030377429104	7.00030377429104	10.0	1.0	LoF
DST	1	cbase	cbase	0.00018441089232397237		28.0	8.0	6.0	1.62370098009278	5.9851958781058014	5.9851958781058014	6.0	2.0	LoF
NIPBL	1	cbase	cbase	7.585151004151242e-06		28.0	8.0	8.0	0.814763285097816	12.317617053349199	12.317617053349199	2.0	4.0	LoF
BSN	1	cbase		0.0006489708549067452		28.0	9.0	9.0	1.56447643349008	7.9321190275964115	7.9321190275964115	6.0	2.0	LoF
PIWIL1	1	cbase	cbase	0.001073208880009293		28.0	7.0	7.0	5.808281975536491	18.2453436311438	18.2453436311438	5.0	2.0	LoF
MED23	1	oncodrivefml,cbase	oncodrivefml	0.0005870007789697835		28.0	4.0	4.0	0.7696486901157321	18.577269668984002	18.577269668984002	1.0	3.0	LoF
CAD	1	cbase	cbase	0.003310665023539724		28.0	8.0	8.0	3.5854631747982504	5.21768808083477	5.21768808083477	7.0	1.0	LoF
PDZD2	1	cbase	cbase	0.0003481875350553956		28.0	12.0	12.0	5.0678261311761	0.0	0.0	12.0	0.0	Act
TLN1	1	cbase	cbase	2.2169532869739333e-07		28.0	11.0	10.0	3.8083188076890098	8.42292340594917	8.42292340594917	8.0	2.0	LoF
MUC17	1	cbase		0.0013458705487572368		28.0	23.0	23.0	2.99297775510724	5.009416431145639	5.009416431145639	18.0	2.0	LoF
DNAH9	1	cbase	cbase	0.00044232903528491213		28.0	17.0	15.0	2.75771557877392	6.60744895133275	6.60744895133275	13.0	2.0	LoF
ANK1	1	cbase	cbase	0.00018441089232397237	4.88515368541409e-05	28.0	9.0	9.0	3.218786789044509	4.492131165169232	4.492131165169232	7.0	1.0	LoF
