SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	1.0363271577906598e-06	1.56812662034113e-06	1.0	9.0	9.0	77.0183074538941	0.0	0.0	9.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	8.31723186405082e-07	1.3424304061275007e-06	2.0	5.0	5.0	20.5800222128918	387.156675418569	387.156675418569	2.0	2.0	LoF
MEN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3673825301601616e-08	1.6552525365096694e-08	3.0	3.0	3.0	0.0	427.012748640059	427.012748640059	0.0	3.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	0.00010304573182814466	0.0003898111565867314	4.0	4.0	4.0	2.94474875984219	56.9730659164326	56.9730659164326	1.0	3.0	LoF
ZNRF3	1	dndscv,oncodrivefml,mutpanning		2.024743667446326e-06	3.760994000846794e-06	5.0	2.0	2.0	5.22236065183695	171.444488889636	171.444488889636	1.0	1.0	LoF
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv	5.950956277639786e-08	7.20378917819553e-08	5.0	2.0	2.0	0.0	303.953257530316	303.953257530316	0.0	2.0	LoF
ZEB2	1	dndscv,oncodrivefml,mutpanning		2.024743667446326e-06		7.0	2.0	2.0	0.0	105.695842166267	105.695842166267	0.0	2.0	LoF
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		3.846986330351403e-06		7.0	2.0	2.0	0.0	62.56555116420879	62.56555116420879	0.0	2.0	LoF
GNAS	1	oncodriveclustl,oncodrivefml		0.000542260243284504	0.002500758368920859	9.0	4.0	3.0	7.92168598778612	53.8223482021968	53.8223482021968	2.0	1.0	LoF
STAB1	1	oncodriveclustl,mutpanning		0.02483806964126076		10.0	6.0	4.0	5.51692132692382	0.0	0.0	4.0	0.0	Act
RMDN1	1	dndscv,oncodrivefml		1.3615110613419978e-06		11.0	2.0	2.0	0.0	269.572811225927	269.572811225927	0.0	2.0	LoF
LRRD1	1	dndscv,oncodrivefml		7.140039308198912e-05		11.0	2.0	2.0	0.0	164.690242074558	164.690242074558	0.0	2.0	LoF
PLEC	1	oncodrivefml,cbase	cbase	0.00019113774021606392		11.0	2.0	2.0	0.0	31.520834133869	31.520834133869	0.0	2.0	LoF
OR5B12	1	dndscv,oncodrivefml		0.00835722106207586		11.0	2.0	2.0	20.5685331368191	334.052006155629	334.052006155629	1.0	1.0	LoF
DNAH10	1	oncodrivefml		0.0008150217939211727		15.0	3.0	2.0	0.0	24.1747825809714	24.1747825809714	0.0	2.0	LoF
IRX4	1	oncodrivefml		3.464544781527547e-05		15.0	2.0	2.0	8.32084272824901	175.891648075162	175.891648075162	1.0	1.0	LoF
SLC10A5	1	dndscv,oncodrivefml		8.588194355101893e-05		15.0	2.0	2.0	15.806341436131401	227.064302847788	227.064302847788	1.0	1.0	LoF
C1orf87	1	dndscv,oncodrivefml		5.737650025495432e-06		15.0	3.0	2.0	24.872723834358602	101.46941504876	101.46941504876	2.0	1.0	LoF
PCDHA11	1	oncodrivefml		0.005292251767224213		15.0	2.0	2.0	5.092150015307969	78.2008059004242	78.2008059004242	1.0	1.0	LoF
NLGN4X	1	oncodrivefml		8.588194355101893e-05		15.0	2.0	2.0	8.841341487801811	133.489184989313	133.489184989313	1.0	1.0	LoF
DAXX	1	oncodrivefml		0.00029216924784177103	0.0012575237801844647	15.0	2.0	2.0	8.57211493836586	87.73706146984242	87.73706146984242	1.0	1.0	LoF
UNC13C	1	oncodrivefml		0.00114382757267524		15.0	2.0	2.0	3.4645026112349098	24.9525198305119	24.9525198305119	1.0	1.0	LoF
EXD2	1	oncodrivefml		0.0004730619965824538		15.0	2.0	2.0	9.87013295623309	96.061803633963	96.061803633963	1.0	1.0	LoF
CYFIP2	1	oncodrivefml		0.003070407895799221		15.0	3.0	3.0	10.2490277145241	44.7084250431452	44.7084250431452	2.0	1.0	LoF
RB1	1	oncodrivefml		1.9041279920833565e-05	4.994160259937929e-05	15.0	2.0	2.0	0.0	51.37024908254229	51.37024908254229	0.0	2.0	LoF
ABCC11	1	oncodrivefml		0.00031859394163795776		15.0	2.0	2.0	4.94514363196678	45.9343004816677	45.9343004816677	1.0	1.0	LoF
SMARCAL1	1	oncodrivefml		0.0002924592733863784		15.0	2.0	2.0	6.875372056893518	69.0374733354287	69.0374733354287	1.0	1.0	LoF
MED23	1	oncodrivefml		0.006010958106835821		28.0	3.0	3.0	11.288734753817899	42.8482891231898	42.8482891231898	2.0	1.0	LoF
HKDC1	1	oncodrivefml		0.0025850847883802466		29.0	2.0	2.0	13.3649785119424	0.0	0.0	2.0	0.0	Act
POT1	1	oncodrivefml		0.0003637861467182758	0.0017614908156884934	29.0	2.0	2.0	9.839446711992213	70.00737569813211	70.00737569813211	1.0	1.0	LoF
ARID3A	1	oncodrivefml		0.00012579482242025997		29.0	2.0	2.0	8.80928641687652	114.15234073137199	114.15234073137199	1.0	1.0	LoF
DDX18	1	oncodrivefml		0.00032929653370233084		29.0	2.0	2.0	10.258970520922	76.1236294581667	76.1236294581667	1.0	1.0	LoF
ZC3H13	1	oncodrivefml		0.0028246395357438363		29.0	2.0	2.0	3.28966316857984	18.4437012386967	18.4437012386967	1.0	1.0	LoF
DCLK1	1	oncodrivefml		0.00029216924784177103		29.0	2.0	2.0	8.66627654945008	68.374329840008	68.374329840008	1.0	1.0	LoF
SNW1	1	oncodrivefml		0.0003814226776918751		29.0	2.0	2.0	11.593156272384	86.56294041099831	86.56294041099831	1.0	1.0	LoF
SETBP1	1	oncodrivefml		0.00041194880058128993	0.0018284745008257254	29.0	3.0	2.0	10.5168549782085	0.0	0.0	3.0	0.0	Act
ADGRV1	1	oncodrivefml		0.020382761026362883		29.0	2.0	2.0	1.08880408507915	9.352997073985241	9.352997073985241	1.0	1.0	LoF
DNAH1	1	oncodrivefml		0.025590960080768315		29.0	2.0	2.0	2.45509961842984	0.0	0.0	2.0	0.0	Act
SCAF4	1	oncodrivefml		0.000731799059734478		29.0	2.0	2.0	5.761993835709991	49.670508859586704	49.670508859586704	1.0	1.0	LoF
NSD1	1	oncodrivefml		0.0023117387356541732	0.013852181844959349	29.0	2.0	2.0	2.36624477221384	21.0537421118966	21.0537421118966	1.0	1.0	LoF
NOTCH3	1	oncodrivefml,smregions		0.0008277770466056407		29.0	3.0	3.0	7.3568183708358585	0.0	0.0	3.0	0.0	Act
IL20RB	1	oncodriveclustl,dndscv		0.010063473384768916		42.0	3.0	2.0	72.5335758709659	0.0	0.0	3.0	0.0	Act
NF1	1	oncodrivefml		0.00010304573182814466	0.0003898111565867314	44.0	3.0	3.0	0.0	33.504608590292804	33.504608590292804	0.0	2.0	LoF
EYS	1	smregions,cbase,mutpanning	cbase	7.408094092513396e-05		45.0	3.0	3.0	2.38904171156125	38.831549059143	38.831549059143	1.0	2.0	LoF
KIR3DL2	3	oncodriveclustl		0.009065124726507374		46.0	2.0	2.0	26.9174622527425	0.0	0.0	2.0	0.0	Act
ZNF804B	4	oncodriveclustl		0.3338012314089237		46.0	2.0	2.0	11.6230187502649	0.0	0.0	2.0	0.0	Act
GLB1L2	3	oncodriveclustl		0.01816664780558021		46.0	2.0	2.0	14.6424188034499	0.0	0.0	2.0	0.0	Act
ANKRD30B	4	oncodriveclustl		0.33312679506174137		46.0	4.0	4.0	5.61477553234213	0.0	0.0	2.0	0.0	Act
POLE	2	oncodriveclustl		0.014031980634044195	0.09837772387508617	46.0	2.0	2.0	4.597271588305	0.0	0.0	2.0	0.0	Act
MAP3K14	4	oncodriveclustl		0.10308206391762123		46.0	2.0	2.0	11.3849308252001	0.0	0.0	2.0	0.0	Act
UGT2A3	4	oncodriveclustl		0.2952661967319756		46.0	3.0	2.0	20.8653594791266	0.0	0.0	2.0	0.0	Act
CRIM1	3	dndscv,mutpanning		7.408094092513396e-05		69.0	4.0	4.0	22.773655498742198	0.0	0.0	4.0	0.0	Act
CDH4	3	dndscv,mutpanning		0.0019828752136246946		69.0	5.0	4.0	15.665871668871	0.0	0.0	4.0	0.0	Act
HIVEP1	3	dndscv,mutpanning		2.6460439969108482e-05		69.0	5.0	4.0	13.492084634154999	0.0	0.0	5.0	0.0	Act
ITIH1	3	dndscv,mutpanning		2.135355264086877e-06		69.0	4.0	4.0	28.4223396402222	0.0	0.0	4.0	0.0	Act
NOS3	3	dndscv,mutpanning		0.00010134335014819616		69.0	4.0	4.0	19.4809008231556	0.0	0.0	4.0	0.0	Act
PKHD1	3	cbase,mutpanning	cbase,mutpanning	2.024743667446326e-06		69.0	8.0	8.0	6.567904218393822	9.69727005815601	9.69727005815601	6.0	1.0	LoF
LRP1	3	smregions,mutpanning		0.000542260243284504		69.0	7.0	6.0	4.24870447557778	0.0	0.0	5.0	0.0	Act
LAMA1	3	smregions,mutpanning		0.00031859394163795776		76.0	4.0	4.0	8.9984650062537	0.0	0.0	4.0	0.0	Act
FBN2	3	mutpanning		0.00029216924784177103		76.0	4.0	4.0	9.494126697883653	0.0	0.0	4.0	0.0	Act
ASXL3	3	mutpanning		9.727995273481011e-05		78.0	4.0	4.0	12.859724314675699	0.0	0.0	4.0	0.0	Act
TMEM132D	3	mutpanning		0.0005546989346378699		78.0	3.0	3.0	9.158007735994769	62.5724993753578	62.5724993753578	2.0	1.0	LoF
GOLGA4	3	smregions,mutpanning		0.00032996414188783663		80.0	3.0	3.0	12.4972195848615	24.4489486909301	24.4489486909301	3.0	0.0	Act
KIF5A	3	dndscv,mutpanning		0.0010280897896004163		81.0	4.0	4.0	23.9720801114578	0.0	0.0	4.0	0.0	Act
PCDH15	3	mutpanning		0.0030421450835097547		82.0	5.0	5.0	10.048971847153199	0.0	0.0	4.0	0.0	Act
MUC16	2	dndscv,cbase	cbase	0.0034784331611735853	0.022256741504952784	99.0	14.0	12.0	7.534811531529042	0.0	0.0	14.0	0.0	Act
TTN	3	smregions,cbase	cbase	0.0002924592733863784		100.0	11.0	11.0	2.12657225909092	4.66496394097927	4.66496394097927	8.0	2.0	LoF
CNTNAP5	3	dndscv,cbase	dndscv,cbase	1.7277718237477135e-07		101.0	8.0	6.0	23.667319862354002	0.0	0.0	7.0	0.0	Act
FBN3	3	smregions		0.004450505460251518		102.0	4.0	4.0	4.81022649582823	0.0	0.0	3.0	0.0	Act
SMC3	3	dndscv		0.0010280897896004163		102.0	4.0	4.0	26.8978621249862	0.0	0.0	4.0	0.0	Act
A2ML1	3	cbase		0.0007383510928727692		102.0	2.0	2.0	4.90793808703934	38.9193472894766	38.9193472894766	1.0	1.0	LoF
CSMD1	3	smregions		0.007157622941313514		102.0	5.0	4.0	2.5586950662920698	11.304845271898198	11.304845271898198	2.0	1.0	LoF
ANK2	3	smregions		0.007948642990360402		102.0	4.0	4.0	4.2378065484258105	0.0	0.0	3.0	0.0	Act
DST	4	smregions		0.05839995562920925		102.0	4.0	4.0	2.10316936035021	0.0	0.0	3.0	0.0	Act
OBSCN	3	smregions		0.03873267276518208		102.0	6.0	6.0	1.13747580242727	0.0	0.0	3.0	0.0	Act
HAVCR1	3	dndscv		0.026404551123359158		138.0	3.0	3.0	44.4961877083923	0.0	0.0	3.0	0.0	Act
NLN	3	dndscv		0.026404551123359158		139.0	3.0	3.0	42.6405148364998	0.0	0.0	3.0	0.0	Act
MAP1LC3B2	3	dndscv		0.000542260243284504		140.0	2.0	2.0	107.91934808174801	0.0	0.0	2.0	0.0	Act
ENTPD4	3	dndscv		0.00014798760877140566		141.0	3.0	3.0	29.426346557244898	0.0	0.0	3.0	0.0	Act
VPS35	3	dndscv		0.0036865512735854452		141.0	3.0	3.0	20.6910512890453	70.4054985075786	70.4054985075786	2.0	1.0	LoF
FSTL5	3	dndscv		0.0003632826838337832		141.0	3.0	3.0	25.0563718067942	0.0	0.0	3.0	0.0	Act
NFE2	3	dndscv		0.00252443489359124		141.0	2.0	2.0	32.7433593665363	0.0	0.0	2.0	0.0	Act
PRDM9	3	dndscv		0.00582477429460336		141.0	2.0	2.0	15.6406047798055	0.0	0.0	2.0	0.0	Act
CST9	3	dndscv		0.0015277578314441724		141.0	2.0	2.0	67.2964863715304	0.0	0.0	2.0	0.0	Act
PIN4	3	dndscv		0.0014059375610067622		141.0	2.0	2.0	71.50322289405729	0.0	0.0	2.0	0.0	Act
C12orf65	3	dndscv		0.000542260243284504		141.0	2.0	2.0	96.527612059668	0.0	0.0	2.0	0.0	Act
PARP12	3	dndscv		0.00114382757267524		141.0	3.0	3.0	24.528108349095202	0.0	0.0	3.0	0.0	Act
ACSL1	3	dndscv		0.000618222158441614		141.0	3.0	3.0	35.375782467083795	0.0	0.0	3.0	0.0	Act
ENPEP	3	dndscv		0.03692741514053618		141.0	3.0	3.0	21.2314472942315	0.0	0.0	3.0	0.0	Act
GRM3	2	smregions		0.00040293325953669456	0.0018284745008257254	154.0	3.0	3.0	23.829922029906	0.0	0.0	3.0	0.0	Act
