SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	3.332049098439048e-15	5.087261257359831e-15	1.0	9.0	9.0	92.2135201016417	0.0	0.0	9.0	0.0	Act
MUC16	1	dndscv,cbase,mutpanning	cbase,mutpanning	3.4222787093225525e-09	6.2700249757952375e-09	2.0	13.0	11.0	7.0567491964728	0.0	0.0	13.0	0.0	Act
TP53	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	9.804362953273636e-17	1.4968973845147967e-16	3.0	5.0	5.0	23.183142543607502	444.811509431478	444.811509431478	2.0	2.0	LoF
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	6.915118389117497e-10	1.224623613833797e-09	4.0	4.0	4.0	3.66446953003782	72.8387706695795	72.8387706695795	1.0	3.0	LoF
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	7.437545697785123e-12	1.1355396322314331e-11	5.0	2.0	2.0	0.0	360.039487635459	360.039487635459	0.0	2.0	LoF
SMARCAL1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	6.915118389117497e-10		7.0	3.0	3.0	8.00678419016932	167.013686802078	167.013686802078	1.0	2.0	LoF
RMDN1	1	dndscv,oncodrivefml,mutpanning		7.109289334326994e-09		8.0	2.0	2.0	0.0	323.235215968582	323.235215968582	0.0	2.0	LoF
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		1.1007354636948476e-07		10.0	2.0	2.0	0.0	70.8330397320335	70.8330397320335	0.0	2.0	LoF
EYS	1	oncodrivefml,smregions,cbase,mutpanning		2.8671124124376264e-07		11.0	3.0	3.0	2.7485702244525	45.9799724853904	45.9799724853904	1.0	2.0	LoF
RB1	1	dndscv,oncodrivefml,mutpanning		5.83782417232865e-07	1.225536803628844e-06	12.0	2.0	2.0	0.0	61.9299210179611	61.9299210179611	0.0	2.0	LoF
IRX4	1	dndscv,oncodrivefml,mutpanning		2.6482506085675215e-06		12.0	2.0	2.0	10.275401331878399	224.25470474904702	224.25470474904702	1.0	1.0	LoF
PCDHA11	1	oncodrivefml,smregions,mutpanning		0.0007735766835073943		14.0	2.0	2.0	5.418079624634791	85.20911227112909	85.20911227112909	1.0	1.0	LoF
SETBP1	1	dndscv,oncodrivefml,mutpanning		8.936948789106455e-06	2.7289269750033843e-05	16.0	4.0	3.0	15.684515183518501	0.0	0.0	4.0	0.0	Act
C1orf87	1	dndscv,oncodrivefml,mutpanning		1.0173155692880696e-06		16.0	3.0	2.0	28.508033342095494	120.377824466277	120.377824466277	2.0	1.0	LoF
MPDZ	1	oncodrivefml,smregions,mutpanning		3.712847285949617e-05		18.0	3.0	3.0	8.05008942346141	27.957301661199693	27.957301661199693	2.0	1.0	LoF
DSC2	1	dndscv,mutpanning		1.0826647233848464e-05		20.0	3.0	3.0	18.7038117582676	81.35649165878809	81.35649165878809	2.0	1.0	LoF
HIVEP1	1	dndscv,mutpanning		3.63155917776081e-05		20.0	5.0	4.0	15.283423740315401	0.0	0.0	5.0	0.0	Act
ASXL3	1	dndscv,mutpanning		3.63155917776081e-05		20.0	4.0	4.0	15.032677953680697	0.0	0.0	4.0	0.0	Act
DACT1	1	dndscv,mutpanning		0.0001416048014230093		20.0	3.0	3.0	24.4789241094597	0.0	0.0	3.0	0.0	Act
ZFPM2	1	dndscv,mutpanning		1.1440372561922965e-05		20.0	3.0	3.0	15.8498868629777	73.6766362391187	73.6766362391187	2.0	1.0	LoF
GNAS	1	oncodriveclustl,oncodrivefml		0.00020196662440291716	0.0011750802074349483	25.0	4.0	3.0	9.62643258356049	67.2940483719415	67.2940483719415	2.0	1.0	LoF
STAB1	1	oncodriveclustl,smregions		0.019042413750221837		26.0	4.0	4.0	5.4200786471195	0.0	0.0	3.0	0.0	Act
PLEC	1	dndscv,oncodrivefml,cbase		2.2347358478413105e-06		27.0	2.0	2.0	0.0	35.114756325882205	35.114756325882205	0.0	2.0	LoF
TENM3	1	oncodrivefml,mutpanning		1.1440372561922965e-05		28.0	3.0	2.0	6.0357366492501	34.247246423579604	34.247246423579604	2.0	1.0	LoF
MED23	1	oncodrivefml,mutpanning		3.712847285949617e-05		28.0	3.0	3.0	14.0844839645573	54.3502292846894	54.3502292846894	2.0	1.0	LoF
DCLK1	1	oncodrivefml,mutpanning		3.811633828001685e-05		28.0	2.0	2.0	11.653422421033401	93.2238772016658	93.2238772016658	1.0	1.0	LoF
UNC13C	1	oncodrivefml,mutpanning		0.00018181505856688191		28.0	2.0	2.0	4.01444378661341	29.538703790201698	29.538703790201698	1.0	1.0	LoF
ABCC11	1	oncodrivefml,mutpanning		5.2218998471991916e-05		28.0	2.0	2.0	6.18597474570688	59.0277884470043	59.0277884470043	1.0	1.0	LoF
ADAMTS2	1	oncodrivefml,mutpanning		4.1992595566034695e-05		28.0	2.0	2.0	4.287698932454201	55.428701717956	55.428701717956	1.0	1.0	LoF
LAMA1	1	smregions,mutpanning		3.9207403153454535e-05		34.0	4.0	4.0	10.6518584994905	0.0	0.0	4.0	0.0	Act
KIR3DL2	3	oncodriveclustl		0.0016042431464871215		35.0	2.0	2.0	33.9074437238407	0.0	0.0	2.0	0.0	Act
MAP3K14	3	oncodriveclustl		0.028799589649036995		35.0	2.0	2.0	13.127150287785499	0.0	0.0	2.0	0.0	Act
GLB1L2	3	oncodriveclustl		0.0016597629860307494		35.0	2.0	2.0	15.826121668725	0.0	0.0	2.0	0.0	Act
UGT2A3	4	oncodriveclustl		0.07802489325893587		35.0	3.0	2.0	24.792105256676106	0.0	0.0	2.0	0.0	Act
POLE	2	oncodriveclustl		0.004060216312982045	0.02847666836054344	35.0	2.0	2.0	5.16750957579376	0.0	0.0	2.0	0.0	Act
