SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	7.791899482202562e-15	1.3354866179832757e-14	1.0	9.0	9.0	125.96823115963	0.0	0.0	9.0	0.0	Act
TP53	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	1.544190403505285e-06	3.5288710182668856e-06	2.0	4.0	4.0	12.8059013285971	478.582476564106	478.582476564106	1.0	2.0	LoF
MUC16	1	dndscv,cbase,mutpanning	cbase,mutpanning	0.0078278037385201	0.05063606661908248	3.0	13.0	11.0	10.3258917425101	0.0	0.0	13.0	0.0	Act
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	3.155967677581329e-05	0.00015145610268085016	4.0	4.0	4.0	4.59337318148143	90.2689326017733	90.2689326017733	1.0	3.0	LoF
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	1.544190403505285e-06	3.5288710182668856e-06	5.0	2.0	2.0	0.0	502.98325850479597	502.98325850479597	0.0	2.0	LoF
ASXL3	1	dndscv,cbase,mutpanning	cbase	3.8102683780655235e-06		6.0	6.0	6.0	31.747154250981307	0.0	0.0	6.0	0.0	Act
TMEM132D	1	oncodrivefml,smregions,cbase,mutpanning	cbase	0.00041040309583975697		7.0	3.0	3.0	14.438650151828499	98.9186709361925	98.9186709361925	2.0	1.0	LoF
RMDN1	1	dndscv,oncodrivefml,mutpanning		2.8174737888369803e-06		8.0	2.0	2.0	0.0	424.154701271783	424.154701271783	0.0	2.0	LoF
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		2.8174737888369803e-06		10.0	2.0	2.0	0.0	97.935197009367	97.935197009367	0.0	2.0	LoF
EYS	1	oncodrivefml,smregions,cbase,mutpanning	cbase	6.189880021435858e-05		12.0	3.0	3.0	3.69624990434178	60.491643768797296	60.491643768797296	1.0	2.0	LoF
