SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	5.5609870522309865e-09	7.467012746215994e-09	1.0	8.0	8.0	86.0505298360138	0.0	0.0	8.0	0.0	Act
MEN1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5402377453455282e-12	2.0681535074036944e-12	2.0	3.0	3.0	0.0	586.37163836655	586.37163836655	0.0	3.0	LoF
MUC16	1	dndscv,cbase,mutpanning	cbase,mutpanning	0.0038753275769483776	0.0260179713970263	3.0	13.0	11.0	8.96447952109107	0.0	0.0	13.0	0.0	Act
ATRX	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.5400703057844052e-06	5.359637182746056e-06	4.0	4.0	4.0	3.572913826875069	68.5533004934381	68.5533004934381	1.0	3.0	LoF
PRKAR1A	1	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	2.034892766760596e-09	2.732351304520348e-09	5.0	2.0	2.0	0.0	371.08361630911696	371.08361630911696	0.0	2.0	LoF
TMEM132D	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	4.222726598264416e-05		6.0	4.0	3.0	11.405311686426801	157.503729111744	157.503729111744	2.0	2.0	LoF
TP53	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	2.2371832846800764e-08	3.003976802216373e-08	7.0	6.0	6.0	45.924436168394614	215.885319138218	215.885319138218	4.0	1.0	LoF
NF1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.3215607667673844e-08	3.117274626563362e-08	8.0	4.0	4.0	0.0	64.3008068019735	64.3008068019735	0.0	3.0	LoF
ARHGEF40	1	dndscv,oncodrivefml,mutpanning		9.590340680873322e-07		8.0	2.0	2.0	0.0	76.2764578134489	76.2764578134489	0.0	2.0	LoF
TENM3	1	oncodrivefml,cbase,mutpanning	cbase	1.735517560100703e-06		10.0	4.0	3.0	8.64386871748021	32.0994840932595	32.0994840932595	3.0	1.0	LoF
EYS	1	smregions,cbase,mutpanning	cbase	5.4679397795415465e-06		11.0	3.0	3.0	3.0392697655608303	48.5882354367863	48.5882354367863	1.0	2.0	LoF
RMDN1	1	dndscv,oncodrivefml,mutpanning		2.0391697825346578e-07		12.0	2.0	2.0	0.0	331.596734888816	331.596734888816	0.0	2.0	LoF
RB1	1	dndscv,oncodrivefml,mutpanning		3.748227966090676e-06	7.549397005148733e-06	13.0	2.0	2.0	0.0	76.5247047917654	76.5247047917654	0.0	2.0	LoF
SETBP1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	4.1120778191309997e-07	7.361987407508859e-07	13.0	5.0	3.0	21.4019202319803	0.0	0.0	5.0	0.0	Act
SPATA31E1	1	dndscv,cbase,mutpanning	cbase	4.3555503240739837e-05		15.0	5.0	4.0	29.4951535340839	0.0	0.0	5.0	0.0	Act
GNAS	1	oncodriveclustl,oncodrivefml		0.0007148364371002227	0.004715374506837265	16.0	4.0	3.0	8.94109052585148	61.140123336306296	61.140123336306296	2.0	1.0	LoF
PKHD1	1	cbase,mutpanning	cbase	1.535608260224443e-05		17.0	7.0	7.0	5.91944771993914	10.412933261207199	10.412933261207199	5.0	1.0	LoF
LRRD1	1	dndscv,oncodrivefml,smregions,cbase	cbase	3.5585337768231005e-07		17.0	3.0	3.0	11.600131490778901	200.001736115632	200.001736115632	1.0	2.0	LoF
UNC13C	1	oncodrivefml,mutpanning		0.00044980254580911884		17.0	2.0	2.0	4.39365541696589	31.413285725198	31.413285725198	1.0	1.0	LoF
CACNA1H	1	oncodrivefml,mutpanning		0.00013565096350351432		20.0	2.0	2.0	2.9609771696556497	46.204291579970395	46.204291579970395	1.0	1.0	LoF
MXRA5	1	smregions,mutpanning		0.0001950360004385889		23.0	4.0	4.0	11.328534268705196	0.0	0.0	4.0	0.0	Act
POLE	2	oncodriveclustl		0.00728251808244589	0.058967907502368334	24.0	2.0	2.0	5.78834165307325	0.0	0.0	2.0	0.0	Act
KIR3DL2	3	oncodriveclustl		0.007454137251055435		24.0	2.0	2.0	33.1822424457788	0.0	0.0	2.0	0.0	Act
PLAGL1	3	oncodriveclustl		0.013612691738133759		24.0	2.0	2.0	29.4332716713841	0.0	0.0	2.0	0.0	Act
MICALL1	4	oncodriveclustl		0.15764476822558965		24.0	3.0	2.0	8.76249656690784	0.0	0.0	2.0	0.0	Act
UGT2A3	4	oncodriveclustl		0.2678737647643737		24.0	3.0	2.0	23.4064149783581	0.0	0.0	2.0	0.0	Act
GLB1L2	3	oncodriveclustl		0.005651421398666049		24.0	2.0	2.0	17.2794747774209	0.0	0.0	2.0	0.0	Act
ANKRD30B	4	oncodriveclustl		0.4672468046744325		24.0	4.0	4.0	5.72456524819329	0.0	0.0	2.0	0.0	Act
CLCN2	4	oncodriveclustl		0.08971406178409984		24.0	3.0	2.0	9.895334171245759	0.0	0.0	2.0	0.0	Act
MAP3K14	4	oncodriveclustl		0.09602628658941084		47.0	2.0	2.0	13.555510251102099	0.0	0.0	2.0	0.0	Act
STAB1	4	oncodriveclustl		0.055456727507322216		48.0	4.0	4.0	5.569840671088799	0.0	0.0	3.0	0.0	Act
