SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.976486080832496e-27	2.118261510059289e-28	1.0	154.0	139.0	33.605127665565604	83.0370159422135	83.0370159422135	116.0	31.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4099520763799856e-23	7.510769945405242e-25	2.0	69.0	64.0	14.0571186636127	0.0	0.0	67.0	0.0	Act
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.000129609516097999	1.3216722020658051e-05	3.0	43.0	42.0	1.93088625686323	27.458593105778107	27.458593105778107	14.0	25.0	LoF
RB1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.19544101801751174	0.10926617775943676	4.0	38.0	35.0	2.3291275175982498	99.96014770274107	99.96014770274107	7.0	31.0	LoF
KMT2D	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.04368789316718205	0.01524702920065987	4.0	91.0	73.0	1.57446292711124	19.3087566530198	19.3087566530198	39.0	40.0	LoF
ARID1A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.15117711326856026	0.07596640292199618	4.0	75.0	62.0	2.40801414281722	29.661391357958397	29.661391357958397	30.0	38.0	LoF
ERBB2	2	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	3.4610349992279833e-29	1.843682355427197e-30	7.0	50.0	44.0	6.1163242065847	0.0	0.0	43.0	0.0	Act
FGFR3	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	4.95615645909922e-27	2.640128810143784e-28	7.0	51.0	47.0	9.576058245237359	2.3734192061637898	2.3734192061637898	44.0	1.0	Act
ERCC2	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.4003485168104096e-34	2.3440516839567463e-35	9.0	37.0	37.0	10.44353194106	0.0	0.0	34.0	0.0	Act
TSC1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.0760687898931627e-18	6.551067747387554e-20	10.0	21.0	21.0	1.07035271619361	29.2645333866952	29.2645333866952	6.0	12.0	LoF
FBXW7	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.7532496500985464e-25	9.339505221029614e-27	11.0	24.0	24.0	6.756544195108581	27.8230165188064	27.8230165188064	16.0	8.0	LoF
CREBBP	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.257782829556826e-13	1.8593684678161016e-14	12.0	41.0	37.0	2.3048985367269	19.4816181473623	19.4816181473623	20.0	17.0	LoF
HRAS	2	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.9488713824469144e-18	1.1535084420366418e-19	13.0	16.0	16.0	18.458875564087602	20.0278525576425	20.0278525576425	14.0	1.0	LoF
RHOB	3	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	1.0477796850493023e-09		14.0	25.0	24.0	37.5884245828289	0.0	0.0	25.0	0.0	Act
KRAS	2	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	3.3918153209951246e-17	1.987490177862794e-18	14.0	16.0	16.0	22.3686589254974	0.0	0.0	16.0	0.0	Act
STAG2	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.891331365661102e-16	1.6802214966705283e-17	16.0	35.0	33.0	1.0541789231760998	12.340814042441199	12.340814042441199	12.0	16.0	LoF
ELF3	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.6802297413514334e-14	9.639032830527222e-16	16.0	33.0	28.0	20.9930978488062	18.426399174935106	18.426399174935106	29.0	3.0	Act
CDKN2A	2	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase	1.9488713824469144e-18	1.1535084420366418e-19	18.0	11.0	10.0	15.4823442571143	101.518395120171	101.518395120171	9.0	2.0	LoF
CDKN1A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.6736786828083657e-11	1.5080401540571638e-12	19.0	8.0	7.0	3.29420421533491	76.8299323069746	76.8299323069746	2.0	6.0	LoF
EP300	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.881219846939143e-12	2.773557669084969e-13	19.0	51.0	43.0	3.4129779135955696	13.8072430208611	13.8072430208611	31.0	16.0	LoF
