SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.905194336906016e-22	3.4442475888533375e-23	1.0	160.0	146.0	40.970235542672796	99.22542366243161	99.22542366243161	123.0	30.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.311790629750994e-22	3.0981405564713753e-23	2.0	70.0	63.0	16.39464357069	0.0	0.0	68.0	0.0	Act
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.017105034730282402	0.004722274390843694	3.0	58.0	52.0	2.6275592222933195	44.3381771644792	44.3381771644792	17.0	35.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2842494431977627e-17	7.490478375242904e-19	4.0	21.0	20.0	7.091602957461059	33.5270663341364	33.5270663341364	14.0	7.0	LoF
RB1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.041784586698657214	0.01645053596878811	5.0	41.0	38.0	2.19558426451599	96.7874009990294	96.7874009990294	7.0	33.0	LoF
ARID1A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.05132306286240454	0.02217374078822877	5.0	73.0	59.0	2.75523546825362	31.5951733281639	31.5951733281639	31.0	35.0	LoF
KMT2D	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.0598457548944046e-07	1.4417040395162362e-08	7.0	84.0	66.0	1.6597217850556698	18.643238616542	18.643238616542	38.0	35.0	LoF
ELF3	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2891757832404625e-12	8.772413547562593e-14	8.0	31.0	26.0	22.5196066905459	21.3882317799723	21.3882317799723	27.0	3.0	Act
FGFR3	2	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	5.67196568992377e-23	3.3082152825158964e-24	9.0	48.0	44.0	11.385676667928	2.99782327453526	2.99782327453526	42.0	1.0	Act
STAG2	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.260884357984829e-11	3.5067989746840358e-12	10.0	38.0	34.0	1.19195310993411	16.3984535195905	16.3984535195905	12.0	19.0	LoF
TSC1	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.3726395662179533e-11	3.551448627222587e-12	11.0	20.0	20.0	1.40960040570576	29.355029819600606	29.355029819600606	7.0	10.0	LoF
ERCC2	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.81190305506854e-24	1.0568056481483312e-25	12.0	34.0	34.0	10.7978783053704	0.0	0.0	31.0	0.0	Act
CREBBP	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.2308977017390626e-05	1.021669680703009e-06	13.0	36.0	33.0	2.0317492266930204	15.4435239351373	15.4435239351373	18.0	13.0	LoF
CDKN2A	2	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	3.9213965181802435e-22	2.287183068348719e-23	14.0	14.0	11.0	24.5197340856531	122.633401915459	122.633401915459	12.0	2.0	LoF
ERBB2	2	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	5.311790629750994e-22	3.0981405564713753e-23	15.0	41.0	37.0	6.093132998143918	0.0	0.0	35.0	0.0	Act
EP300	2	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.1070088256927766e-15	2.038708707392163e-16	16.0	52.0	39.0	3.848535435017991	12.976023256147599	12.976023256147599	31.0	13.0	LoF
RHOB	3	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.6416654081824235e-17		17.0	19.0	19.0	33.4087151495988	0.0	0.0	19.0	0.0	Act
CDKN1A	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	9.176413456241133e-08	6.541589945989719e-09	18.0	10.0	8.0	4.74924305655204	74.342484393251	74.342484393251	3.0	6.0	LoF
HRAS	2	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	9.866278424099058e-13	6.800865760907607e-14	19.0	13.0	13.0	24.9036540751187	0.0	0.0	13.0	0.0	Act
KRAS	2	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	3.159253583866983e-13	2.047397392496556e-14	19.0	16.0	16.0	26.9178786386915	0.0	0.0	16.0	0.0	Act
RHOA	2	dndscv,hotmaps	dndscv,hotmaps	1.0579304811038221e-07	7.469500036665996e-09	21.0	16.0	15.0	23.0638096887072	0.0	0.0	15.0	0.0	Act
NFE2L2	2	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	8.485959547761701e-13	5.939397224335659e-14	22.0	20.0	19.0	10.3110155952552	0.0	0.0	20.0	0.0	Act
PTEN	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	1.929338236591188e-11	1.2984237377770025e-12	23.0	10.0	10.0	3.78923240936946	42.0978932935364	42.0978932935364	5.0	5.0	LoF
RXRA	3	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	8.249085434479403e-13		24.0	20.0	20.0	8.593625489788291	14.0154550166089	14.0154550166089	15.0	2.0	LoF
ATM	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.4917641227678952e-06	1.1601097135494125e-07	25.0	45.0	41.0	2.35445093260074	7.938270484518268	7.938270484518268	30.0	10.0	LoF
