SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.299901323089893e-28	5.500446432889276e-29	1.0	70.0	65.0	16.8747141173579	0.0	0.0	68.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.2364010480435033e-22	1.5872689922004875e-23	2.0	130.0	121.0	34.7354795600246	112.132499583029	112.132499583029	92.0	31.0	LoF
FGFR3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	2.259507389498685e-25	1.3363904550038493e-26	3.0	46.0	43.0	13.5059983375843	3.59404859543146	3.59404859543146	41.0	1.0	Act
ERCC2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.5601228116794564e-27	9.227379577744048e-29	4.0	31.0	31.0	12.2022212516607	0.0	0.0	29.0	0.0	Act
KDM6A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0005207117083086598	9.525770794476084e-05	5.0	50.0	49.0	2.87594183420913	29.8264551040437	29.8264551040437	20.0	25.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.013181688621602627	0.0046128331943045865	5.0	66.0	55.0	2.6479372037924	28.9835077536452	28.9835077536452	28.0	31.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0001186935113314748	1.6996159876002866e-05	5.0	83.0	66.0	1.57762362542868	19.991040790762	19.991040790762	35.0	37.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.004475617745847964	0.001360736299275953	5.0	38.0	37.0	1.94816506702218	120.828753189612	120.828753189612	5.0	33.0	LoF
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,mutpanning	1.5601228116794564e-27	9.227379577744048e-29	9.0	40.0	36.0	6.38063982081944	0.0	0.0	34.0	0.0	Act
ELF3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	9.28226762708468e-11	6.45884346570907e-12	10.0	28.0	23.0	22.0124852237609	14.9723617820027	14.9723617820027	25.0	2.0	Act
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.2260634320691297e-09	1.567392803803392e-10	11.0	31.0	29.0	1.4188285253173605	18.2980607588333	18.2980607588333	11.0	15.0	LoF
CREBBP	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.500801275709014e-12	6.105206367995866e-13	11.0	36.0	34.0	2.90235742558424	19.7869226602138	19.7869226602138	20.0	13.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	8.403026368971094e-12	6.105206367995866e-13	13.0	13.0	13.0	21.911208382152505	0.0	0.0	13.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	1.3633262089951159e-18	9.407325529285103e-20	13.0	14.0	14.0	27.429610038979806	0.0	0.0	14.0	0.0	Act
EP300	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.1906942511345647e-12	2.2016667241338813e-13	15.0	44.0	39.0	4.17581711241245	15.0199281322361	15.0199281322361	29.0	13.0	LoF
RHOB	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,cbase,mutpanning	2.0164200111599806e-22		16.0	19.0	19.0	33.6154513215086	0.0	0.0	19.0	0.0	Act
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.089819694890128e-12	2.1597496054640965e-13	17.0	11.0	11.0	16.9208305176824	159.021459572719	159.021459572719	8.0	3.0	LoF
FBXW7	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase	6.8498533841651696e-09	4.972124083522212e-10	17.0	13.0	13.0	3.43520102897801	24.510853170218	24.510853170218	7.0	6.0	LoF
TSC1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	9.247889452866785e-15	7.032450730545917e-16	19.0	17.0	17.0	1.25988413783148	26.559729692817196	26.559729692817196	6.0	8.0	LoF
CDKN1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.4425926081389587e-13	3.2844760679809105e-14	20.0	8.0	7.0	3.96603064055704	92.38303014878021	92.38303014878021	2.0	6.0	LoF
RXRA	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	2.4908057841300315e-16		21.0	19.0	19.0	8.599145540205951	14.835609987535904	14.835609987535904	14.0	2.0	LoF
NFE2L2	1	dndscv,hotmaps,mutpanning	dndscv,mutpanning	5.043191914390329e-13	3.645652501914523e-14	22.0	18.0	18.0	9.133005892768882	0.0	0.0	18.0	0.0	Act
ATM	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	5.135989298777925e-07	4.3228691042633405e-08	23.0	40.0	38.0	2.5022036172180098	8.42583892543613	8.42583892543613	28.0	8.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0004744893489306888	8.687730984382509e-05	24.0	48.0	42.0	1.35051739240565	6.26298190334316	6.26298190334316	26.0	15.0	LoF
TRRAP	1	hotmaps,cbase,mutpanning	cbase	1.4237813791590152e-11	9.999920011687575e-13	25.0	28.0	26.0	3.7191923875596897	0.0	0.0	26.0	0.0	Act
KMT2A	1	dndscv,cbase,mutpanning	dndscv,cbase	3.337377533468756e-07	2.8424146261829806e-08	26.0	36.0	28.0	1.01141903355885	6.904391235688862	6.904391235688862	17.0	12.0	LoF
SPTAN1	1	dndscv,smregions,cbase,mutpanning	dndscv,cbase	9.692749442605552e-10		27.0	39.0	30.0	1.31844180908738	7.37998537251385	7.37998537251385	18.0	10.0	LoF
ARID2	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml,mutpanning	8.917383246640406e-10	6.065336097717009e-11	28.0	21.0	20.0	0.786403728024961	10.1937604608506	10.1937604608506	6.0	11.0	LoF
FAM120A	1	dndscv,oncodrivefml,cbase	dndscv,cbase	8.59559013964785e-09		28.0	8.0	8.0	0.657741017123005	16.3295523013556	16.3295523013556	2.0	5.0	LoF
ASXL2	1	oncodriveclustl,smregions,mutpanning	smregions,mutpanning	9.666821950098594e-12	6.860954902492996e-13	30.0	15.0	15.0	5.50576512643261	4.4332911520674	4.4332911520674	14.0	1.0	Act
SMARCA2	1	hotmaps,smregions,mutpanning	hotmaps	6.053359598332661e-12		30.0	22.0	22.0	4.6708331734292	0.0	0.0	21.0	0.0	Act
CNOT1	1	oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	1.4427091806478307e-07		32.0	17.0	16.0	1.17798409297963	7.699670203866991	7.699670203866991	8.0	7.0	LoF
RHOA	1	dndscv,hotmaps	dndscv	1.5200909539741206e-12	1.0788732363895069e-13	33.0	14.0	14.0	27.1130472886897	0.0	0.0	14.0	0.0	Act
DEPDC5	1	oncodriveclustl,cbase	cbase	1.1042916996468469e-06		34.0	13.0	13.0	2.9043495497813	6.87238977317981	6.87238977317981	10.0	3.0	LoF
ARID1B	1	oncodrivefml,cbase	oncodrivefml,cbase	0.00011464979150754663	1.6677560955455843e-05	34.0	22.0	18.0	1.74224855659904	11.1397497039175	11.1397497039175	12.0	7.0	LoF
FAT1	1	oncodrivefml,cbase	cbase	3.111309987040002e-06	3.2860552043357147e-07	34.0	26.0	25.0	1.28058926512167	5.6934362064258	5.6934362064258	16.0	6.0	LoF
PARD3	1	oncodrivefml,cbase	cbase	1.3674772738936044e-06		34.0	12.0	12.0	1.92225923752407	11.7404816795106	11.7404816795106	7.0	5.0	LoF
ERBB3	1	oncodriveclustl,dndscv	dndscv	3.708882100003741e-10	2.559230581372821e-11	34.0	35.0	32.0	4.98916524398058	0.0	0.0	30.0	0.0	Act
TTYH1	1	dndscv,oncodrivefml	dndscv,oncodrivefml	2.3197740625820087e-07		34.0	5.0	5.0	0.8673817513531509	27.6347765162892	27.6347765162892	1.0	3.0	LoF
MROH2B	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	3.337377533468756e-07		34.0	15.0	14.0	2.7591849730996	0.0	0.0	13.0	0.0	Act
GNA13	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	1.1336027043949898e-08		34.0	7.0	7.0	6.83380721990577	0.0	0.0	7.0	0.0	Act
FOXL2	1	oncodriveclustl,smregions		0.0009727967422344104	0.00019831650643186165	34.0	4.0	3.0	4.44301353281952	0.0	0.0	4.0	0.0	Act
FREM2	1	cbase,mutpanning	cbase	0.009243864841743141		43.0	32.0	30.0	2.80613207132868	5.75632424944739	5.75632424944739	25.0	4.0	LoF
AHR	1	hotmaps,mutpanning		5.0372219300989575e-06		44.0	12.0	12.0	3.74976008964834	2.79817650637908	2.79817650637908	10.0	1.0	Act
SH3BP4	4	smregions		0.15484085461314867		45.0	6.0	6.0	1.4850784560221395	0.0	0.0	4.0	0.0	Act
IQSEC2	4	smregions		0.14931038043256742		45.0	7.0	7.0	1.13478846675362	0.0	0.0	5.0	0.0	Act
SOGA3	3	smregions		0.008264938760199275		45.0	7.0	6.0	2.07450111559886	0.0	0.0	6.0	0.0	Act
PTEN	2	dndscv	dndscv	5.071150441810936e-10	3.472923152981745e-11	45.0	9.0	9.0	3.80715068870786	35.309967849569205	35.309967849569205	5.0	4.0	LoF
HIST1H2AG	3	dndscv	dndscv	0.00019048874180482996		45.0	8.0	7.0	16.4962183415365	0.0	0.0	7.0	0.0	Act
FOXQ1	3	smregions	smregions	2.5336407261591896e-09		45.0	9.0	9.0	3.57490339234776	34.9314592172898	34.9314592172898	5.0	2.0	LoF
PRKAR2B	3	smregions		0.020014098724877624		45.0	4.0	4.0	3.31987579635	0.0	0.0	4.0	0.0	Act
MPL	2	smregions		0.029486956853950808	0.012662428319141586	45.0	5.0	5.0	1.73233893456407	4.06588036536816	4.06588036536816	3.0	1.0	LoF
ATP13A3	3	smregions		0.017574297280920387		45.0	12.0	12.0	1.48321036156307	2.9221704291662003	2.9221704291662003	7.0	2.0	LoF
TRAF3IP2	3	dndscv	dndscv	5.483918116789702e-07		45.0	9.0	9.0	3.8746022768805295	22.914255689706202	22.914255689706202	6.0	3.0	LoF
RUNX1	2	smregions		0.014071354429493706	0.004890912951956507	45.0	4.0	4.0	3.16717160276859	0.0	0.0	4.0	0.0	Act
KCNA10	4	smregions		0.09537463238250088		45.0	6.0	6.0	1.96611136620915	0.0	0.0	4.0	0.0	Act
PTK7	4	smregions	smregions	0.05047607952800225		45.0	3.0	3.0	1.37751062874326	0.0	0.0	3.0	0.0	Act
IQSEC1	4	smregions		0.1843776415481494		45.0	4.0	4.0	0.995314228833185	0.0	0.0	3.0	0.0	ambiguous
PAPPA	4	smregions		0.4233671913106146		45.0	14.0	14.0	1.11995777536049	0.0	0.0	8.0	0.0	Act
C4orf50	4	smregions		0.4105343453239373		45.0	3.0	3.0	0.912937919505436	0.0	0.0	3.0	0.0	ambiguous
BIRC6	2	smregions	smregions	0.0051230657958587136	0.0015774706278950455	45.0	35.0	30.0	1.3755187101351898	0.383436524585724	0.383436524585724	27.0	1.0	Act
HIST1H3B	2	dndscv	dndscv	5.447219337612772e-05	7.2963602746760134e-06	45.0	8.0	8.0	18.9159523387683	0.0	0.0	8.0	0.0	Act
KANSL1	3	dndscv	dndscv	1.2153367971158086e-05		45.0	11.0	10.0	2.00039579456001	15.312816519521999	15.312816519521999	7.0	3.0	LoF
SI	3	smregions		0.004010575835753604		45.0	9.0	9.0	2.06945107100868	0.0	0.0	9.0	0.0	Act
GPS2	3	dndscv	dndscv	2.070028356339901e-05		45.0	8.0	6.0	4.23616233835726	31.6735499660428	31.6735499660428	4.0	3.0	LoF
UMODL1	4	smregions	smregions	0.24831607250035345		45.0	9.0	9.0	0.820888001731462	2.06294966266882	2.06294966266882	4.0	0.0	ambiguous
FAT4	2	dndscv	dndscv	2.1974513165157503e-05	2.7212201975856142e-06	45.0	48.0	39.0	1.06615650489013	5.57808711571828	5.57808711571828	25.0	11.0	LoF
RARG	3	smregions	smregions	5.9934208639936246e-05		45.0	13.0	11.0	4.40543865336839	0.0	0.0	9.0	0.0	Act
FSIP2	3	smregions	smregions	0.00015235443735607141		45.0	10.0	9.0	0.546560517210257	1.27823079263551	1.27823079263551	7.0	2.0	LoF
PSIP1	2	dndscv	dndscv	4.8082592677481435e-06	5.099326527058816e-07	45.0	10.0	10.0	2.49311309276961	20.2235165115687	20.2235165115687	5.0	4.0	LoF
SSPO	3	smregions		0.007100479386434297		45.0	25.0	24.0	1.43227035073727	1.32015353846548	1.32015353846548	18.0	2.0	ambiguous
ARHGAP35	3	cbase	cbase	3.5721362061279316e-08		45.0	22.0	19.0	3.14635109599814	12.3042525269102	12.3042525269102	15.0	5.0	LoF
ZNF197	4	smregions		0.09858771906360814		45.0	4.0	4.0	0.612526543487653	2.51041646670696	2.51041646670696	2.0	1.0	LoF
PDCL	3	dndscv	dndscv	4.704199555044359e-05		45.0	2.0	2.0	0.0	45.42145947102939	45.42145947102939	0.0	2.0	LoF
RNF213	2	cbase	cbase	7.647220429930066e-05	1.0855115521940103e-05	76.0	28.0	26.0	1.5215125267010805	4.48268543638107	4.48268543638107	18.0	5.0	LoF
ZNF737	4	smregions		0.16652194248710248		76.0	9.0	9.0	2.0574249122545902	5.1109456962095585	5.1109456962095585	5.0	1.0	LoF
RAI1	3	cbase	cbase	1.598208216403521e-06		78.0	15.0	13.0	2.7537923936822404	10.6964860470136	10.6964860470136	11.0	3.0	LoF
PCDHA6	4	smregions		0.21831515723894088		78.0	10.0	10.0	1.94989879092831	0.0	0.0	7.0	0.0	Act
CPSF3	4	smregions		0.4995520048677712		78.0	8.0	8.0	1.57144151643673	0.0	0.0	5.0	0.0	Act
TNRC6C	3	cbase	cbase	5.326606628711641e-06		81.0	10.0	8.0	1.73009566981022	9.38862441612209	9.38862441612209	6.0	4.0	LoF
TENM3	4	smregions		0.4238066281259404		82.0	31.0	30.0	1.3617370828039	0.659986662671999	0.659986662671999	21.0	0.0	Act
PCDHA12	4	smregions		0.21270990021953493		82.0	12.0	12.0	1.94721416758315	0.0	0.0	8.0	0.0	Act
