SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4417800820318394e-22	8.313413694786607e-24	1.0	142.0	128.0	35.5702952136831	89.82531046821691	89.82531046821691	108.0	27.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4375547393343347e-24	8.289050047178782e-26	2.0	74.0	68.0	17.0939865859999	0.0	0.0	72.0	0.0	Act
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.003662535277804246	0.0008447382874988139	3.0	73.0	58.0	2.7309398654576804	31.459796134431897	31.459796134431897	31.0	35.0	LoF
KDM6A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	6.059075152858792e-05	7.192929989582878e-06	3.0	54.0	49.0	2.5754788888598	38.408248136302795	38.408248136302795	17.0	31.0	LoF
KMT2D	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0002150034463420708	3.08160521694024e-05	3.0	90.0	69.0	1.5758629334831002	18.8077827242757	18.8077827242757	39.0	39.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.008961680244422255	0.00271506041147702	3.0	39.0	36.0	2.07671684709614	71.0790918440868	71.0790918440868	8.0	29.0	LoF
FGFR3	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	9.85712240658734e-19	5.683691807604084e-20	7.0	48.0	44.0	12.783641162904	3.3146685119857504	3.3146685119857504	43.0	1.0	Act
ERCC2	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.62677202065939e-25	1.5146167409149858e-26	8.0	33.0	33.0	10.2543612434337	0.0	0.0	30.0	0.0	Act
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.6997276273444124e-24	9.800758874861564e-26	9.0	45.0	41.0	6.700542847352638	0.0	0.0	39.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.527972605967577e-19	1.4576482463871447e-20	10.0	21.0	19.0	7.4236151199558496	28.595563533383004	28.595563533383004	15.0	6.0	LoF
EP300	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.62677202065939e-25	1.5146167409149858e-26	11.0	51.0	38.0	3.80012028281143	11.9134775394715	11.9134775394715	31.0	12.0	LoF
ELF3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.8310026862456353e-11	1.9588532366443715e-12	12.0	33.0	26.0	22.5466950950352	20.7913291405159	20.7913291405159	28.0	3.0	Act
TSC1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.9093676098683691e-07	1.363088253545418e-08	13.0	20.0	20.0	1.19581222438006	30.9879586480126	30.9879586480126	6.0	11.0	LoF
RHOB	1	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,cbase,mutpanning	1.1360917166300779e-15		14.0	20.0	20.0	25.966822969952602	0.0	0.0	19.0	0.0	Act
CREBBP	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3950433519123214e-09	9.049416920469628e-11	15.0	38.0	35.0	2.11101225870227	16.2073421704266	16.2073421704266	19.0	14.0	LoF
STAG2	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3950433519123214e-09	9.049416920469628e-11	16.0	34.0	32.0	1.4136350297867	14.4956637300415	14.4956637300415	13.0	15.0	LoF
CDKN2A	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase	2.136932136873399e-15	1.3861927524194138e-16	17.0	12.0	10.0	21.6381353468857	90.0554489217071	90.0554489217071	11.0	1.0	LoF
RHOA	1	dndscv,hotmaps	dndscv,hotmaps	1.1847040373730205e-07	8.628749878504281e-09	18.0	15.0	14.0	20.9385361744548	0.0	0.0	14.0	0.0	Act
KRAS	1	dndscv,hotmaps,mutpanning	dndscv,hotmaps,mutpanning	8.608477546941292e-11	5.7273619354744555e-12	19.0	13.0	13.0	21.532676050627494	0.0	0.0	13.0	0.0	Act
HRAS	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,dndscv,hotmaps,mutpanning	2.248061753773871e-11	1.5843049670032575e-12	20.0	11.0	11.0	20.5278065412203	0.0	0.0	11.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	1.0533887980701351e-10	6.941622844425433e-12	21.0	10.0	10.0	3.75273964199224	41.6888444932872	41.6888444932872	5.0	5.0	LoF
NFE2L2	1	dndscv,hotmaps,mutpanning	dndscv,mutpanning	4.8918993228162e-11	3.3335620907314224e-12	22.0	16.0	16.0	8.16673229893772	0.0	0.0	16.0	0.0	Act
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	0.0014779481102024051	0.00027518833358658175	23.0	47.0	41.0	1.3028043218961	5.65219152326059	5.65219152326059	26.0	14.0	LoF
ATM	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	1.5087619398708587e-06	1.1725596597771034e-07	24.0	40.0	38.0	2.3395321263372097	6.88588972844535	6.88588972844535	27.0	9.0	LoF
TRRAP	1	dndscv,hotmaps,cbase,mutpanning	cbase	3.8253761302557034e-06	3.032893866394701e-07	25.0	29.0	27.0	4.07007190532934	0.0	0.0	27.0	0.0	Act
ARID1B	1	dndscv,oncodrivefml,cbase	cbase	4.5309888502849286e-08	3.2273326963079164e-09	26.0	23.0	19.0	1.47617815553298	9.55093994537393	9.55093994537393	12.0	7.0	LoF
KMT2A	1	dndscv,cbase	dndscv,cbase	4.1735603106877176e-05	4.813013284798992e-06	26.0	36.0	27.0	1.01579983463013	6.02111681174534	6.02111681174534	18.0	11.0	LoF
ZFP36L1	1	dndscv,cbase	dndscv,cbase	9.150077403452504e-06		26.0	6.0	6.0	3.4118523283090605	57.978816316801385	57.978816316801385	3.0	3.0	LoF
SMARCA2	1	hotmaps,smregions	hotmaps	1.5670670309172726e-09		29.0	20.0	20.0	4.2613641869575	0.0	0.0	19.0	0.0	Act
RXRA	1	oncodriveclustl,dndscv,oncodrivefml,mutpanning	oncodriveclustl,dndscv,oncodrivefml,mutpanning	4.620201936593556e-13		30.0	19.0	19.0	7.7389671448184	13.6515476280496	13.6515476280496	14.0	2.0	LoF
CNOT1	1	oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	4.729759699781082e-07		30.0	16.0	15.0	1.02375418717666	7.63995249917571	7.63995249917571	7.0	7.0	LoF
GPS2	1	dndscv,oncodrivefml,mutpanning	dndscv	9.150077403452504e-06		32.0	8.0	6.0	3.06689193043853	37.1449061596225	37.1449061596225	3.0	4.0	LoF
ARID2	1	dndscv,oncodrivefml,mutpanning	dndscv,mutpanning	7.020377886741435e-08	4.9475596199850104e-09	32.0	22.0	20.0	0.7788376523172991	7.936906155462119	7.936906155462119	7.0	10.0	LoF
ASXL2	1	smregions,mutpanning	smregions,mutpanning	5.509759062150897e-11	3.70646384854065e-12	32.0	16.0	16.0	6.03770413780179	4.5021386146195095	4.5021386146195095	15.0	1.0	Act
FREM2	1	cbase,mutpanning	cbase	1.7469805708675493e-05		32.0	33.0	31.0	2.56076729372182	3.7825904734058	3.7825904734058	26.0	3.0	LoF
ANKFY1	1	oncodrivefml,cbase	oncodrivefml,cbase	2.623636710394336e-08		36.0	5.0	4.0	0.36283203431136	14.9236599010803	14.9236599010803	1.0	4.0	LoF
TTYH1	1	oncodriveclustl,dndscv,oncodrivefml	oncodrivefml	4.1985495688914945e-06		36.0	5.0	5.0	0.829718871436805	26.755552865717306	26.755552865717306	1.0	3.0	LoF
GNA13	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	8.67830778059266e-08		38.0	7.0	7.0	6.5444785128348695	0.0	0.0	7.0	0.0	Act
FOXL2	1	oncodriveclustl,smregions		0.0035368336228648093	0.0008254445918434997	38.0	4.0	3.0	4.26554530673837	0.0	0.0	4.0	0.0	Act
MROH2B	1	oncodriveclustl,hotmaps,mutpanning	hotmaps,mutpanning	9.064434143500133e-07		38.0	15.0	14.0	2.7375377699018	0.0	0.0	13.0	0.0	Act
