SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.2113681989850696e-25	2.138478586612204e-26	1.0	308.0	277.0	59.704381754794	0.0	0.0	303.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.089650867721257e-19	4.055152562288571e-20	2.0	223.0	222.0	169.85190622730602	489.253241202431	489.253241202431	184.0	38.0	LoF
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.6580095982048312e-30	1.1040833073202578e-31	3.0	22.0	22.0	16.438375315927402	0.0	0.0	21.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.40280776889841e-06	1.0816382721258933e-07	4.0	39.0	39.0	5.529939397041138	198.911862988164	198.911862988164	12.0	26.0	LoF
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	9.370270358592539e-22	6.239746198816475e-23	5.0	26.0	23.0	7.75697597444144	0.0	0.0	24.0	0.0	Act
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.817918584097958e-24	3.8742036228292737e-25	6.0	45.0	43.0	1.74530549808267	20.766128948331694	20.766128948331694	18.0	24.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.6864301959714194e-23	1.1230088356236691e-24	7.0	25.0	24.0	18.7464849367739	99.34145349291141	99.34145349291141	16.0	9.0	LoF
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.0405471814427124e-17	2.0247273548870198e-18	8.0	20.0	20.0	14.1627611341419	99.10726388108593	99.10726388108593	12.0	8.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.8520714828268267e-11	1.2333108387110532e-12	9.0	16.0	15.0	1.96760322027215	25.3357947823832	25.3357947823832	5.0	10.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5303336783219088e-12	1.0190627790663085e-13	9.0	18.0	18.0	2.02970025957033	27.3296563830736	27.3296563830736	8.0	9.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1758984661546505e-14	7.830412254491991e-16	9.0	32.0	31.0	2.8053895858268603	21.8900314004698	21.8900314004698	17.0	13.0	LoF
