SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.8066586210198265e-35	1.4593266078929832e-36	1.0	289.0	263.0	136.922476318713	0.0	0.0	288.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.270145382030162e-25	3.4492054575591987e-26	2.0	230.0	228.0	183.701226800144	520.447769209026	520.447769209026	191.0	37.0	LoF
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.0724280378917529e-38	8.662526237870397e-40	3.0	21.0	21.0	18.8883006930083	0.0	0.0	20.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	9.178019763421707e-07	7.825398948621898e-08	4.0	34.0	34.0	5.4975015964230085	215.79672608689603	215.79672608689603	10.0	23.0	LoF
ERBB2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.8157358282669944e-23	1.4666587125346859e-24	5.0	19.0	17.0	8.47657833059916	0.0	0.0	18.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.878979739064159e-12	6.364237627679558e-13	6.0	22.0	21.0	18.7926081225145	136.134240222465	136.134240222465	13.0	9.0	LoF
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.784109224291155e-20	6.287606068788482e-21	7.0	19.0	19.0	17.396662276934	113.160572687806	113.160572687806	12.0	7.0	LoF
KMT2C	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3608250428674635e-17	1.0992050023388483e-18	7.0	39.0	38.0	2.38288528483212	22.029142489723	22.029142489723	18.0	19.0	LoF
CBFB	1	dndscv,hotmaps,cbase,mutpanning	dndscv,cbase,mutpanning	1.2417180223507816e-13	1.0029964313312649e-14	9.0	18.0	17.0	27.143589403502602	66.182276941479	66.182276941479	14.0	3.0	LoF
FOXA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.9411468928541496e-15	3.1834572726917503e-16	10.0	14.0	13.0	15.8915218913541	0.0	0.0	14.0	0.0	Act
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.589602350502014e-12	3.7072464890766243e-13	11.0	26.0	22.0	2.5700191452359102	41.072443129981714	41.072443129981714	9.0	15.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.217253048675783e-11	1.790983826561497e-12	11.0	28.0	27.0	2.9077069609077	22.876262165896698	22.876262165896698	15.0	11.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	7.753413606637865e-10	6.262811715795625e-11	11.0	14.0	13.0	1.35792593251129	29.100772958295106	29.100772958295106	3.0	10.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.152131814424053e-07	1.84063999535638e-08	11.0	18.0	17.0	1.9055298999331696	23.7659282510605	23.7659282510605	8.0	8.0	LoF
GATA3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.334524650429802e-10	3.501207744144611e-11	15.0	11.0	11.0	9.11526200991231	52.2579468919442	52.2579468919442	8.0	2.0	LoF
CDKN1B	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml	1.716477686298161e-10	1.3864830523740663e-11	16.0	3.0	3.0	0.0	129.08956984586501	129.08956984586501	0.0	3.0	LoF
RUNX1	1	dndscv,smregions,cbase,mutpanning	dndscv,cbase	1.1737052626928765e-06	9.954621557890812e-08	17.0	13.0	12.0	10.4012283580769	10.758285662657599	10.758285662657599	11.0	1.0	LoF
CASP8	1	dndscv,cbase,mutpanning	dndscv,cbase	1.4900248206904789e-05	1.5044574843552612e-06	17.0	11.0	11.0	8.996257560326999	27.6872313837458	27.6872313837458	8.0	3.0	LoF
