SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.746963681990432e-32	6.11487218420771e-33	1.0	296.0	267.0	70.0911963248191	0.0	0.0	292.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.0563753590764216e-19	2.835751668089424e-20	2.0	209.0	207.0	140.121143884808	352.696284408436	352.696284408436	176.0	31.0	LoF
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	4.5017066547657935e-36	3.1470761518499933e-37	3.0	20.0	20.0	22.218812304139	0.0	0.0	20.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	9.467066812155053e-06	7.821610218800626e-07	4.0	38.0	38.0	6.43443818905558	203.909512864758	203.909512864758	13.0	24.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.0655891238902536e-11	1.4440226273815116e-12	5.0	26.0	25.0	20.36627949297	129.620776998721	129.620776998721	16.0	10.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.1119051504145322e-14	7.773163491859747e-16	6.0	44.0	42.0	1.93563881255548	19.348429140330502	19.348429140330502	19.0	22.0	LoF
ERBB2	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.846551685291798e-20	1.2908968126095205e-21	7.0	23.0	20.0	7.19054623570886	0.0	0.0	21.0	0.0	Act
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.441149541683206e-08	3.104741574983387e-09	8.0	20.0	20.0	14.290248524851599	119.750457895966	119.750457895966	11.0	9.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.6826084394372536e-11	3.97262702160341e-12	8.0	34.0	29.0	2.69158446383468	27.1213291574723	27.1213291574723	15.0	15.0	LoF
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.321166509020884e-08	9.236078518712027e-10	10.0	31.0	29.0	2.97892247125852	21.9102780040808	21.9102780040808	17.0	12.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.441149541683206e-08	3.104741574983387e-09	10.0	19.0	19.0	1.73481095775472	23.573114509734502	23.573114509734502	8.0	9.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	4.441149541683206e-08	3.104741574983387e-09	10.0	15.0	14.0	1.21436845692574	28.6622520153055	28.6622520153055	3.0	11.0	LoF
FOXA1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.3869168495297347e-16	2.3677431833924062e-17	13.0	16.0	15.0	17.215923192189	0.0	0.0	16.0	0.0	Act
SF3B1	1	oncodriveclustl,mutpanning	oncodriveclustl,mutpanning	6.003282600371515e-07	4.1968055569422984e-08	14.0	12.0	12.0	5.53115600042045	4.4883283764336	4.4883283764336	11.0	1.0	Act
CDKN1B	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.3834381997694684e-12	9.67141064476866e-14	15.0	4.0	3.0	0.0	137.867102856326	137.867102856326	0.0	4.0	LoF
KRAS	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	1.1565731789248985e-05	9.491592953016802e-07	16.0	4.0	4.0	10.517691297868	0.0	0.0	4.0	0.0	Act
GATA3	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	4.629080946339749e-09	3.236121624181427e-10	17.0	12.0	11.0	8.69080421265276	44.0204203094219	44.0204203094219	9.0	2.0	LoF
