SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.661133635132269e-27	1.107002507818736e-28	1.0	321.0	292.0	72.1653327319062	0.0	0.0	308.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.8641731574441484e-27	1.908724741381398e-28	2.0	238.0	235.0	155.175038960668	457.223506052256	457.223506052256	163.0	36.0	LoF
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	2.4231846831408225e-12	1.6148439020267305e-13	3.0	86.0	85.0	4.57745560496798	148.382089708616	148.382089708616	12.0	22.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.0012291795525995e-14	6.672330204052303e-16	4.0	39.0	37.0	21.253849080526894	110.57827925319599	110.57827925319599	18.0	9.0	LoF
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.348828843438356e-22	8.988782604390599e-24	5.0	28.0	28.0	13.300072341274	101.722013267402	101.722013267402	11.0	8.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.016888460833650597	0.00569488056765999	6.0	86.0	66.0	3.0347496468774504	30.5705052845629	30.5705052845629	17.0	16.0	LoF
KMT2C	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.01334982351439493	0.0042741917236476966	7.0	61.0	58.0	1.76219043050296	18.662942727248897	18.662942727248897	18.0	22.0	LoF
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	7.096344464782704e-35	4.72910243505758e-36	8.0	23.0	23.0	23.392456878242804	0.0	0.0	23.0	0.0	Act
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	1.5387079368488155e-06	1.1460535379706822e-07	9.0	40.0	38.0	3.04067044155646	21.099205954393	21.099205954393	18.0	12.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.250908412651672e-08	5.921482940221659e-09	10.0	24.0	24.0	1.67022376334419	25.1289084732351	25.1289084732351	8.0	10.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.4513878753243567e-06	2.5300580566767705e-07	11.0	19.0	17.0	1.99467865256667	25.632041786810603	25.632041786810603	5.0	10.0	LoF
ERBB2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.673031237068424e-21	3.114172869143143e-22	12.0	26.0	23.0	7.5118806349153315	0.0	0.0	23.0	0.0	Act
GATA3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.14558271854597e-11	3.4290877345130494e-12	13.0	91.0	87.0	7.67133396852241	35.0468008321304	35.0468008321304	10.0	2.0	LoF
FOXA1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase	2.531047424513882e-12	1.6867251298068618e-13	14.0	17.0	17.0	11.8494490697627	0.0	0.0	12.0	0.0	Act
RUNX1	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv,smregions	1.8200157989138968e-07	1.3861528991362429e-08	15.0	33.0	32.0	8.187222267854821	14.2114989832178	14.2114989832178	13.0	1.0	LoF
ERBB3	1	oncodriveclustl,dndscv,mutpanning		1.4843921940181642e-08	9.892195586261917e-10	16.0	18.0	17.0	6.02854903222806	0.0	0.0	17.0	0.0	Act
TBX3	1	oncodriveclustl,oncodrivefml,smregions,mutpanning	oncodrivefml	1.6105401149073812e-06	1.1925403153325634e-07	17.0	21.0	21.0	5.54509298973154	12.025298722134302	12.025298722134302	8.0	0.0	Act
CASP8	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase	5.6124474266318445e-09	3.74021285517318e-10	18.0	14.0	14.0	9.41860732307199	30.979635183905696	30.979635183905696	10.0	4.0	LoF
DHX30	1	dndscv,oncodrivefml,cbase,mutpanning	oncodrivefml,cbase	1.1354142816643018e-07		19.0	4.0	4.0	0.501309103071425	22.500056262860106	22.500056262860106	1.0	3.0	LoF
MED23	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodrivefml,hotmaps,cbase	1.6502894981043146e-08		20.0	14.0	14.0	1.66966444558318	13.321511686306698	13.321511686306698	6.0	5.0	LoF
CDKN1B	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	5.14558271854597e-11	3.4290877345130494e-12	21.0	9.0	8.0	0.0	128.626212801365	128.626212801365	0.0	4.0	LoF
KRAS	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	0.00030928756370494453	4.699388364857648e-05	21.0	4.0	4.0	9.768166833463921	0.0	0.0	4.0	0.0	Act
NF1	1	dndscv,cbase,mutpanning	cbase,mutpanning	2.2468515751934346e-06	1.6549470792732e-07	23.0	21.0	21.0	2.0989562810728	12.0475613093012	12.0475613093012	10.0	4.0	LoF
FGFR2	1	oncodriveclustl,hotmaps	hotmaps	8.725140971383764e-07	6.541374410601131e-08	24.0	10.0	9.0	7.117962599639901	0.0	0.0	10.0	0.0	Act
PIK3R1	1	oncodrivefml,hotmaps		0.0002382740758783664	3.406347791135852e-05	25.0	25.0	23.0	3.4901433829460697	0.0	0.0	9.0	0.0	Act
CBFB	1	dndscv,mutpanning	dndscv	6.504741022143275e-07	4.912829649295939e-08	26.0	18.0	17.0	18.9220568797465	39.8834690521371	39.8834690521371	12.0	2.0	LoF
ZP4	1	dndscv,cbase	cbase	0.002027155283116879		27.0	15.0	15.0	6.95885935086252	10.4807654212073	10.4807654212073	11.0	2.0	LoF
MBD6	1	dndscv,mutpanning		8.71877567282393e-06		28.0	7.0	7.0	1.40872362136954	24.6422717179685	24.6422717179685	3.0	3.0	LoF
HIST1H3B	1	dndscv	dndscv	0.002533514292759009	0.0005740454889138861	28.0	11.0	11.0	16.003831538710198	0.0	0.0	9.0	0.0	Act
HIST1H2BC	1	dndscv	dndscv	0.0002382740758783664		28.0	8.0	8.0	15.039066675738699	90.8353603696594	90.8353603696594	6.0	1.0	LoF
DUSP16	1	dndscv		0.001051866764069617		28.0	7.0	6.0	0.5841621291337951	24.788454685008503	24.788454685008503	1.0	4.0	LoF
NLRP2	1	dndscv,mutpanning		2.246231436765013e-05		28.0	6.0	6.0	2.22840297808926	25.3504514304394	25.3504514304394	4.0	2.0	LoF
RGS7	1	dndscv		7.924536656985084e-05	7.921531808503907e-06	28.0	10.0	10.0	4.081834529193911	17.300736679454502	17.300736679454502	6.0	2.0	LoF
EIF4A2	1	dndscv		0.008107456021820496	0.002581395688728913	28.0	8.0	8.0	9.3408825457369	17.6196552218499	17.6196552218499	8.0	0.0	Act
SPRR2B	1	dndscv		0.00014407318923502895		35.0	2.0	2.0	0.0	148.451306241962	148.451306241962	0.0	2.0	LoF
