SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.456235585832562e-27	5.969341985962966e-28	1.0	221.0	217.0	146.287488571355	380.76259031780603	380.76259031780603	184.0	34.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.2427568201349667e-33	9.949310720370891e-35	2.0	296.0	267.0	115.342919084246	0.0	0.0	294.0	0.0	Act
AKT1	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.1318404755563277e-42	2.507300987055537e-43	3.0	24.0	24.0	27.957309319994	0.0	0.0	24.0	0.0	Act
CDH1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	0.0018276027658089048	0.00036712834230656177	4.0	37.0	36.0	4.21252636430224	150.746073521346	150.746073521346	11.0	23.0	LoF
ERBB2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,hotmaps,smregions,cbase,mutpanning	1.0499587424938438e-23	8.405800397463628e-25	5.0	19.0	17.0	8.332397325075	0.0	0.0	18.0	0.0	Act
KMT2C	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.229753286764381e-18	1.7851045289276928e-19	6.0	41.0	39.0	2.62263193198166	21.8447284258422	21.8447284258422	20.0	19.0	LoF
PTEN	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.67044162608188e-12	3.739080259820773e-13	6.0	25.0	24.0	23.159660184383398	135.546610859516	135.546610859516	16.0	9.0	LoF
MAP2K4	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.1865084218614586e-19	9.498995113263192e-21	8.0	18.0	18.0	16.2875933333102	115.775228305934	115.775228305934	11.0	7.0	LoF
FOXA1	1	oncodriveclustl,dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	1.0499587424938438e-23	8.405800397463628e-25	9.0	17.0	13.0	17.9475364056816	0.0	0.0	16.0	0.0	Act
NCOR1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.361084461519633e-09	1.8902461498579598e-10	10.0	26.0	25.0	2.54200752750448	21.5424171079214	21.5424171079214	13.0	11.0	LoF
MAP3K1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	2.361084461519633e-09	1.8902461498579598e-10	10.0	29.0	25.0	3.45804807449183	41.8090176348567	41.8090176348567	12.0	15.0	LoF
RB1	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	3.314000723531501e-09	2.65313554443966e-10	10.0	15.0	14.0	1.8680385642035904	29.8144070987563	29.8144070987563	4.0	10.0	LoF
GATA3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	5.281690858147107e-12	4.2284365392531843e-13	13.0	14.0	14.0	11.2158133796381	51.97185467227821	51.97185467227821	10.0	2.0	LoF
ARID1A	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	8.228310915240579e-08	6.999168861135124e-09	13.0	18.0	18.0	1.9039025575743704	24.026288475950494	24.026288475950494	8.0	8.0	LoF
CBFB	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	8.413942037531722e-10	6.736066329171478e-11	15.0	16.0	15.0	24.5234393341579	48.3305740021665	48.3305740021665	13.0	2.0	LoF
CDKN1B	1	dndscv,oncodrivefml,mutpanning	dndscv,oncodrivefml	4.516107220936292e-09	3.6155226235432026e-10	16.0	3.0	3.0	0.0	129.88953118222798	129.88953118222798	0.0	3.0	LoF
CASP8	1	dndscv,cbase,mutpanning	dndscv,cbase	0.0002174859605174196	2.5738850481176763e-05	17.0	11.0	11.0	9.21580776963164	28.3778796898797	28.3778796898797	8.0	3.0	LoF
CTCF	1	dndscv,smregions,mutpanning	dndscv,smregions	1.4053251656777579e-09	1.1250806682329236e-10	18.0	14.0	14.0	4.57281402454336	23.0613954266536	23.0613954266536	9.0	3.0	LoF
RUNX1	1	dndscv,smregions,mutpanning	dndscv	3.931958714898711e-07	3.322744012197322e-08	19.0	14.0	13.0	8.48484226407701	8.90441378635813	8.90441378635813	11.0	1.0	LoF
SF3B1	1	oncodriveclustl,dndscv,mutpanning	oncodriveclustl,mutpanning	1.2633073941083904e-07	1.0708766790390536e-08	20.0	12.0	12.0	6.8136375804166605	0.0	0.0	12.0	0.0	Act
KRAS	1	oncodriveclustl,hotmaps,mutpanning	mutpanning	0.00013226284229608912	1.4439204401084796e-05	21.0	4.0	4.0	12.598196991405402	0.0	0.0	4.0	0.0	Act
ERBB3	1	oncodriveclustl,dndscv,cbase,mutpanning	dndscv,cbase	1.2942797057828522e-06	1.0907152247723873e-07	22.0	15.0	14.0	8.05736281339379	0.0	0.0	15.0	0.0	Act
MED23	1	dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodrivefml,hotmaps,cbase	6.335066182546671e-09		23.0	13.0	13.0	1.9934069099091296	15.9110827520836	15.9110827520836	6.0	5.0	LoF
FGFR2	1	oncodriveclustl,dndscv,hotmaps	hotmaps	6.194777089814272e-05	6.1402573808442135e-06	24.0	9.0	8.0	7.71936329505418	0.0	0.0	9.0	0.0	Act
KIF1B	1	oncodriveclustl,smregions	smregions	0.0013923206895268322		25.0	8.0	8.0	2.23019695367531	0.0	0.0	7.0	0.0	Act
RELN	1	hotmaps,cbase,mutpanning	cbase	0.012123205984304905		26.0	16.0	15.0	3.75371566021734	2.03076538190658	2.03076538190658	15.0	1.0	Act
