SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.82276003451028e-21	2.3557443338734713e-21	1.0	50.0	50.0	387.0037567442469	0.0	0.0	50.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.837710755052205e-14	1.160204429314572e-14	2.0	43.0	41.0	210.08664360263901	388.388243922393	388.388243922393	34.0	2.0	LoF
APC	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	1.0102277341262207e-11	2.4227795978203683e-12	3.0	9.0	9.0	2.84539021395828	83.3849334569553	83.3849334569553	2.0	6.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	3.367601802783736e-10	8.076354138529444e-11	4.0	10.0	9.0	12.359482088287802	0.0	0.0	8.0	0.0	Act
IDH1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	8.284852819088601e-09	1.986915593679842e-09	5.0	4.0	4.0	26.4282019192396	0.0	0.0	4.0	0.0	Act
FOXA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	3.6718774287286787e-10	8.8060834399043e-11	6.0	23.0	23.0	21.2955887774465	78.0959098532196	78.0959098532196	10.0	1.0	LoF
KMT2D	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	2.469294045071068e-07	5.921986727667915e-08	7.0	22.0	19.0	3.49455870484063	15.9402030266396	15.9402030266396	8.0	3.0	LoF
KMT2C	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	2.5900131959483397e-06	7.246751800077455e-07	8.0	21.0	20.0	3.12699830902871	11.4066282433322	11.4066282433322	10.0	4.0	LoF
CDK12	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase	6.62749912805041e-09	1.5894405914227858e-09	9.0	14.0	9.0	6.35766942679115	52.8400149026597	52.8400149026597	5.0	3.0	LoF
PTEN	1	dndscv,smregions,mutpanning	mutpanning	4.910968455757147e-08	1.1777734641624098e-08	10.0	12.0	12.0	23.993340647227306	123.632025159234	123.632025159234	3.0	1.0	LoF
CSMD3	1	dndscv,smregions,cbase,mutpanning	cbase	1.582001242910559e-07	3.7940359441480943e-08	11.0	15.0	15.0	4.44909761439786	18.1680422480411	18.1680422480411	10.0	3.0	LoF
KDM6A	1	dndscv,oncodrivefml,mutpanning	mutpanning	1.9086420274262808e-08	4.5774025077529045e-09	12.0	6.0	6.0	1.24032431384226	26.789950647040897	26.789950647040897	1.0	2.0	LoF
ZFHX3	1	dndscv,cbase,mutpanning	cbase	2.9490285823637928e-05	9.90151473567285e-06	13.0	11.0	11.0	1.23645789772083	20.3101846346794	20.3101846346794	3.0	3.0	LoF
SMARCA1	1	dndscv,smregions,mutpanning	smregions	5.738968482403722e-06		13.0	6.0	6.0	8.75134816255139	40.9107693206539	40.9107693206539	3.0	1.0	LoF
