SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.31806574835644e-22	1.7827335718460578e-22	1.0	41.0	41.0	528.693357414446	0.0	0.0	41.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.89222464953538e-07	9.193471349639712e-08	2.0	31.0	30.0	300.674772166406	654.237773276815	654.237773276815	29.0	2.0	LoF
APC	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	1.8225355580156103e-08	7.524423004430402e-09	3.0	7.0	7.0	4.54539931269796	111.511860505704	111.511860505704	2.0	5.0	LoF
ZMYM3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning		8.565572492939883e-08	4.125725951772145e-08	4.0	6.0	5.0	16.958812093624598	69.8803140821501	69.8803140821501	5.0	1.0	LoF
CSMD3	1	dndscv,smregions,cbase,mutpanning	smregions,mutpanning	7.614830078229842e-08	3.7725817110211084e-08	5.0	10.0	10.0	7.68971920384865	23.5633922374545	23.5633922374545	8.0	1.0	LoF
IDH1	1	oncodriveclustl,hotmaps		9.593737109064549e-05	9.140351733236413e-05	6.0	3.0	3.0	32.3184375805397	0.0	0.0	3.0	0.0	Act
FOXA1	1	dndscv,oncodrivefml,smregions,mutpanning	smregions,mutpanning	5.205107238403782e-06	3.342815444492476e-06	7.0	7.0	7.0	18.946166067853106	0.0	0.0	6.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv	2.214782903512605e-08	9.143834453992399e-09	8.0	4.0	4.0	39.0430739279618	201.71565279291698	201.71565279291698	3.0	1.0	LoF
KDM6A	1	dndscv,oncodrivefml,smregions,mutpanning		2.214782903512605e-08	9.143834453992399e-09	8.0	3.0	3.0	0.0	39.0995185775007	39.0995185775007	0.0	2.0	LoF
CDK12	1	dndscv,cbase,mutpanning		8.137119041580548e-06	5.0391712883441774e-06	8.0	7.0	7.0	7.7372982553267	60.22089124005011	60.22089124005011	4.0	2.0	LoF
PCDHB7	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.265748242588713e-05		11.0	5.0	5.0	20.234671813055	125.28515122428401	125.28515122428401	4.0	1.0	LoF
PIWIL1	1	dndscv,cbase,mutpanning		6.476970052412516e-05		11.0	6.0	6.0	26.8322305051436	42.225716012417706	42.225716012417706	5.0	1.0	LoF
GRM1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	2.7773347745122404e-06		13.0	6.0	6.0	20.1261449805147	67.2546820461615	67.2546820461615	5.0	1.0	LoF
SMARCA1	1	dndscv,oncodrivefml,smregions,mutpanning	smregions	6.674965831572895e-08		14.0	4.0	4.0	14.504432456489	67.61999460866821	67.61999460866821	3.0	1.0	LoF
GNRHR	1	oncodriveclustl,dndscv		0.0002517035430494774		15.0	3.0	2.0	33.6746424275064	221.99597566596802	221.99597566596802	2.0	1.0	LoF
