SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	7.19441567285373e-27	3.1644777142163534e-27	1.0	40.0	40.0	493.60380469926696	0.0	0.0	40.0	0.0	Act
TP53	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4813347083182174e-06	7.963608278387674e-07	2.0	28.0	27.0	252.82428824320598	609.413037779853	609.413037779853	26.0	2.0	LoF
APC	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	2.5730381409553883e-09	1.1317558263424994e-09	3.0	7.0	7.0	4.35797604110908	107.778708665159	107.778708665159	2.0	5.0	LoF
CSMD3	1	dndscv,smregions,cbase,mutpanning	mutpanning	9.86136182878012e-09	4.337539163430121e-09	4.0	11.0	11.0	8.598359289643	23.6302309469839	23.6302309469839	9.0	1.0	LoF
ZMYM3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	smregions,cbase	3.9209356406749696e-07	1.97100704101613e-07	4.0	6.0	5.0	15.8502531006424	64.78277785790871	64.78277785790871	5.0	1.0	LoF
KDM6A	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	mutpanning	7.048981063927912e-08	3.6172593553428135e-08	6.0	4.0	4.0	1.7947820068646	39.024219624913	39.024219624913	1.0	2.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps	oncodriveclustl	1.7571030255474037e-06	9.274382163222444e-07	7.0	8.0	8.0	16.092307526343998	0.0	0.0	7.0	0.0	Act
IDH1	1	oncodriveclustl,hotmaps		0.0010560575407123703	0.0019731970453496016	8.0	3.0	3.0	30.1843721803656	0.0	0.0	3.0	0.0	Act
OR4P4	1	oncodriveclustl,dndscv,hotmaps		0.0210299448377676		9.0	3.0	3.0	46.748890820008704	0.0	0.0	3.0	0.0	Act
FOXA1	1	dndscv,oncodrivefml,smregions,mutpanning	smregions	0.00010625357082098754	0.00012852355890638576	10.0	6.0	6.0	16.485395139222	0.0	0.0	5.0	0.0	Act
OBSCN	1	smregions,mutpanning	smregions,mutpanning	0.00010165767773345656		11.0	10.0	9.0	2.18321652700173	0.0	0.0	8.0	0.0	Act
PCDHB7	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	3.7420693925202515e-06		12.0	5.0	5.0	18.899110681974303	115.795967859477	115.795967859477	4.0	1.0	LoF
MED12	1	oncodriveclustl,mutpanning		0.0006324447673344592	0.001056487812532816	13.0	6.0	6.0	14.120982060627401	0.0	0.0	6.0	0.0	Act
ZFHX3	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	7.048981063927912e-08	3.6031953806177474e-08	14.0	5.0	5.0	0.7967402601479759	39.3947725186368	39.3947725186368	1.0	3.0	LoF
SMARCA1	1	dndscv,oncodrivefml,smregions,mutpanning	smregions	7.048981063927912e-08		14.0	4.0	4.0	13.6023482921043	63.7536088193839	63.7536088193839	3.0	1.0	LoF
PTEN	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv	9.190226096388274e-09	4.042338807356471e-09	14.0	4.0	4.0	37.0225442495866	193.247861699586	193.247861699586	3.0	1.0	LoF
CUL3	1	oncodriveclustl,mutpanning		0.0002522734836482313	0.000340814873322073	17.0	4.0	4.0	21.3621362141619	0.0	0.0	4.0	0.0	Act
ADAMTS20	1	smregions,cbase,mutpanning		1.1329220685642787e-05		18.0	5.0	5.0	13.029211633597901	23.2610311747151	23.2610311747151	4.0	1.0	LoF
FAM47B	4	oncodriveclustl,smregions		0.06006273598177879		19.0	4.0	4.0	8.58179610318511	0.0	0.0	3.0	0.0	Act
KMT2C	2	oncodriveclustl,smregions,mutpanning		0.00027277172708325574	0.000356678582557059	19.0	11.0	11.0	3.03627461905896	7.92789761693813	7.92789761693813	7.0	2.0	LoF
GRM1	3	oncodrivefml,cbase,mutpanning	cbase	3.708573849181029e-05		21.0	5.0	5.0	14.704508132007199	61.217187970978	61.217187970978	4.0	1.0	LoF
PIWIL1	3	dndscv,cbase,mutpanning	cbase	1.1329220685642787e-05		21.0	6.0	6.0	26.2924974799408	41.363922256803605	41.363922256803605	5.0	1.0	LoF
CDK12	2	dndscv,cbase,mutpanning		5.288370211319912e-07	2.6168624033035066e-07	21.0	7.0	7.0	7.954318171556048	62.545840281854716	62.545840281854716	4.0	2.0	LoF
KIF13A	3	cbase,mutpanning		0.00017642864339831294		24.0	5.0	5.0	11.424754125539401	20.964804807107	20.964804807107	4.0	1.0	LoF
ASTN1	3	cbase,mutpanning	cbase	2.5839372954882254e-06		24.0	5.0	5.0	16.0244641186309	45.2612186039331	45.2612186039331	4.0	1.0	LoF
ELOVL6	3	dndscv,oncodrivefml,mutpanning		1.1178737312680466e-06		24.0	2.0	2.0	0.0	263.401718087813	263.401718087813	0.0	2.0	LoF
DAPK1	3	cbase,mutpanning		0.00010625357082098754		24.0	4.0	4.0	9.42858513965546	39.5429737205842	39.5429737205842	3.0	1.0	LoF
PKD1	3	smregions,mutpanning		0.009188191223274631		28.0	3.0	3.0	2.80335951987553	0.0	0.0	3.0	0.0	Act
