SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.903715991847431e-27	1.4513696563666329e-27	1.0	47.0	47.0	483.106547737926	0.0	0.0	47.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.5380575278006655e-17	1.3431444654719282e-17	2.0	33.0	31.0	191.49918454039602	493.42906446063796	493.42906446063796	24.0	2.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	7.700841301622642e-09	2.2792444367193632e-09	3.0	10.0	9.0	14.701081500292	0.0	0.0	8.0	0.0	Act
IDH1	1	oncodriveclustl,dndscv,hotmaps,mutpanning	hotmaps,mutpanning	2.8671104475955712e-06	1.068120322764683e-06	4.0	4.0	4.0	33.349426784535396	0.0	0.0	4.0	0.0	Act
KMT2D	1	oncodrivefml,smregions,cbase,mutpanning	cbase,mutpanning	1.0818147368074443e-08	3.2018842147933082e-09	5.0	20.0	18.0	3.14135141674872	18.6321421684415	18.6321421684415	6.0	3.0	LoF
CDK12	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	2.74219210298825e-11	8.116160105565056e-12	5.0	13.0	8.0	15.033775056240804	124.711542757841	124.711542757841	5.0	3.0	LoF
APC	1	dndscv,oncodrivefml,cbase,mutpanning	dndscv,cbase,mutpanning	7.700841301622642e-09	2.2792444367193632e-09	7.0	9.0	9.0	3.7413406998439513	109.213839924217	109.213839924217	2.0	6.0	LoF
KDM6A	1	dndscv,oncodrivefml,smregions,mutpanning	mutpanning	3.6728048301998772e-09	1.0870526541853516e-09	8.0	5.0	5.0	0.0	29.735695768627	29.735695768627	0.0	2.0	LoF
ZFHX3	1	dndscv,oncodrivefml,cbase,mutpanning	cbase,mutpanning	4.175890123358838e-07	1.3595477890204802e-07	9.0	9.0	9.0	1.38682687659469	33.4353899189573	33.4353899189573	2.0	3.0	LoF
KMT2C	1	oncodriveclustl,smregions,cbase,mutpanning		8.275073567447767e-06	3.0615024146898388e-06	10.0	18.0	17.0	2.8717236044007497	9.712691127917461	9.712691127917461	8.0	3.0	LoF
FOXA1	1	oncodrivefml,smregions,mutpanning	oncodrivefml	7.700841301622642e-09	2.2792444367193632e-09	11.0	17.0	17.0	13.2666237230646	0.0	0.0	5.0	0.0	Act
ZMYM3	1	oncodrivefml,smregions,cbase,mutpanning	cbase	4.2903895486144207e-05	1.8559219342555027e-05	12.0	6.0	5.0	13.607603010158801	27.4422669927531	27.4422669927531	5.0	1.0	LoF
PTEN	1	dndscv,smregions,mutpanning	dndscv,mutpanning	2.8903071877129893e-09	8.554541406556089e-10	13.0	12.0	12.0	31.518891441517898	161.94847851307898	161.94847851307898	3.0	1.0	LoF
ATM	1	oncodrivefml,mutpanning		6.477194796198053e-05	3.149484595352306e-05	14.0	12.0	12.0	7.039839201679	0.0	0.0	9.0	0.0	Act
GRM1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	5.759667321973776e-05		15.0	6.0	6.0	15.6020110263308	51.3360514280332	51.3360514280332	5.0	1.0	LoF
CUL3	1	oncodriveclustl,mutpanning		0.0012958595993884988	0.0009109075338789953	16.0	4.0	4.0	16.7226187814903	0.0	0.0	4.0	0.0	Act
ETV3	1	oncodrivefml,smregions	smregions	0.00034566489486364984		17.0	4.0	4.0	15.312194342117099	107.53881757328399	107.53881757328399	2.0	1.0	LoF
OBSCN	1	smregions,mutpanning	smregions	0.030792953107506377		18.0	12.0	11.0	1.24378925882535	0.0	0.0	8.0	0.0	Act
CSMD3	1	smregions,mutpanning		0.00015780729917688313	7.784461347247659e-05	18.0	12.0	12.0	4.67826462972002	12.6843732041369	12.6843732041369	9.0	1.0	LoF
PLCB4	1	dndscv,hotmaps,cbase,mutpanning	cbase	5.779094825630719e-07		20.0	6.0	6.0	18.7479729816896	25.7421562864915	25.7421562864915	5.0	1.0	LoF
SCN1A	1	oncodrivefml,cbase,mutpanning	cbase	0.0003089719194774233		21.0	5.0	5.0	6.6156098388884494	41.6344625949676	41.6344625949676	3.0	2.0	LoF
ELOVL6	1	dndscv,oncodrivefml,mutpanning		3.975149832378676e-05		21.0	2.0	2.0	0.0	217.65022196768	217.65022196768	0.0	2.0	LoF
STAB2	1	smregions,mutpanning	smregions	0.0007372448526319468		23.0	6.0	6.0	10.4858861506046	0.0	0.0	6.0	0.0	Act
TMEM132B	1	oncodriveclustl,smregions		0.006322530300276445		24.0	3.0	3.0	10.1775109329899	0.0	0.0	3.0	0.0	Act
