SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
SPOP	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.4529913699557287e-21	5.704751358912084e-22	1.0	40.0	40.0	472.372240465009	0.0	0.0	40.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.035469218870628e-10	7.991682560874217e-11	2.0	31.0	30.0	275.02389272037703	604.9065377005901	604.9065377005901	29.0	2.0	LoF
FOXA1	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,oncodrivefml,smregions,cbase,mutpanning	5.149576623819096e-06	2.7570445530509225e-06	3.0	9.0	9.0	20.9018858189582	114.184136878588	114.184136878588	7.0	1.0	LoF
APC	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	dndscv,cbase,mutpanning	2.8396047024918383e-08	1.114888850703018e-08	4.0	7.0	7.0	4.21369163207287	102.44354333906	102.44354333906	2.0	5.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,hotmaps		5.683299554748288e-07	2.5103065282777923e-07	5.0	8.0	8.0	14.6711893094594	0.0	0.0	7.0	0.0	Act
ZMYM3	1	dndscv,oncodrivefml,smregions,cbase,mutpanning	cbase	3.982356220757748e-06	2.1889801649561593e-06	6.0	6.0	5.0	15.134557249472197	31.2716224416938	31.2716224416938	5.0	1.0	LoF
IDH1	1	oncodriveclustl,hotmaps		0.0002252186601523748	0.00029475202769574746	7.0	3.0	3.0	29.053729524797106	0.0	0.0	3.0	0.0	Act
ATM	1	oncodriveclustl,oncodrivefml,smregions		6.342790676494032e-05	6.13000305298576e-05	7.0	10.0	10.0	8.400053685595571	0.0	0.0	9.0	0.0	Act
KDM6A	1	dndscv,oncodrivefml,smregions,mutpanning		2.6851156141953742e-08	1.054233167908206e-08	9.0	3.0	3.0	0.0	38.5179985291501	38.5179985291501	0.0	2.0	LoF
CSMD3	1	dndscv,smregions,cbase,mutpanning	cbase,mutpanning	1.2181465876680597e-09	4.782701084842107e-10	10.0	12.0	12.0	8.19500866303498	29.672816789815002	29.672816789815002	9.0	2.0	LoF
CDK12	1	dndscv,cbase,mutpanning	dndscv,cbase,mutpanning	3.2075328636480184e-08	1.2593452267516722e-08	10.0	6.0	6.0	14.4946469309991	112.32131126730101	112.32131126730101	4.0	2.0	LoF
PCDHB7	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	1.4742715832207267e-05		12.0	5.0	5.0	18.1146311560877	113.137835957843	113.137835957843	4.0	1.0	LoF
GRM1	1	dndscv,oncodrivefml,cbase,mutpanning	cbase	1.571524628454949e-06		13.0	6.0	6.0	17.7582530006973	59.890794772918994	59.890794772918994	5.0	1.0	LoF
PIWIL1	1	dndscv,cbase,mutpanning	cbase	4.285233998379481e-05		13.0	6.0	6.0	24.1029836840206	38.034723417151	38.034723417151	5.0	1.0	LoF
CUL3	1	oncodriveclustl,mutpanning		0.00036126631942854216	0.0005457368220254718	15.0	4.0	4.0	19.198377271415	0.0	0.0	4.0	0.0	Act
PTEN	1	dndscv,oncodrivefml,smregions,mutpanning	dndscv	1.3076991381431834e-08	5.134303334229571e-09	16.0	4.0	4.0	35.3649615795854	182.16737080276002	182.16737080276002	3.0	1.0	LoF
ZFHX3	1	dndscv,cbase,mutpanning		1.2247807010582431e-06	5.877358687224547e-07	17.0	6.0	6.0	0.5288986667483839	26.7157653200909	26.7157653200909	1.0	3.0	LoF
MTF1	1	oncodriveclustl,smregions	smregions	0.001589056475152857		18.0	3.0	2.0	18.9463799768195	0.0	0.0	3.0	0.0	Act
KMT2C	1	oncodriveclustl,smregions,mutpanning		0.00041939205334919316	0.0005943253436191014	18.0	12.0	12.0	3.27295388417816	7.43421408892666	7.43421408892666	8.0	2.0	LoF
OR4D5	1	dndscv,hotmaps		0.019155995575091324		20.0	4.0	4.0	56.2447009645333	0.0	0.0	4.0	0.0	Act
GNRHR	1	oncodriveclustl,dndscv		0.0007615532700458777		21.0	3.0	2.0	30.6565277655779	201.243876678922	201.243876678922	2.0	1.0	LoF
GRIA1	1	oncodriveclustl,dndscv		0.011108442700049535		21.0	9.0	9.0	10.5293948493024	0.0	0.0	7.0	0.0	Act
VPS52	1	oncodrivefml,cbase,mutpanning		2.1305510220593812e-05		23.0	3.0	2.0	5.702115123942192	87.5985868509972	87.5985868509972	1.0	2.0	LoF
ELOVL6	1	dndscv,oncodrivefml,mutpanning		5.084333630209544e-07		24.0	2.0	2.0	0.0	249.542287882091	249.542287882091	0.0	2.0	LoF
COL11A1	1	dndscv,oncodrivefml,cbase	cbase	1.9875875552757457e-05		24.0	7.0	7.0	17.7283645190779	18.9498980531126	18.9498980531126	6.0	1.0	LoF
DAPK1	1	cbase,mutpanning		0.0001620588496405714		26.0	4.0	4.0	9.25614171837478	39.7952058273962	39.7952058273962	3.0	1.0	LoF
KIF13A	1	cbase,mutpanning		0.0003208355877998768		26.0	5.0	5.0	11.6093700166834	21.0696431650306	21.0696431650306	4.0	1.0	LoF
PCSK2	1	cbase,mutpanning		2.4101731513412736e-05		26.0	4.0	4.0	17.725318120462102	67.6485474276604	67.6485474276604	3.0	1.0	LoF
ASTN1	1	cbase,mutpanning	cbase	1.4912833523558745e-06		26.0	5.0	5.0	15.0035568412661	43.7291590351846	43.7291590351846	4.0	1.0	LoF
NID2	1	cbase,mutpanning		0.002332795360107658		30.0	4.0	4.0	9.80441487473631	39.0831717565899	39.0831717565899	3.0	1.0	LoF
BRAF	1	hotmaps		6.342790676494032e-05	6.13000305298576e-05	31.0	4.0	4.0	23.990264560639	0.0	0.0	4.0	0.0	Act
MUT	1	hotmaps	hotmaps	0.0005586032136961603		31.0	3.0	2.0	19.2547561202612	0.0	0.0	3.0	0.0	Act
MYO3A	1	dndscv,cbase		0.0013663214498076972		31.0	5.0	5.0	1.62322373068355	38.4018409021525	38.4018409021525	1.0	3.0	LoF
BDKRB1	3	oncodriveclustl		0.0009896864867081619		34.0	3.0	3.0	33.8975988774011	0.0	0.0	3.0	0.0	Act
GGT5	3	oncodriveclustl		0.0010901275450194297		34.0	3.0	3.0	20.4508984501056	0.0	0.0	3.0	0.0	Act
ITGAL	3	oncodriveclustl		0.020593257799898918		34.0	4.0	4.0	6.32938997768883	0.0	0.0	3.0	0.0	Act
XKR4	3	oncodriveclustl		0.007401273137772159		34.0	3.0	3.0	15.357628038553901	0.0	0.0	3.0	0.0	Act
AFF2	3	oncodriveclustl		0.0367207912579036		34.0	4.0	4.0	5.87868378502155	0.0	0.0	3.0	0.0	Act
A1CF	2	dndscv,cbase		0.002681012524029702	0.004991466598978206	34.0	3.0	3.0	22.876828480398196	54.2280927558879	54.2280927558879	3.0	0.0	Act
TMEM132B	3	oncodriveclustl		0.01595592647338034		34.0	2.0	2.0	8.08303647345967	0.0	0.0	2.0	0.0	Act
HDAC6	3	oncodriveclustl		0.001095983493422571		34.0	3.0	2.0	9.86582971297882	0.0	0.0	3.0	0.0	Act
MECOM	2	oncodriveclustl		0.003094711953000643	0.005047128075840002	34.0	4.0	4.0	14.2155256917474	0.0	0.0	4.0	0.0	Act
AKT1	2	oncodriveclustl		0.0030022751066130426	0.005047128075840002	34.0	2.0	2.0	12.362881041352502	0.0	0.0	2.0	0.0	Act
HRAS	2	oncodriveclustl		0.0029860237435310488	0.005047128075840002	34.0	2.0	2.0	32.159792784298304	0.0	0.0	2.0	0.0	Act
ASB17	4	oncodriveclustl		0.24030581653374264		34.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	ambiguous
RPRD2	4	oncodriveclustl		0.06546933007731555		34.0	4.0	2.0	4.99142775187788	0.0	0.0	3.0	0.0	Act
MKLN1	4	oncodriveclustl		0.17857344315221665		58.0	3.0	2.0	6.307674682719378	0.0	0.0	2.0	0.0	Act
PCDH15	3	oncodriveclustl		0.010658133886720057		59.0	6.0	5.0	6.61641521988538	12.6641806962974	12.6641806962974	5.0	0.0	Act
OR4P4	3	oncodriveclustl		0.025566581107793352		59.0	2.0	2.0	30.5475434522013	0.0	0.0	2.0	0.0	Act
F5	4	oncodriveclustl		0.3106529641652882		59.0	3.0	2.0	2.78540932685502	0.0	0.0	2.0	0.0	Act
ZNF142	3	oncodriveclustl		0.003891095503626817		59.0	5.0	4.0	3.94016046957858	19.676543029245	19.676543029245	3.0	1.0	LoF
PFKFB1	3	dndscv,mutpanning		1.5740270421903147e-05		66.0	2.0	2.0	0.0	116.28030716567699	116.28030716567699	0.0	2.0	LoF
PCDH10	3	dndscv,mutpanning		0.0018612382019885547		66.0	5.0	5.0	14.662010274084697	0.0	0.0	5.0	0.0	Act
OBSCN	3	smregions,mutpanning	mutpanning	2.4101731513412736e-05		71.0	15.0	13.0	3.6020255868026503	0.0	0.0	13.0	0.0	Act
PCLO	3	oncodrivefml,cbase	cbase	0.0010193188487667949		72.0	8.0	8.0	2.92141267795014	12.6607296483947	12.6607296483947	5.0	2.0	LoF
COL5A3	3	oncodrivefml,cbase		3.072736481565669e-05		72.0	2.0	2.0	0.0	48.7230987727052	48.7230987727052	0.0	2.0	LoF
ASH1L	3	oncodrivefml,mutpanning		1.1016702668980651e-05		74.0	3.0	3.0	1.72981285091426	32.5801790661402	32.5801790661402	1.0	2.0	LoF
ANOS1	3	oncodrivefml,mutpanning		9.626768281955428e-05		74.0	2.0	2.0	0.0	75.213385175818	75.213385175818	0.0	2.0	LoF
GIGYF2	3	oncodrivefml,mutpanning		4.149124352827144e-05		74.0	2.0	2.0	0.0	40.78316810358061	40.78316810358061	0.0	2.0	LoF
SCN1A	3	cbase		0.00021741501993487208		77.0	5.0	5.0	10.2876350634519	24.1035753234472	24.1035753234472	4.0	1.0	LoF
A4GALT	3	cbase		0.019155995575091324		78.0	2.0	2.0	18.592223594301696	0.0	0.0	2.0	0.0	Act
PLCB4	3	mutpanning		0.0005173108061793939		95.0	4.0	4.0	12.996551049764301	29.909707530120894	29.909707530120894	3.0	1.0	LoF
ANO4	3	mutpanning		0.00028811383404258386		95.0	2.0	2.0	9.532421161281027	60.8083921781761	60.8083921781761	2.0	0.0	Act
PKD1	3	mutpanning		0.015061664529989303		95.0	3.0	3.0	3.06931194176354	0.0	0.0	3.0	0.0	Act
