SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	5.303509398181397e-19	2.81811572707598e-20	1.0	213.0	175.0	49.7464389250391	0.0	0.0	210.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.828845072020207e-18	2.034526141821773e-19	1.0	62.0	59.0	23.6483173136588	10.142826738027301	10.142826738027301	60.0	0.0	Act
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.4598379805548764e-17	1.4523104899051637e-18	1.0	186.0	153.0	112.75746548238399	465.242150826854	465.242150826854	131.0	54.0	LoF
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	2.3939227135533818e-11	1.6960722273903025e-12	4.0	72.0	71.0	98.6619195013942	0.0	0.0	70.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.838277204390639e-26	2.0395380761047767e-27	5.0	115.0	113.0	45.337034947271604	49.1762250720303	49.1762250720303	103.0	9.0	LoF
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.6573277426296817e-16	1.553221121221113e-17	6.0	33.0	31.0	9.008428781787927	54.057852362880794	54.057852362880794	21.0	11.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.814731337333612e-23	1.4956584506013071e-24	7.0	48.0	48.0	29.9107994761635	13.3149414718639	13.3149414718639	45.0	3.0	Act
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	1.4842832311599017e-27	7.887007645543544e-29	8.0	44.0	42.0	23.2186878068005	0.0	0.0	44.0	0.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.953824113552297e-07	1.5173689566089904e-08	9.0	91.0	89.0	28.596508730777	0.0	0.0	89.0	0.0	Act
ARID1A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.03808076806225152	0.015235693536586369	10.0	81.0	77.0	3.82528610078273	183.30305048745097	183.30305048745097	18.0	62.0	LoF
BCOR	1	oncodriveclustl,hotmaps,mutpanning	oncodriveclustl,hotmaps,mutpanning	3.6367071982531217e-10	2.5773439717506767e-11	11.0	44.0	42.0	3.36219708608626	1.52724346375211	1.52724346375211	35.0	1.0	Act
