SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	4.03278338259436e-24	2.279159673578129e-25	1.0	205.0	157.0	110.02561499586099	482.49500384710296	482.49500384710296	138.0	65.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.751028048089402e-27	3.8153973131335717e-28	2.0	208.0	174.0	54.47034690435229	0.0	0.0	205.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.0085014943867472e-12	7.979477215012756e-14	3.0	70.0	69.0	109.207114381788	0.0	0.0	68.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.452580051439002e-26	3.6467270489280626e-27	4.0	57.0	55.0	23.220052234816798	5.46412799723606	5.46412799723606	55.0	0.0	Act
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	9.54949128998819e-18	6.071592510627389e-19	5.0	120.0	118.0	62.7604155971191	78.4875568783893	78.4875568783893	108.0	10.0	LoF
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.148475042643599e-16	2.135262919828073e-17	6.0	35.0	32.0	15.2367248143326	72.3400957589882	72.3400957589882	25.0	10.0	LoF
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	2.626054262734792e-31	1.4841354985951915e-32	7.0	41.0	39.0	23.708851508866402	0.0	0.0	41.0	0.0	Act
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.6972635678116856e-26	9.592220340635219e-28	8.0	44.0	44.0	30.4178092049268	14.7091726077807	14.7091726077807	41.0	3.0	Act
CTNNB1	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	1.4997610808412448e-12	1.1467555513788268e-13	8.0	89.0	87.0	38.7742575504484	0.0	0.0	88.0	0.0	Act
ARID1A	1	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	0.0010190129895229038	0.00017121449860140443	10.0	80.0	76.0	3.1227980788795096	155.900706833747	155.900706833747	17.0	61.0	LoF
