SYMBOL	TIER	All_Bidders	Significant_Bidders	QVALUE_stouffer_w	QVALUE_CGC_stouffer_w	RANKING	MUTS	SAMPLES	wmis_cv	wnon_cv	wspl_cv	n_mis	n_non	ROLE
PTEN	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	2.6160550465363068e-18	1.6251553149440733e-19	1.0	191.0	142.0	94.14184920740169	425.06628730332494	425.06628730332494	128.0	61.0	LoF
PIK3CA	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.7594104948516145e-15	2.4150518766263125e-16	2.0	211.0	176.0	50.960866341847705	0.0	0.0	208.0	0.0	Act
KRAS	1	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,hotmaps,smregions,cbase,mutpanning	1.1524261754793896e-09	8.106677960149474e-11	3.0	69.0	68.0	98.33219557597307	0.0	0.0	67.0	0.0	Act
PPP2R1A	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	3.4088852037369863e-19	2.2235641829989345e-20	4.0	57.0	54.0	22.093041846935897	10.3570919361915	10.3570919361915	55.0	0.0	Act
PIK3R1	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	8.503862497185434e-16	5.546940696377972e-17	5.0	37.0	34.0	11.4580928480599	52.56488239946921	52.56488239946921	26.0	10.0	LoF
TP53	1	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	6.53089207698817e-17	4.338890901943308e-18	6.0	106.0	104.0	50.6966327057005	72.534280186279	72.534280186279	94.0	10.0	LoF
FBXW7	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,smregions,cbase,mutpanning	1.8909359030740043e-18	1.1991669345894446e-19	7.0	44.0	44.0	28.1726224921973	13.7385791017959	13.7385791017959	41.0	3.0	Act
FGFR2	1	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,hotmaps,cbase,mutpanning	4.124295893058376e-26	2.241846449253876e-27	8.0	41.0	39.0	22.356897840224	0.0	0.0	41.0	0.0	Act
CTNNB1	2	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	oncodriveclustl,dndscv,oncodrivefml,cbase,mutpanning	5.8192732313819775e-05	6.9194704369710025e-06	9.0	94.0	91.0	30.7944978090742	0.0	0.0	92.0	0.0	Act
CTCF	2	dndscv,oncodrivefml,cbase,mutpanning	dndscv,oncodrivefml,cbase,mutpanning	6.733124863140228e-08	5.054188310628028e-09	9.0	38.0	34.0	7.741557230612742	116.36893405371201	116.36893405371201	19.0	18.0	LoF
